Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,G. Freitas,Atlético GO,Atlético GO,"DMF, LDMF",DMF,7,32,400000,2024-12-31,6,621,Uruguay,Uruguay,right,186,78,no,10.29,4.05711,2.60694,1.594971,5.651133,3.044999999999999,0.72,0.7250580000000001,0.145,0.0,3.331020000000001,BRA1,Testing,2024,0.641771624150429,0.6657780153496714,0.6618744929521305
1,Rezende,Bahia,Bahia,"DMF, LCB, RCMF",DMF,7,29,800000,2025-12-31,16,633,Brazil,Brazil,left,186,84,no,9.53,4.8348,1.278,0.1425,10.949828,2.984716,0.43,2.133504,0.4259999999999999,1.0,3.124,BRA1,Testing,2024,0.482016843800859,0.4568185689808862,0.475233363253414
2,Filipe Machado,Vitória,Vitória,"DMF, LCMF, LDMF",DMF,7,28,1000000,2026-12-31,13,655,Brazil,Brazil,right,174,61,no,6.6,3.021858,0.825,3.43772,8.652875,4.4,1.37,1.511428,0.825,0.27,4.945466999999999,BRA1,Testing,2024,0.2893451383040399,0.32103979743393,0.3089735239433383
3,Du Queiroz,Grêmio,Grêmio,"RDMF, RCMF, AMF",RDMF,7,24,3000000,2028-06-30,14,657,Brazil,Brazil,right,171,65,yes,10.0,5.892562999999999,0.549036,2.189173,11.371,4.659381,1.78,1.095323,0.9590000000000001,1.92,7.53399,BRA1,Testing,2024,0.5397609090092004,0.6030809195989744,0.5785002977965054
4,Matheus Rossetto,Fortaleza,Fortaleza,"LDMF, RCMF, LCMF",LDMF,7,28,1500000,2024-12-31,11,746,Brazil,"Brazil, Italy",right,180,75,no,8.08,4.221513000000001,0.603499,3.381309,14.715975,5.671092,1.33,2.655666000000001,1.206727,1.81,7.482333000000001,BRA1,Testing,2024,0.6483704671394263,0.6474727495230719,0.6559487655871002
5,N. de la Cruz,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,18000000,2028-06-30,10,862,Uruguay,Uruguay,right,167,65,no,5.32,2.924339999999999,0.8365829999999999,2.403041,13.989276,9.6048,3.24,4.803400999999999,1.5675,2.51,11.069786,BRA1,Testing,2024,0.7044352848680836,0.808597357882648,0.7658888679924458
6,Alexsander,Fluminense,Fluminense,"LDMF, LCMF, RCMF",LDMF,7,21,0,,15,899,Brazil,Brazil,left,177,67,no,8.91,5.405310000000001,0.6,1.09992,8.607128,3.706527,2.4,3.403138,1.70016,1.2,3.9075,BRA1,Testing,2024,0.2784126474603909,0.2636814944645606,0.2744050967396331
7,D. Bobadilla,São Paulo,São Paulo,"RDMF, RCMF",RDMF,7,23,2500000,2027-12-31,14,920,Paraguay,Paraguay,right,181,73,no,7.34,4.204752,0.193343,1.856232,11.934288,6.164136,0.98,0.683588,0.388552,0.49,6.651834,BRA1,Testing,2024,0.3560103242383777,0.329401816922606,0.3469518859472144
8,Zé Rafael,Palmeiras,Palmeiras,"LDMF, LCMF",LDMF,7,31,4500000,2026-12-31,13,923,Brazil,"Brazil, Italy",right,175,71,no,7.8,4.779208,1.073226,2.437344,6.433411,4.092688,1.66,2.9237,1.27,1.37,4.582656,BRA1,Testing,2024,0.3735989763996757,0.4126934769012468,0.3980169495053384
9,Gabriel,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,32,1800000,2025-12-31,11,939,Brazil,"Brazil, Italy",right,170,69,yes,10.54,4.88632,1.245618,3.448,13.41613,5.65264,0.58,0.96,0.193314,1.15,8.817512,BRA1,Testing,2024,1.0,0.9755250480617446,1.0
