Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Nenê,Juventude,Juventude,"AMF, CF",AMF,9,43,200000,2024-12-31,23,1448,Brazil,"Brazil, Spain",left,181,74,no,2.238275,4.970800000000001,4.538178,3.295578,0.81,0.16,1.62,2.79483,0.06211799999999999,0.25,BRA1,Testing,2024,0.4543528972350651,0.4005834842382983,0.4274681907366817
1,D. Payet,Vasco da Gama,Vasco da Gama,"AMF, CF",AMF,9,37,1500000,2025-06-30,16,979,Réunion,"Réunion, France",right,175,77,no,2.11191,10.4804,6.526702,2.2048,0.46,0.23,1.56,5.424696,0.275,0.28,BRA1,Testing,2024,0.6415565763035693,0.6385736438595073,0.6400651100815383
2,Ganso,Fluminense,Fluminense,"AMF, CF",AMF,9,35,600000,2025-12-31,28,2191,Brazil,Brazil,left,184,78,no,0.824296,14.540729,7.226548,1.684778,0.33,0.16,1.77,5.952966,0.204183,0.37,BRA1,Testing,2024,0.6724210731064394,0.6701370040716103,0.6712790385890248
3,Alan Patrick,Internacional,Internacional,"AMF, CF",AMF,9,33,4000000,2026-12-31,17,1419,Brazil,Brazil,right,177,70,no,0.9525,7.35875,4.376276,4.248189,2.158611,0.42,3.17,3.549284999999999,0.443308,0.95,BRA1,Testing,2024,0.7301808240501568,0.7673456863051624,0.7487632551776596
4,Jean Carlos,Juventude,Juventude,"AMF, CF, LW",AMF,9,32,750000,2024-12-31,18,1028,Brazil,Brazil,left,178,74,no,2.44986,5.515104,4.293456,2.62931,1.31057,0.17,1.31,2.80007,0.6113770000000001,0.26,BRA1,Testing,2024,0.3503131896789178,0.3922315306448964,0.3712723601619071
5,Philippe Coutinho,Vasco da Gama,Vasco da Gama,AMF,AMF,9,32,7500000,2026-06-30,9,500,Brazil,"Brazil, Portugal",right,172,68,yes,1.47,9.653596,4.40125,4.40492,2.31,0.04,0.84,5.45261,0.21,0.21,BRA1,Testing,2024,0.7360426461576561,0.7545306756014283,0.7452866608795422
6,J. Campbell,Atlético GO,Atlético GO,"AMF, RWF, CF",AMF,9,32,650000,2026-06-30,8,601,Costa Rica,Costa Rica,left,178,78,yes,2.9088,8.724082000000001,6.623697,4.362818000000001,1.455,0.2,1.45,5.33343,0.3228409999999999,0.32,BRA1,Testing,2024,0.9213406135577331,0.8885386176818313,0.9049396156197822
7,Igor Coronado,Corinthians,Corinthians,"AMF, LCMF, RW",AMF,9,32,4000000,2026-12-31,26,1503,Brazil,"Brazil, Italy",right,170,66,no,2.573932,8.799189,6.583632,4.3723,2.45518,0.17,1.86,5.093125,0.48006,0.48,BRA1,Testing,2024,1.0,1.0,1.0
8,Bernard,Atlético Mineiro,Atlético Mineiro,"AMF, RWF",AMF,9,32,2500000,2027-12-31,10,625,Brazil,"Brazil, Spain",right,164,60,no,1.872072,8.494372,5.763077999999999,2.446907,1.729235,0.23,2.45,4.750147999999999,0.144,0.29,BRA1,Testing,2024,0.5777072742702176,0.6880878936995038,0.6328975839848607
9,Luciano,São Paulo,São Paulo,"AMF, CF",AMF,9,31,2500000,2026-12-31,25,1965,Brazil,Brazil,left,181,77,no,1.5114,3.754458,2.060083,2.244736,0.685728,0.05,0.5,2.8875,0.04625,0.23,BRA1,Testing,2024,0.0110996824824509,0.04217237392391331,0.0266360282031821
