Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Ameaça_Ofensiva,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Nenê,Juventude,Juventude,"AMF, CF",AMF,9,43,200000,2024-12-31,23,1448,Brazil,"Brazil, Spain",left,181,74,no,2.238275,4.970800000000001,4.538178,3.295578,1.68,0.81,0.09,0.434,0.07258064516129031,0.16,1.62,2.79483,0.0,0.06211799999999999,0.44,0.25,1.182384,BRA1,Testing,2024,0.3641306584252812,0.3433406316331584,0.3537356450292198
1,D. Payet,Vasco da Gama,Vasco da Gama,"AMF, CF",AMF,9,37,1500000,2025-06-30,16,979,Réunion,"Réunion, France",right,175,77,no,2.11191,10.4804,6.526702,2.2048,1.1,0.46,0.09,0.276639,0.108433734939759,0.23,1.56,5.424696,0.276,0.275,1.01,0.28,1.747908,BRA1,Testing,2024,0.5476816887920611,0.5639291726810667,0.555805430736564
2,Ganso,Fluminense,Fluminense,"AMF, CF",AMF,9,35,600000,2025-12-31,28,2191,Brazil,Brazil,left,184,78,no,0.824296,14.540729,7.226548,1.684778,0.53,0.33,0.1,0.372882,0.1724137931034483,0.16,1.77,5.952966,0.164428,0.204183,0.9,0.37,1.477266,BRA1,Testing,2024,0.5484417364925308,0.5867418800592292,0.5675918082758801
3,Alan Patrick,Internacional,Internacional,"AMF, CF",AMF,9,33,4000000,2026-12-31,17,1419,Brazil,Brazil,right,177,70,no,0.9525,7.35875,4.376276,4.248189,2.6,2.158611,0.41,0.95,0.2157894736842105,0.42,3.17,3.549284999999999,0.31815,0.443308,2.03,0.95,2.026692,BRA1,Testing,2024,0.8429252515984815,0.8911887306530626,0.8670569911257722
4,Jean Carlos,Juventude,Juventude,"AMF, CF, LW",AMF,9,32,750000,2024-12-31,18,1028,Brazil,Brazil,left,178,74,no,2.44986,5.515104,4.293456,2.62931,0.79,1.31057,0.13,0.7008,0.05936073059360731,0.17,1.31,2.80007,0.173342,0.6113770000000001,0.88,0.26,1.398726,BRA1,Testing,2024,0.5358186951639404,0.5001176551920887,0.5179681751780146
5,Philippe Coutinho,Vasco da Gama,Vasco da Gama,AMF,AMF,9,32,7500000,2026-06-30,9,500,Brazil,"Brazil, Portugal",right,172,68,yes,1.47,9.653596,4.40125,4.40492,1.68,2.31,0.19,0.630042,0.1292517006802721,0.04,0.84,5.45261,0.0,0.21,0.63,0.21,1.050084,BRA1,Testing,2024,0.6583940266657023,0.5878037285331348,0.6230988775994186
6,J. Campbell,Atlético GO,Atlético GO,"AMF, RWF, CF",AMF,9,32,650000,2026-06-30,8,601,Costa Rica,Costa Rica,left,178,78,yes,2.9088,8.724082000000001,6.623697,4.362818000000001,1.29,1.455,0.28,0.485406,0.1573033707865169,0.2,1.45,5.33343,0.159984,0.3228409999999999,1.45,0.32,1.938,BRA1,Testing,2024,0.7795723581941358,0.788404548109604,0.78398845315187
7,Igor Coronado,Corinthians,Corinthians,"AMF, LCMF, RW",AMF,9,32,4000000,2026-12-31,26,1503,Brazil,"Brazil, Italy",right,170,66,no,2.573932,8.799189,6.583632,4.3723,1.02,2.45518,0.06,0.36006,0.02941176470588235,0.17,1.86,5.093125,0.239976,0.48006,1.44,0.48,2.1555,BRA1,Testing,2024,0.7011655481668073,0.6585156715061609,0.6798406098364841
8,Bernard,Atlético Mineiro,Atlético Mineiro,"AMF, RWF",AMF,9,32,2500000,2027-12-31,10,625,Brazil,"Brazil, Spain",right,164,60,no,1.872072,8.494372,5.763077999999999,2.446907,2.16,1.729235,0.06,0.0,0.08333333333333333,0.23,2.45,4.750147999999999,0.0,0.144,2.02,0.29,2.446613,BRA1,Testing,2024,0.6603881770530478,0.6657043065683761,0.663046241810712
9,Luciano,São Paulo,São Paulo,"AMF, CF",AMF,9,31,2500000,2026-12-31,25,1965,Brazil,Brazil,left,181,77,no,1.5114,3.754458,2.060083,2.244736,3.16,0.685728,0.35,1.190421,0.1340996168582375,0.05,0.5,2.8875,0.0,0.04625,0.82,0.23,0.5519999999999999,BRA1,Testing,2024,0.3138715141499407,0.3186654801515353,0.3162684971507381
10,G. de Arrascaeta,Flamengo,Flamengo,"AMF, CF",AMF,9,30,15000000,2026-12-31,15,1130,Uruguay,"Uruguay, Italy",right,172,70,no,1.513863,9.235512,5.812588999999999,4.538313,2.55,1.593207,0.2,0.7952539999999999,0.1197604790419162,0.2,1.75,3.745645999999999,0.08,0.319968,2.47,0.72,3.02778,BRA1,Testing,2024,0.9464177705362267,0.962377797229788,0.9543977838830074
11,Raphael Veiga,Palmeiras,Palmeiras,"AMF, RAMF",AMF,9,29,16000000,2026-12-31,27,2154,Brazil,Brazil,left,178,73,no,2.465988,7.853521999999999,5.557847999999999,3.135,1.75,1.13022,0.37,1.213245,0.1245791245791246,0.16,2.01,4.80348,0.375,0.4181400000000001,0.88,0.29,1.632,BRA1,Testing,2024,0.896684825556268,0.9308917854825245,0.9137883055193964
12,T. Pochettino,Fortaleza,Fortaleza,"AMF, CF",AMF,9,28,2500000,2025-12-31,25,1589,Argentina,"Argentina, Italy",right,180,72,no,2.436831,5.379192000000001,4.244867999999999,3.230136,1.36,2.093084,0.2,0.566712,0.130718954248366,0.16,1.76,3.511019,0.113322,0.284375,0.62,0.96,1.583841,BRA1,Testing,2024,0.5453910076909018,0.5260796814617383,0.5357353445763201
13,J. Savarino,Botafogo,Botafogo,"AMF, LAMF, LW",AMF,9,27,5000000,2026-12-31,22,1685,Venezuela,"Venezuela, Italy",right,168,60,no,2.189288,5.770799999999999,4.80297,1.442615,2.62,0.9095,0.19,1.07019,0.09595959595959597,0.28,2.3,3.312148,0.213312,0.266688,1.28,1.18,1.6554,BRA1,Testing,2024,0.7355588306192747,0.7695898910169205,0.7525743608180978
14,Bruno Tabata,Internacional,Internacional,"AMF, RAMF, RW",AMF,9,27,2800000,2027-12-31,9,629,Brazil,Brazil,left,176,73,no,1.29,7.729865,4.580643,4.720283999999999,2.29,2.577864,0.32,1.1428,0.16,0.33,2.15,3.291365,0.4319999999999999,0.576,1.43,1.29,2.287857,BRA1,Testing,2024,0.834900903840132,0.9386154579328976,0.8867581808865149
15,Lucas Fernandes,Cuiabá,Cuiabá,"AMF, LCMF",AMF,9,27,2000000,2025-06-30,19,1116,Brazil,Brazil,right,175,69,yes,1.367335,6.289625999999999,2.905084,1.934839,1.13,0.80625,0.09,0.725,0.06206896551724138,0.1,1.29,2.984586,0.0,0.16,0.65,0.16,1.367335,BRA1,Testing,2024,0.3509412892378317,0.3173894741253649,0.3341653816815983
16,R. Garro,Corinthians,Corinthians,"AMF, CF",AMF,9,26,7000000,2028-12-31,29,2692,Argentina,"Argentina, Italy",left,174,70,no,2.710224,8.793902000000001,7.688142,4.412891999999999,1.34,1.235007,0.12,0.8016,0.0718562874251497,0.18,2.01,6.120534,0.234311,0.4016359999999999,1.4,0.53,2.2413,BRA1,Testing,2024,1.0,1.0,1.0
17,Matheusinho,Criciúma,Criciúma,"AMF, RW, LCMF",AMF,9,26,1300000,2024-12-31,22,1498,Brazil,Brazil,right,164,58,no,2.165246,7.0265,5.887735,3.78658,2.04,1.440072,0.27,0.6,0.140625,0.1,1.26,3.967458,0.18,0.18,1.5,0.66,2.466532,BRA1,Testing,2024,0.7940914864957861,0.7744125693181187,0.7842520279069525
18,Lincoln,Red Bull Bragantino,Red Bull Bragantino,"AMF, LCMF",AMF,9,25,3500000,2026-06-30,22,1269,Brazil,Brazil,left,178,73,yes,1.702205,9.293449,5.746524000000001,3.047448,1.35,0.569426,0.13,0.426624,0.1015625,0.14,1.21,5.178324,0.213,0.424314,0.85,0.57,1.35,BRA1,Testing,2024,0.5323758470086285,0.5421404657720541,0.5372581563903414
19,Christian,Athletico Paranaense,Athletico Paranaense,"AMF, LCMF, RAMF",AMF,9,23,7000000,2025-12-31,19,1448,Brazil,Brazil,right,175,72,no,0.93,5.843418000000001,2.483234,1.615152,2.11,0.3730869999999999,0.15,0.248031,0.1612903225806452,0.06,0.56,1.928055,0.0,0.248,0.56,0.06,0.868898,BRA1,Testing,2024,0.0,0.0,0.0
20,Lorran,Flamengo U20,Flamengo,"AMF, CF, RAMF",AMF,9,18,0,,17,769,Brazil,Brazil,left,180,68,no,0.46662,6.670103,4.567508999999999,4.563540000000001,2.93,2.339224,0.16,1.053506,0.08040201005025126,0.2,1.52,2.45875,0.233345,0.233345,2.46,0.47,1.758,BRA1,Testing,2024,0.7453937314654361,0.7459638979383227,0.7456788147018795
21,M. Monsalve,Grêmio,Grêmio,"AMF, CF, LAMF",AMF,9,20,0,2026-12-31,12,806,Colombia,Colombia,right,178,71,no,1.11875,6.58932,4.01856,7.148102,1.79,3.347638000000001,0.33,0.559375,0.1843575418994413,0.09,0.67,4.238887999999999,0.0,0.0,1.0,0.11,0.89414,BRA1,Testing,2024,0.5272958246654416,0.4996798379622173,0.5134878313138295
22,B. Zapelli,Athletico Paranaense,Athletico Paranaense,"AMF, CF",AMF,9,22,6000000,2028-07-01,26,1364,Argentina,"Argentina, Italy",right,181,72,no,1.516852,7.057911000000001,4.417497,3.695868,2.11,1.912911,0.16,0.5272199999999999,0.1103448275862069,0.16,1.98,3.230832,0.066,0.461216,1.65,0.4,2.24112,BRA1,Testing,2024,0.6104682940209132,0.6391258249210012,0.6247970594709572
23,Mandaca,Juventude,Juventude,"AMF, CF, LCMF",AMF,9,23,800000,2025-12-31,23,915,Brazil,Brazil,right,178,74,no,0.49375,5.113471000000001,1.965645,4.031823999999999,3.05,1.6744,0.4,0.883656,0.1851851851851852,0.06,0.59,2.262795,0.1,0.09998999999999998,0.69,0.3,0.2957339999999999,BRA1,Testing,2024,0.3199847815328467,0.3346886744849473,0.327336728008897
24,Maurício,Palmeiras,Palmeiras,AMF,AMF,9,23,12000000,2028-12-31,19,1322,Brazil,"Brazil, Paraguay",left,175,70,no,0.615,3.879723,2.652034,1.974581,3.34,0.748887,0.26,0.682636,0.1656050955414013,0.09,1.16,2.109519,0.0,0.0,1.02,0.27,0.9512579999999999,BRA1,Testing,2024,0.371492722611416,0.3423850441175529,0.3569388833644845
25,Max,Cuiabá,Cuiabá,"AMF, LCMF, RCMF",AMF,9,23,500000,2028-12-31,21,1184,Brazil,Brazil,left,175,73,no,1.522344,7.52691,4.711924,2.736,0.84,1.13898,0.06,0.3791059999999999,0.03296703296703297,0.11,0.99,3.8775,0.075,0.225,0.46,0.15,1.29068,BRA1,Testing,2024,0.3424812284652721,0.3238762347522837,0.3331787316087779
