Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Osvaldo,Vitória,Vitória,"LW, LWF",LW,10,37,175000,2024-12-31,19,1156,Brazil,Brazil,right,169,62,no,5.22,3.192968,4.749948,3.889130000000001,3.34662,0.18,0.1,BRA1,Testing,2024,0.6248288166140173,0.6206266493329874,0.6227277329735024
1,Keno,Fluminense,Fluminense,"LAMF, LW",LAMF,10,35,800000,2025-12-31,21,1183,Brazil,Brazil,right,178,66,no,5.93,3.34757,3.728003,3.191848,5.553973,0.13,0.08,BRA1,Testing,2024,0.5752841611993799,0.5713189822667804,0.57330157173308
2,Edenílson,Grêmio,Grêmio,"RW, CF, RAMF",RW,10,34,1200000,2025-12-31,24,1236,Brazil,Brazil,right,175,74,no,4.3,1.895,5.824940000000002,3.2775,2.47453,0.17,0.03,BRA1,Testing,2024,0.5357444150198948,0.4625471459426992,0.499145780481297
3,Marinho,Fortaleza,Fortaleza,"RAMF, RW",RAMF,10,34,600000,2025-12-31,16,891,Brazil,Brazil,left,169,65,no,6.26,2.525,3.133099999999999,2.323101,6.36179,0.15,0.17,BRA1,Testing,2024,0.3792142025656123,0.4188458788373955,0.3990300407015039
4,Marquinhos Gabriel,Criciúma,Criciúma,"RW, CF, AMF",RW,10,34,400000,2024-12-31,22,1080,Brazil,Brazil,left,174,70,no,5.5,2.58345,5.9166,4.164353999999999,3.7496,0.1,0.16,BRA1,Testing,2024,0.6699218799869207,0.6806505957610595,0.6752862378739901
5,Bruno Henrique,Flamengo,Flamengo,"LAMF, LW, CF",LAMF,10,33,1800000,2026-12-31,20,1495,Brazil,Brazil,right,184,77,no,5.24,2.71042,2.406419,2.288055,4.094450999999999,0.26,0.06,BRA1,Testing,2024,0.309284606144299,0.3088456039373474,0.3090651050408232
6,Fellipe Mateus,Criciúma,Criciúma,"LW, AMF, LAMF",LW,10,33,350000,2025-12-31,25,1696,Brazil,Brazil,left,178,75,no,6.26,3.02432,4.985507999999999,2.91588,3.344616,0.1,0.1,BRA1,Testing,2024,0.5224186702329847,0.5439668748107591,0.5331927725218719
7,Jonathan Cafú,Cuiabá,Cuiabá,"RW, RAMF, RWF",RW,10,33,300000,2024-12-31,24,1392,Brazil,"Brazil, Bulgaria",right,175,68,no,6.08,4.268775,3.427734000000001,2.780934999999999,3.556212,0.1,0.07,BRA1,Testing,2024,0.526971204732808,0.5480515738524292,0.5375113892926187
8,Rafa Silva,Cruzeiro,Cruzeiro,"RWF, CF",RWF,11,32,400000,2024-12-31,8,574,Brazil,Brazil,right,179,73,no,2.82,1.099506,2.506651,1.256,1.09779,0.31,0.04,BRA1,Testing,2024,0.003116707314058553,0.006327236789696711,0.004721972051877632
9,Yago Pikachu,Fortaleza,Fortaleza,"RAMF, RW",RAMF,10,32,1200000,2025-12-31,27,1751,Brazil,Brazil,right,169,63,no,5.96,3.292402,4.781028,3.390942,2.570925,0.14,0.07,BRA1,Testing,2024,0.5668790062025907,0.5773397269953533,0.572109366598972
