Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Gustavo Silva,Vitória,Vitória,"RAMF, RWF",RAMF,10,27,1500000,2026-12-31,12,600,Brazil,Brazil,right,168,63,no,3.000285,1.65,1.95,0.6,0.9,0.19,0.15,12.5,0.22,1.5,0.15,1.35,0.3,BRA1,Testing,2024,0.5165562623341654,0.5160313975820443,0.5187565620060588
1,Rayan,Vasco da Gama,Vasco da Gama,"RAMF, RW, RWF",RAMF,10,18,0,,15,603,Brazil,Brazil,left,185,75,no,3.431072,2.54,1.6445,0.75,1.04,0.2,0.746339,7.143,0.14,0.9,0.9,0.6,0.45,BRA1,Testing,2024,0.4893606108323626,0.5323485608159627,0.5132913725671991
2,Zé Hugo,Vitória,Vitória,"RW, LW",RW,10,24,400000,2024-12-31,18,644,Brazil,Brazil,right,178,70,no,6.566739999999999,2.93,3.774622,1.4,2.38,0.2,0.5599439999999999,8.333,0.22,1.54,0.28,1.54,0.56,BRA1,Testing,2024,0.65647863492437,0.6423596552926218,0.65251688761172
3,Marinho,Fortaleza,Fortaleza,"RW, RAMF, RWF",RW,10,34,600000,2025-12-31,13,667,Brazil,Brazil,left,169,65,no,6.476255999999999,2.29,3.372576,0.54,1.08,0.1,0.54,0.0,0.18,1.35,1.08,0.13,0.94,BRA1,Testing,2024,0.6042027064412065,0.5291244301428262,0.5693665650141619
4,Moisés,Fortaleza,Fortaleza,"LAMF, LW, LCMF",LAMF,10,28,1500000,2027-12-31,16,693,Brazil,Brazil,right,177,80,no,5.066352,4.29,3.5046,1.17,2.6,0.35,1.04,10.0,0.12,1.43,1.04,0.26,0.78,BRA1,Testing,2024,0.6998410434422662,0.8228397025129073,0.7649719820093765
5,M. Araújo,São Paulo,São Paulo,"LAMF, LWB, LB",LAMF,10,27,1500000,2027-12-31,16,748,Uruguay,Uruguay,left,178,74,no,3.3705,1.93,1.32405,0.84,2.17,0.19,0.360048,0.0,0.15,1.44,1.2,0.84,0.6,BRA1,Testing,2024,0.5648082841962622,0.5239683112230205,0.5469850409389947
6,Ó. Romero,Botafogo,Botafogo,"RW, RAMF",RW,10,32,2000000,2024-12-31,17,761,Paraguay,Paraguay,left,176,73,no,2.84,1.42,0.9480000000000001,0.12,1.77,0.2,1.066142,7.692,0.14,1.66,1.3,0.35,0.24,BRA1,Testing,2024,0.4285328366042541,0.542177865165285,0.4876705057595952
7,Allano,Criciúma,Criciúma,"RW, CF, RAMF",RW,10,29,300000,2024-12-31,15,773,Brazil,Brazil,left,182,74,yes,5.705163,2.79,2.559581999999999,0.82,2.79,0.12,0.465691,0.0,0.17,1.28,1.16,0.82,0.93,BRA1,Testing,2024,0.6286908592219855,0.5826240381471058,0.6085464470076102
8,Gabriel Carvalho,Internacional,Internacional,"RAMF, RW, LAMF",RAMF,10,17,0,,10,776,Brazil,Brazil,right,168,67,no,4.17358,3.48,2.202915,0.46,1.74,0.15,0.579942,6.667,0.26,1.51,2.09,0.81,0.35,BRA1,Testing,2024,0.5655149431829795,0.6137394941709439,0.5924397524775294
9,Biel,Bahia,Bahia,"LW, LWF, CF",LW,10,23,4000000,2029-12-31,20,795,Brazil,Brazil,right,170,62,no,3.624254,3.85,1.923744,0.79,1.81,0.42,0.9053640000000001,18.182,0.35,1.7,1.7,0.45,1.02,BRA1,Testing,2024,1.0,0.9514747348104614,0.980391654451989
