Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Carlos Miguel,Nottingham Forest,Corinthians,GK,GK,0,25,0,2025-06-30,6,610,Brazil,Brazil,left,204,90,no,0.15,78.79,0.39,1.03,0.74,0.2746478873239436,4.728155339805825,BRA1,Testing,2024,0.5921024254502932,0.5258217652578707,0.559
1,Lucão,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,23,1500000,2026-12-31,7,614,Brazil,Brazil,right,190,81,no,0.15,71.43,-0.018,1.17,1.17,-0.008620689655172376,3.504273504273504,BRA1,Testing,2024,0.1521281176255311,0.1672272044071981,0.16
2,Bento,Al Nassr,Athletico Paranaense,GK,GK,0,25,15000000,2027-06-30,7,710,Brazil,"Brazil, Italy",right,191,92,no,0.253346,85.19,0.266,1.14,0.89,0.3376623376623377,6.705882352941177,BRA1,Testing,2024,0.7484712499964955,0.7767408392099182,0.763
3,Matheus Donelli,Corinthians,Corinthians,GK,GK,0,22,2000000,2028-06-30,7,726,Brazil,"Brazil, Italy",right,189,83,no,0.0,70.73,0.112,0.62,0.62,0.06875000000000009,3.409395973154362,BRA1,Testing,2024,0.05325707038394918,0.1015333807300604,0.077
4,Fabrício,Internacional,Internacional,GK,GK,0,38,200000,2024-12-31,8,818,Brazil,Brazil,right,192,92,no,0.33,75.0,-0.012,1.32,1.65,-0.01149425287356332,4.0,BRA1,Testing,2024,0.5079255039816138,0.5152981423213634,0.512
5,Matheus Mendes,Atlético Mineiro,Atlético Mineiro,GK,GK,0,25,300000,2026-12-31,10,1005,Brazil,Brazil,right,191,83,no,0.27,66.67,0.084,1.25,2.15,0.05294117647058816,3.006211180124224,BRA1,Testing,2024,0.2415233428005531,0.2608324087649825,0.251
6,Jandrei,São Paulo,São Paulo,GK,GK,0,31,400000,2026-12-31,10,1010,Brazil,"Brazil, Italy",right,188,88,no,0.71,75.56,-0.037,1.69,0.89,-0.04255319148936176,4.091836734693877,BRA1,Testing,2024,0.7409709173156711,0.7602392898767333,0.751
7,Hugo Souza,Corinthians,Corinthians,GK,GK,0,25,1500000,2025-12-31,10,1043,Brazil,Brazil,right,199,87,yes,0.085,78.0,0.147,0.86,1.12,0.1363636363636365,4.536842105263157,BRA1,Testing,2024,0.3886471160552684,0.3756715989510739,0.382
8,Cássio,Cruzeiro,Cruzeiro,GK,GK,0,37,400000,2027-05-31,13,1319,Brazil,Brazil,right,196,92,no,0.41,80.33,0.276,1.16,0.75,0.2477064220183487,5.073170731707317,BRA1,Testing,2024,0.7843121896073874,0.823914181715331,0.804
9,S. Rochet,Internacional,Internacional,GK,GK,0,31,3500000,2026-12-31,13,1319,Uruguay,"Uruguay, Italy",right,190,82,no,0.48,77.55,-0.065,1.5,1.98,-0.0869565217391306,4.453333333333333,BRA1,Testing,2024,0.7133469281386751,0.6999987723143317,0.707
10,Éverson,Atlético Mineiro,Atlético Mineiro,GK,GK,0,34,1800000,2025-12-31,13,1326,Brazil,Brazil,right,192,86,no,0.27,67.39,0.028,0.88,1.02,0.02857142857142858,3.058823529411765,BRA1,Testing,2024,0.1205595693928487,0.1063458766467274,0.113
11,Léo Linck,Athletico Paranaense,Athletico Paranaense,GK,GK,0,23,1000000,2026-12-31,14,1357,Brazil,Brazil,right,195,87,no,0.2,67.69,-0.021,1.26,1.06,-0.01459854014598516,3.100719424460431,BRA1,Testing,2024,0.05435906882990922,0.08141476253442559,0.068
