Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Kaio Jorge,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,22,4000000,2028-12-31,9,606,Brazil,Brazil,right,182,71,no,1.188,0.7434820000000001,0.34,7.143,0.4411764705882352,0.1634615384615385,0.03,0.0,0.15,0.1475,BRA1,Testing,2024,0.3271442572206054,0.3499088183613099,0.3388409204533702
1,Ademir,Bahia,Bahia,"CF, RWF",CF,12,29,3000000,2025-12-31,18,632,Brazil,Brazil,left,172,67,no,0.7119190000000001,6.1256,0.14,11.111,1.0,0.109375,0.13,0.71,0.43,0.57,BRA1,Testing,2024,0.7296198742656269,0.789234075569029,0.7601322391953971
2,João Pedro,Fenerbahçe,Grêmio,CF,CF,12,32,3000000,2025-06-30,11,640,Brazil,"Brazil, Italy",right,184,73,no,2.529418,1.4067,0.1,0.0,0.0,0.1428571428571429,0.04,0.56,0.28,0.14,BRA1,Testing,2024,0.4634466495455319,0.3685248727361,0.4163720785975404
3,Pedro Raul,Corinthians,Corinthians,CF,CF,12,27,3000000,2028-12-31,17,658,Brazil,Brazil,right,193,86,no,2.189626,2.052818,0.19,0.0,0.0,0.1158536585365854,0.05,1.23,0.14,0.68125,BRA1,Testing,2024,0.4439878282725868,0.3285314554701767,0.3866183532899501
4,Eduardo,Botafogo,Botafogo,"CF, LW, AMF",CF,12,34,1000000,2024-12-31,10,672,Brazil,Brazil,right,184,72,no,0.668528,2.141815,0.24,22.222,1.125,0.1983471074380165,0.04,0.13,0.4,0.805,BRA1,Testing,2024,0.7115678294547289,0.7240037767304,0.7184523960671969
5,L. Alario,Internacional,Internacional,CF,CF,12,31,1500000,2025-12-31,13,705,Argentina,"Argentina, Italy",right,184,78,no,1.78695,0.89337,0.25,0.0,0.0,0.1953125,0.0,0.38,0.0,0.256641,BRA1,Testing,2024,0.3540601578624411,0.3517943811840012,0.3532550258502574
6,Gilberto,Juventude,Juventude,CF,CF,12,35,400000,2024-12-31,14,706,Brazil,Brazil,right,178,75,no,2.038108,1.911462,0.19,7.143,0.6842105263157895,0.1067415730337079,0.06,0.38,0.13,0.253308,BRA1,Testing,2024,0.5111241389033282,0.5259951878632441,0.5190412391222459
7,Alan Patrick,Internacional,Internacional,"CF, AMF",CF,12,33,4000000,2026-12-31,10,711,Brazil,Brazil,right,177,70,no,0.126875,4.178552,0.44,10.526,0.5681818181818182,0.1825726141078838,0.36,2.15,0.89,2.026692,BRA1,Testing,2024,0.7488668334389985,0.7213246881699169,0.7357784291822985
8,L. Di Yorio,Athletico Paranaense,Athletico Paranaense,CF,CF,12,27,2000000,2027-12-31,14,719,Argentina,"Argentina, Italy",right,186,83,no,2.878583,2.128896,0.22,27.273,1.727272727272727,0.1594202898550725,0.03,0.25,0.13,0.3766289999999999,BRA1,Testing,2024,0.965004198252428,0.9991582475778729,0.9829932616332376
9,Igor Jesus,Botafogo,Botafogo,CF,CF,12,23,2500000,2027-12-31,10,731,Brazil,Brazil,right,180,75,no,2.709913,3.941216000000001,0.56,16.667,0.8749999999999999,0.1898305084745763,0.03,0.74,0.25,0.616716,BRA1,Testing,2024,0.946801368268714,0.9269117447396868,0.9377265960008211
10,John Kennedy,Fluminense,Fluminense,"CF, LAMF",CF,12,22,7000000,2026-12-31,19,781,Brazil,Brazil,right,181,73,no,1.49825,5.070329999999999,0.12,0.0,0.0,0.09448818897637795,0.0,0.23,0.12,0.23,BRA1,Testing,2024,0.5603704815116002,0.4033763322442096,0.4823209128418054
11,Kauã Elias,Fluminense,Fluminense,CF,CF,12,18,0,,17,823,Brazil,Brazil,right,181,70,no,1.094238,3.6099,0.29,33.333,1.896551724137931,0.1768292682926829,0.08,0.44,0.33,0.330022,BRA1,Testing,2024,0.8974320502622453,1.0,0.9495970782733678
12,Edenílson,Grêmio,Grêmio,"CF, RW, AMF",CF,12,34,1200000,2025-12-31,17,834,Brazil,Brazil,right,175,74,no,0.864637,2.479951,0.15,11.111,0.7333333333333334,0.154639175257732,0.04,1.29,0.32,1.187946,BRA1,Testing,2024,0.5224855782581821,0.5410109365596152,0.5322420811250194
13,Éder,Criciúma,Criciúma,CF,CF,12,37,0,2024-12-31,16,853,Brazil,"Brazil, Italy",right,179,78,no,0.31625,1.37061,0.13,0.0,0.0,0.1120689655172414,0.13,0.63,0.32,1.0526,BRA1,Testing,2024,0.0,0.0,0.0
14,G. Mastriani,Athletico Paranaense,Athletico Paranaense,CF,CF,12,31,2000000,2026-12-31,16,861,Uruguay,"Uruguay, Italy",left,180,76,no,2.717712,1.04535,0.43,15.385,0.9767441860465116,0.1580882352941176,0.11,0.63,0.31,0.6273249999999999,BRA1,Testing,2024,0.7778563146860039,0.8306025580125971,0.8049763077557192
15,Cadu,Atlético Mineiro,Atlético Mineiro,"CF, LWB",CF,12,20,0,,17,938,Brazil,Brazil,right,177,73,no,1.631267,4.030136,0.09,18.182,2.111111111111111,0.08490566037735849,0.01,0.19,0.0,0.09665699999999999,BRA1,Testing,2024,0.8594682147923999,0.8755498033083193,0.8683146468999408
16,André Silva,São Paulo,São Paulo,CF,CF,12,27,3500000,2027-12-31,19,968,Brazil,Brazil,left,181,78,no,1.301265,2.603915,0.2,23.529,1.85,0.1265822784810127,0.03,0.93,0.65,0.837683,BRA1,Testing,2024,0.813702481561204,0.8500782178744923,0.8326629092479996
17,R. Borré,Internacional,Internacional,CF,CF,12,28,8000000,2028-12-31,11,1013,Colombia,Colombia,right,174,70,no,2.31104,1.6888,0.54,15.385,0.6666666666666666,0.2337662337662338,0.03,0.53,0.09,0.621818,BRA1,Testing,2024,0.7913341152350581,0.8146079696146129,0.8037167451865893
18,Janderson,Vitória,Vitória,"CF, RW, LW",CF,12,25,0,,18,1026,Brazil,Brazil,right,189,77,no,1.402388,4.736073999999999,0.15,4.167,0.6,0.07109004739336493,0.03,0.53,0.26,0.261792,BRA1,Testing,2024,0.6082507130097093,0.6042730100166875,0.6068248844873658
19,Pablo,Athletico Paranaense,Athletico Paranaense,"CF, AMF",CF,12,32,800000,2025-12-31,18,1030,Brazil,Brazil,right,185,79,no,1.921842,0.960514,0.25,8.333,0.68,0.119047619047619,0.03,0.7,0.17,0.6113770000000001,BRA1,Testing,2024,0.4804833730771622,0.489645940316457,0.4855151263090582
20,T. Borbas,Red Bull Bragantino,Red Bull Bragantino,CF,CF,12,22,7000000,2027-12-31,20,1049,Uruguay,Uruguay,right,181,69,no,3.00246,1.715504,0.14,14.286,1.214285714285714,0.1166666666666667,0.03,0.26,0.09,0.4278120000000001,BRA1,Testing,2024,0.863560433503851,0.8294744853023821,0.8473036028304604
21,Tiquinho Soares,Botafogo,Botafogo,"CF, AMF",CF,12,33,2700000,2026-12-31,18,1117,Brazil,"Brazil, Portugal",right,187,89,no,2.174436,2.738481999999999,0.28,23.529,1.142857142857143,0.2043795620437956,0.1,0.97,0.48,0.9651450000000001,BRA1,Testing,2024,1.0,0.9981443642521579,1.0
22,Eduardo Sasha,Red Bull Bragantino,Red Bull Bragantino,"CF, AMF",CF,12,32,1800000,2025-12-31,15,1146,Brazil,"Brazil, Italy",right,173,65,no,3.21842,2.121141,0.14,9.524,1.142857142857143,0.08484848484848487,0.09,0.47,0.47,0.55125,BRA1,Testing,2024,0.8410945993147875,0.7707617754265477,0.8066766363723683
