Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Kaio Jorge,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,22,4000000,2028-12-31,9,606,Brazil,Brazil,right,182,71,no,0.7434820000000001,0.149985,0.3,0.34,7.143,0.4411764705882352,0.1634615384615385,0.03,0.45,BRA1,Testing,2024,0.3639666642501497,0.3597991783630877,0.3618829213066187
1,Ademir,Bahia,Bahia,"CF, RWF",CF,12,29,3000000,2025-12-31,18,632,Brazil,Brazil,left,172,67,no,6.1256,3.985344,1.0,0.14,11.111,1.0,0.109375,0.13,0.71,BRA1,Testing,2024,0.6523361243395273,0.7381272738980666,0.695231699118797
2,João Pedro,Fenerbahçe,Grêmio,CF,CF,12,32,3000000,2025-06-30,11,640,Brazil,"Brazil, Italy",right,184,73,no,1.4067,0.281454,0.0,0.1,0.0,0.0,0.1428571428571429,0.04,0.42,BRA1,Testing,2024,0.0,0.0,0.0
3,Pedro Raul,Corinthians,Corinthians,CF,CF,12,27,3000000,2028-12-31,17,658,Brazil,Brazil,right,193,86,no,2.052818,0.0,0.14,0.19,0.0,0.0,0.1158536585365854,0.05,0.82,BRA1,Testing,2024,0.09526176951988943,0.07161499823814865,0.08343838387901904
4,Eduardo,Botafogo,Botafogo,"CF, LW, AMF",CF,12,34,1000000,2024-12-31,10,672,Brazil,Brazil,right,184,72,no,2.141815,1.073387,0.13,0.24,22.222,1.125,0.1983471074380165,0.04,0.8,BRA1,Testing,2024,0.8238603935880379,0.8321373854187986,0.8279988895034183
5,L. Alario,Internacional,Internacional,CF,CF,12,31,1500000,2025-12-31,13,705,Argentina,"Argentina, Italy",right,184,78,no,0.89337,0.1275,0.0,0.25,0.0,0.0,0.1953125,0.0,0.13,BRA1,Testing,2024,0.0216889686969971,0.05257978795873663,0.03713437832786687
6,Gilberto,Juventude,Juventude,CF,CF,12,35,400000,2024-12-31,14,706,Brazil,Brazil,right,178,75,no,1.911462,0.5085459999999999,0.13,0.19,7.143,0.6842105263157895,0.1067415730337079,0.06,0.64,BRA1,Testing,2024,0.3190375672830914,0.3061475891261679,0.3125925782046296
7,Alan Patrick,Internacional,Internacional,"CF, AMF",CF,12,33,4000000,2026-12-31,10,711,Brazil,Brazil,right,177,70,no,4.178552,2.908248,0.0,0.44,10.526,0.5681818181818182,0.1825726141078838,0.36,2.91,BRA1,Testing,2024,1.0,1.0,1.0
8,L. Di Yorio,Athletico Paranaense,Athletico Paranaense,CF,CF,12,27,2000000,2027-12-31,14,719,Argentina,"Argentina, Italy",right,186,83,no,2.128896,1.0,0.13,0.22,27.273,1.727272727272727,0.1594202898550725,0.03,0.5,BRA1,Testing,2024,0.9011114578090924,0.8728688864096987,0.8869901721093956
9,Igor Jesus,Botafogo,Botafogo,CF,CF,12,23,2500000,2027-12-31,10,731,Brazil,Brazil,right,180,75,no,3.941216000000001,0.73875,0.12,0.56,16.667,0.8749999999999999,0.1898305084745763,0.03,0.25,BRA1,Testing,2024,0.6569180667582906,0.6586659490850706,0.6577920079216806
10,John Kennedy,Fluminense,Fluminense,"CF, LAMF",CF,12,22,7000000,2026-12-31,19,781,Brazil,Brazil,right,181,73,no,5.070329999999999,2.76501,0.46,0.12,0.0,0.0,0.09448818897637795,0.0,0.0,BRA1,Testing,2024,0.08403966113912464,0.147248902115584,0.1156442816273543
11,Kauã Elias,Fluminense,Fluminense,CF,CF,12,18,0,,17,823,Brazil,Brazil,right,181,70,no,3.6099,1.531896,0.33,0.29,33.333,1.896551724137931,0.1768292682926829,0.08,0.44,BRA1,Testing,2024,0.9612561042917367,0.9555305595339862,0.9583933319128615
12,Edenílson,Grêmio,Grêmio,"CF, RW, AMF",CF,12,34,1200000,2025-12-31,17,834,Brazil,Brazil,right,175,74,no,2.479951,0.6480000000000001,0.22,0.15,11.111,0.7333333333333334,0.154639175257732,0.04,0.43,BRA1,Testing,2024,0.4490409068099143,0.4481955339764468,0.4486182203931806
13,Éder,Criciúma,Criciúma,CF,CF,12,37,0,2024-12-31,16,853,Brazil,"Brazil, Italy",right,179,78,no,1.37061,0.316332,0.11,0.13,0.0,0.0,0.1120689655172414,0.13,1.16,BRA1,Testing,2024,0.2323300130098562,0.1208695679504131,0.1765997904801346
14,G. Mastriani,Athletico Paranaense,Athletico Paranaense,CF,CF,12,31,2000000,2026-12-31,16,861,Uruguay,"Uruguay, Italy",left,180,76,no,1.04535,0.315,0.0,0.43,15.385,0.9767441860465116,0.1580882352941176,0.11,0.63,BRA1,Testing,2024,0.6732192407944105,0.6673912294182769,0.6703052351063437
15,Cadu,Atlético Mineiro,Atlético Mineiro,"CF, LWB",CF,12,20,0,,17,938,Brazil,Brazil,right,177,73,no,4.030136,0.862922,0.19,0.09,18.182,2.111111111111111,0.08490566037735849,0.01,0.19,BRA1,Testing,2024,0.6084934995148781,0.6025293690308247,0.6055114342728514
16,André Silva,São Paulo,São Paulo,CF,CF,12,27,3500000,2027-12-31,19,968,Brazil,Brazil,left,181,78,no,2.603915,1.301435,0.37,0.2,23.529,1.85,0.1265822784810127,0.03,0.65,BRA1,Testing,2024,0.8144682458432955,0.8271112941029135,0.8207897699731045
17,R. Borré,Internacional,Internacional,CF,CF,12,28,8000000,2028-12-31,11,1013,Colombia,Colombia,right,174,70,no,1.6888,0.178369,0.27,0.54,15.385,0.6666666666666666,0.2337662337662338,0.03,0.71,BRA1,Testing,2024,0.6535907390608029,0.657720877047999,0.6556558080544009
18,Janderson,Vitória,Vitória,"CF, RW, LW",CF,12,25,0,,18,1026,Brazil,Brazil,right,189,77,no,4.736073999999999,2.4584,1.05,0.15,4.167,0.6,0.07109004739336493,0.03,0.26,BRA1,Testing,2024,0.2762742715827476,0.3344468018846021,0.3053605367336749
19,Pablo,Athletico Paranaense,Athletico Paranaense,"CF, AMF",CF,12,32,800000,2025-12-31,18,1030,Brazil,Brazil,right,185,79,no,0.960514,0.35,0.09,0.25,8.333,0.68,0.119047619047619,0.03,0.44,BRA1,Testing,2024,0.3271310020088207,0.3116375128623506,0.3193842574355857
20,T. Borbas,Red Bull Bragantino,Red Bull Bragantino,CF,CF,12,22,7000000,2027-12-31,20,1049,Uruguay,Uruguay,right,181,69,no,1.715504,0.258,0.09,0.14,14.286,1.214285714285714,0.1166666666666667,0.03,0.34,BRA1,Testing,2024,0.4698575161069815,0.4564109982307508,0.4631342571688661
21,Tiquinho Soares,Botafogo,Botafogo,"CF, AMF",CF,12,33,2700000,2026-12-31,18,1117,Brazil,"Brazil, Portugal",right,187,89,no,2.738481999999999,0.563905,0.24,0.28,23.529,1.142857142857143,0.2043795620437956,0.1,1.05,BRA1,Testing,2024,0.9539594394358091,0.9542564320180276,0.9541079357269183
22,Eduardo Sasha,Red Bull Bragantino,Red Bull Bragantino,"CF, AMF",CF,12,32,1800000,2025-12-31,15,1146,Brazil,"Brazil, Italy",right,173,65,no,2.121141,0.9410839999999999,0.24,0.14,9.524,1.142857142857143,0.08484848484848487,0.09,0.86,BRA1,Testing,2024,0.5087733630208835,0.4990278652965188,0.5039006141587011
23,Renato Kayzer,Fortaleza,Fortaleza,CF,CF,12,28,1000000,2025-12-31,23,1187,Brazil,Brazil,right,178,68,no,2.121617,0.528904,0.23,0.4,13.333,0.7499999999999999,0.1762114537444934,0.06,0.61,BRA1,Testing,2024,0.6498888994517135,0.628948018281871,0.6394184588667922
24,Á. Romero,Corinthians,Corinthians,"CF, RAMF",CF,12,32,1500000,2024-12-31,18,1215,Paraguay,Paraguay,right,175,73,no,3.038343999999999,1.259751,0.22,0.22,11.538,1.0,0.1139896373056995,0.11,0.96,BRA1,Testing,2024,0.6138684909665139,0.6399649365594253,0.6269167137629696
25,E. Rodríguez,Atlético GO,Atlético GO,CF,CF,12,21,0,,21,1219,Uruguay,Uruguay,left,190,77,yes,2.806615,1.5521,0.22,0.2,0.0,0.0,0.1129943502824859,0.04,0.52,BRA1,Testing,2024,0.1516173378614866,0.1678830282637027,0.1597501830625946
26,G. Cano,Fluminense,Fluminense,CF,CF,12,36,1400000,2025-12-31,15,1220,Argentina,Argentina,right,177,72,no,0.5154030000000001,0.296,0.0,0.25,8.333,0.6,0.1412429378531073,0.02,0.22,BRA1,Testing,2024,0.3030285734220583,0.2861317219487245,0.2945801476853914
27,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,38,1800000,2026-12-31,14,1295,Brazil,Brazil,left,180,85,no,4.795496,2.014286,0.35,0.47,14.894,1.042553191489362,0.1437308868501529,0.1,1.04,BRA1,Testing,2024,0.8354791077254582,0.8374819557862172,0.8364805317558377
28,Arthur Caíke,Criciúma,Criciúma,CF,CF,12,32,800000,2024-12-31,22,1314,Brazil,Brazil,right,174,71,no,2.329767,0.409364,0.21,0.27,13.333,1.0,0.1317073170731708,0.06,0.55,BRA1,Testing,2024,0.5530486493961173,0.5464954418279795,0.5497720456120484
29,F. Cristaldo,Grêmio,Grêmio,"CF, AMF",CF,12,28,10000000,2026-12-31,20,1424,Argentina,"Argentina, Paraguay",right,175,69,no,2.592716,0.7584000000000001,0.06,0.33,12.121,0.7575757575757576,0.1578947368421053,0.16,1.9,BRA1,Testing,2024,0.7887776197319583,0.8173750587321094,0.8030763392320338
30,J. López,Palmeiras,Palmeiras,CF,CF,12,23,8000000,2027-12-31,22,1425,Argentina,Argentina,left,190,74,no,1.9578,1.073397,0.13,0.42,17.073,1.047619047619048,0.1621621621621622,0.11,0.63,BRA1,Testing,2024,0.7422201010927474,0.7657111113316746,0.753965606212211
31,Júnior Santos,Botafogo,Botafogo,CF,CF,12,29,4000000,2027-12-31,17,1453,Brazil,Brazil,right,188,85,no,3.158317,1.487052,0.87,0.35,9.091,0.5428571428571429,0.1715686274509804,0.09,0.68,BRA1,Testing,2024,0.6130610900236603,0.6472638273734328,0.6301624586985466
32,J. Lucero,Fortaleza,Fortaleza,CF,CF,12,32,1200000,2027-12-31,21,1505,Argentina,Argentina,right,179,75,no,1.972056,0.4200120000000001,0.06,0.39,25.0,1.230769230769231,0.2041884816753927,0.03,0.3,BRA1,Testing,2024,0.8913113219821684,0.8543090174633285,0.8728101697227485
33,Rony,Palmeiras,Palmeiras,"CF, LAMF",CF,12,29,9000000,2026-12-31,24,1525,Brazil,Brazil,right,166,65,no,1.888568,0.7686720000000001,0.12,0.32,10.811,0.75,0.1467889908256881,0.1,0.94,BRA1,Testing,2024,0.5719931191080951,0.5824110983541164,0.5772021087311058
34,Yuri Alberto,Corinthians,Corinthians,CF,CF,12,23,12000000,2027-12-31,19,1612,Brazil,Brazil,right,182,78,no,2.73546,1.285546,0.22,0.3,8.696,0.7333333333333334,0.1167315175097276,0.04,0.56,BRA1,Testing,2024,0.4498480366605064,0.4529433369498057,0.4513956868051561
35,Everaldo,Bahia,Bahia,"CF, RWF, RW",CF,12,33,650000,2025-12-31,24,1633,Brazil,Brazil,right,182,87,no,2.47941,1.1,0.22,0.31,14.634,1.064516129032258,0.1371681415929204,0.05,0.55,BRA1,Testing,2024,0.615392930885696,0.6109159844601373,0.6131544576729167
36,Y. Bolasie,Criciúma,Criciúma,"CF, LWF",CF,12,35,250000,2024-12-31,21,1655,Congo DR,"Congo DR, England",right,185,84,no,3.913581,2.391784,0.38,0.31,12.0,1.064516129032258,0.1139705882352941,0.07,0.54,BRA1,Testing,2024,0.6147812731073032,0.6587468368584461,0.6367640549828747
37,Alerrandro,Vitória,Vitória,CF,CF,12,24,3000000,2026-12-31,24,1667,Brazil,Brazil,right,176,74,yes,2.645489,0.7560000000000001,0.05,0.37,16.216,0.8648648648648649,0.185,0.05,0.76,BRA1,Testing,2024,0.6734687832889239,0.6894184584370273,0.6814436208629756
38,J. Calleri,São Paulo,São Paulo,CF,CF,12,30,3500000,2026-12-31,21,1760,Argentina,"Argentina, Italy",right,181,77,no,2.710434,0.9231540000000001,0.0,0.21,18.519,1.238095238095238,0.1521739130434783,0.05,0.51,BRA1,Testing,2024,0.6619219814632016,0.6570697951833251,0.6594958883232633
39,Thaciano,Bahia,Bahia,"CF, LWF",CF,12,29,2000000,2027-12-31,24,1785,Brazil,Brazil,right,182,73,no,1.259836,0.455625,0.15,0.24,17.647,1.25,0.1403508771929824,0.07,0.61,BRA1,Testing,2024,0.6497931137624128,0.6374740408567294,0.6436335773095712
40,Pedro,Flamengo,Flamengo,CF,CF,12,27,23000000,2027-12-31,21,1860,Brazil,Brazil,right,186,78,no,2.03159,0.8243200000000002,0.05,0.49,26.19,1.081632653061225,0.2413793103448276,0.08,0.63,BRA1,Testing,2024,0.9442799820012822,0.9463270592048709,0.9453035206030765
41,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,24,17000000,2026-12-31,21,1870,Brazil,Brazil,right,177,80,no,2.309202,1.3005,0.87,0.22,20.0,1.318181818181818,0.1527777777777778,0.06,0.87,BRA1,Testing,2024,0.8143330098399925,0.8361958536264977,0.8252644317332452
42,Cauly,Bahia,Bahia,"CF, AMF",CF,12,28,6000000,2028-12-31,25,1999,Brazil,"Brazil, Germany",right,175,68,no,2.835,1.439919,0.68,0.1,6.667,0.8999999999999999,0.07407407407407407,0.12,1.26,BRA1,Testing,2024,0.5645080055938941,0.5483228973374985,0.5564154514656963
43,I. Pitta,Cuiabá,Cuiabá,CF,CF,12,25,4000000,2026-12-31,23,2042,Paraguay,Paraguay,right,183,88,no,2.336951,0.792,0.18,0.42,14.894,0.7380952380952381,0.2028985507246377,0.11,0.84,BRA1,Testing,2024,0.7613325065537576,0.7520218397667637,0.7566771731602606
44,P. Vegetti,Vasco da Gama,Vasco da Gama,CF,CF,12,35,750000,2025-12-31,22,2137,Argentina,Argentina,right,187,86,no,2.022756,0.463951,0.13,0.47,11.94,0.723404255319149,0.1666666666666667,0.03,0.29,BRA1,Testing,2024,0.4793520607025366,0.4810270838708061,0.4801895722866714
45,Matheus Pereira,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,28,7000000,2026-06-30,23,2211,Brazil,"Brazil, Portugal",left,175,74,no,4.192125,1.751748,0.37,0.15,12.0,1.6,0.07352941176470588,0.19,1.83,BRA1,Testing,2024,0.8889747363168966,0.8827796898720925,0.8858772130944945
