Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Kaio Jorge,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,22,4000000,2028-12-31,9,606,Brazil,Brazil,right,182,71,no,0.7434820000000001,0.149985,0.3,0.34,0.8914880000000001,7.143,0.4411764705882352,0.1634615384615385,0.03,0.45,0.0,0.15,0.1475,BRA1,Testing,2024,0.3153162154201458,0.3461857890894023,0.3253003723379239
1,Ademir,Bahia,Bahia,"CF, RWF",CF,12,29,3000000,2025-12-31,18,632,Brazil,Brazil,left,172,67,no,6.1256,3.985344,1.0,0.14,0.568832,11.111,1.0,0.109375,0.13,0.71,0.71,0.43,0.57,BRA1,Testing,2024,0.8030546321217307,0.7876071793915872,0.8017536879035297
2,João Pedro,Fenerbahçe,Grêmio,CF,CF,12,32,3000000,2025-06-30,11,640,Brazil,"Brazil, Italy",right,184,73,no,1.4067,0.281454,0.0,0.1,0.42,0.0,0.0,0.1428571428571429,0.04,0.42,0.56,0.28,0.14,BRA1,Testing,2024,0.06181206743135113,0.0,0.01779217334080861
3,Pedro Raul,Corinthians,Corinthians,CF,CF,12,27,3000000,2028-12-31,17,658,Brazil,Brazil,right,193,86,no,2.052818,0.0,0.14,0.19,0.41,0.0,0.0,0.1158536585365854,0.05,0.82,1.23,0.14,0.68125,BRA1,Testing,2024,0.1351864368451645,0.09162846350010787,0.1024021039759555
4,Eduardo,Botafogo,Botafogo,"CF, LW, AMF",CF,12,34,1000000,2024-12-31,10,672,Brazil,Brazil,right,184,72,no,2.141815,1.073387,0.13,0.24,0.672276,22.222,1.125,0.1983471074380165,0.04,0.8,0.13,0.4,0.805,BRA1,Testing,2024,0.7725695242544093,0.7825804553468942,0.7835439785201156
5,L. Alario,Internacional,Internacional,CF,CF,12,31,1500000,2025-12-31,13,705,Argentina,"Argentina, Italy",right,184,78,no,0.89337,0.1275,0.0,0.25,0.256,0.0,0.0,0.1953125,0.0,0.13,0.38,0.0,0.256641,BRA1,Testing,2024,0.0,0.02711449726563994,0.0
6,Gilberto,Juventude,Juventude,CF,CF,12,35,400000,2024-12-31,14,706,Brazil,Brazil,right,178,75,no,1.911462,0.5085459999999999,0.13,0.19,0.5085459999999999,7.143,0.6842105263157895,0.1067415730337079,0.06,0.64,0.38,0.13,0.253308,BRA1,Testing,2024,0.2582836804382608,0.2603177731343671,0.2520240201142949
7,Alan Patrick,Internacional,Internacional,"CF, AMF",CF,12,33,4000000,2026-12-31,10,711,Brazil,Brazil,right,177,70,no,4.178552,2.908248,0.0,0.44,1.014851,10.526,0.5681818181818182,0.1825726141078838,0.36,2.91,2.15,0.89,2.026692,BRA1,Testing,2024,0.9435015804255938,1.0,0.9826823898280782
8,L. Di Yorio,Athletico Paranaense,Athletico Paranaense,CF,CF,12,27,2000000,2027-12-31,14,719,Argentina,"Argentina, Italy",right,186,83,no,2.128896,1.0,0.13,0.22,0.6272099999999999,27.273,1.727272727272727,0.1594202898550725,0.03,0.5,0.25,0.13,0.3766289999999999,BRA1,Testing,2024,0.8600335286717441,0.8101868781287179,0.8425496373414806
9,Igor Jesus,Botafogo,Botafogo,CF,CF,12,23,2500000,2027-12-31,10,731,Brazil,Brazil,right,180,75,no,3.941216000000001,0.73875,0.12,0.56,1.720735,16.667,0.8749999999999999,0.1898305084745763,0.03,0.25,0.74,0.25,0.616716,BRA1,Testing,2024,0.912122608281389,0.8579991622177278,0.8937769241924242
10,John Kennedy,Fluminense,Fluminense,"CF, LAMF",CF,12,22,7000000,2026-12-31,19,781,Brazil,Brazil,right,181,73,no,5.070329999999999,2.76501,0.46,0.12,0.461772,0.0,0.0,0.09448818897637795,0.0,0.0,0.23,0.12,0.23,BRA1,Testing,2024,0.1782888163997934,0.1964827256732407,0.178271111631878
11,Kauã Elias,Fluminense,Fluminense,CF,CF,12,18,0,,17,823,Brazil,Brazil,right,181,70,no,3.6099,1.531896,0.33,0.29,1.312,33.333,1.896551724137931,0.1768292682926829,0.08,0.44,0.44,0.33,0.330022,BRA1,Testing,2024,0.9690736109223784,0.945287219044688,0.9677396350195083
12,Edenílson,Grêmio,Grêmio,"CF, RW, AMF",CF,12,34,1200000,2025-12-31,17,834,Brazil,Brazil,right,175,74,no,2.479951,0.6480000000000001,0.22,0.15,0.538932,11.111,0.7333333333333334,0.154639175257732,0.04,0.43,1.29,0.32,1.187946,BRA1,Testing,2024,0.5222552160773811,0.5459193166147659,0.5338333641241909
13,Éder,Criciúma,Criciúma,CF,CF,12,37,0,2024-12-31,16,853,Brazil,"Brazil, Italy",right,179,78,no,1.37061,0.316332,0.11,0.13,0.421776,0.0,0.0,0.1120689655172414,0.13,1.16,0.63,0.32,1.0526,BRA1,Testing,2024,0.1383975710954424,0.04478426146971629,0.08002799819196564
14,G. Mastriani,Athletico Paranaense,Athletico Paranaense,CF,CF,12,31,2000000,2026-12-31,16,861,Uruguay,"Uruguay, Italy",left,180,76,no,1.04535,0.315,0.0,0.43,1.046112,15.385,0.9767441860465116,0.1580882352941176,0.11,0.63,0.63,0.31,0.6273249999999999,BRA1,Testing,2024,0.6630756767510262,0.6848375013794636,0.6772773703180458
15,Cadu,Atlético Mineiro,Atlético Mineiro,"CF, LWB",CF,12,20,0,,17,938,Brazil,Brazil,right,177,73,no,4.030136,0.862922,0.19,0.09,0.57823,18.182,2.111111111111111,0.08490566037735849,0.01,0.19,0.19,0.0,0.09665699999999999,BRA1,Testing,2024,0.6300131079885671,0.5799208882708239,0.606524591101835
16,André Silva,São Paulo,São Paulo,CF,CF,12,27,3500000,2027-12-31,19,968,Brazil,Brazil,left,181,78,no,2.603915,1.301435,0.37,0.2,0.6506440000000001,23.529,1.85,0.1265822784810127,0.03,0.65,0.93,0.65,0.837683,BRA1,Testing,2024,0.89633495289738,0.8793735122252372,0.8966416619440524
17,R. Borré,Internacional,Internacional,CF,CF,12,28,8000000,2028-12-31,11,1013,Colombia,Colombia,right,174,70,no,1.6888,0.178369,0.27,0.54,1.243935,15.385,0.6666666666666666,0.2337662337662338,0.03,0.71,0.53,0.09,0.621818,BRA1,Testing,2024,0.6584179293551239,0.6900981859907181,0.6775865436520268
18,Janderson,Vitória,Vitória,"CF, RW, LW",CF,12,25,0,,18,1026,Brazil,Brazil,right,189,77,no,4.736073999999999,2.4584,1.05,0.15,0.439513,4.167,0.6,0.07109004739336493,0.03,0.26,0.53,0.26,0.261792,BRA1,Testing,2024,0.5141747266378198,0.4787321458650511,0.4952377146118777
19,Pablo,Athletico Paranaense,Athletico Paranaense,"CF, AMF",CF,12,32,800000,2025-12-31,18,1030,Brazil,Brazil,right,185,79,no,0.960514,0.35,0.09,0.25,0.6125700000000001,8.333,0.68,0.119047619047619,0.03,0.44,0.7,0.17,0.6113770000000001,BRA1,Testing,2024,0.3859877208475655,0.3676114534632408,0.3725258351434195
