Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Carlos Miguel,Nottingham Forest,Corinthians,GK,GK,0,25,0,2025-06-30,6,610,Brazil,Brazil,left,204,90,no,0.15,13.574569,2.802618,2.947986,78.79,0.39,1.03,0.74,0.2746478873239436,4.728155339805825,BRA1,Testing,2024,0.6195701696953693,0.6175791994429796,0.6185746845691744
1,Lucão,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,23,1500000,2026-12-31,7,614,Brazil,Brazil,right,190,81,no,0.15,7.920263999999999,4.2485,4.546608,71.43,-0.018,1.17,1.17,-0.008620689655172376,3.504273504273504,BRA1,Testing,2024,0.1989710662271867,0.2007568159374392,0.199863941082313
2,Bento,Al Nassr,Athletico Paranaense,GK,GK,0,25,15000000,2027-06-30,7,710,Brazil,"Brazil, Italy",right,191,92,no,0.253346,7.479576,4.433536,4.05589,85.19,0.266,1.14,0.89,0.3376623376623377,6.705882352941177,BRA1,Testing,2024,0.8251518261240414,0.8679692799473422,0.8465605530356918
3,Matheus Donelli,Corinthians,Corinthians,GK,GK,0,22,2000000,2028-06-30,7,726,Brazil,"Brazil, Italy",right,189,83,no,0.0,11.15262,3.098709,2.725248,70.73,0.112,0.62,0.62,0.06875000000000009,3.409395973154362,BRA1,Testing,2024,0.1298660270782815,0.1376336108153783,0.1337498189468299
4,Fabrício,Internacional,Internacional,GK,GK,0,38,200000,2024-12-31,8,818,Brazil,Brazil,right,192,92,no,0.33,7.48,4.95,3.85022,75.0,-0.012,1.32,1.65,-0.01149425287356332,4.0,BRA1,Testing,2024,0.51850984586189,0.4916253337521921,0.505067589807041
5,Matheus Mendes,Atlético Mineiro,Atlético Mineiro,GK,GK,0,25,300000,2026-12-31,10,1005,Brazil,Brazil,right,191,83,no,0.27,13.16,2.32744,1.343532,66.67,0.084,1.25,2.15,0.05294117647058816,3.006211180124224,BRA1,Testing,2024,0.1941388964061116,0.1886949849976631,0.1914169407018873
6,Jandrei,São Paulo,São Paulo,GK,GK,0,31,400000,2026-12-31,10,1010,Brazil,"Brazil, Italy",right,188,88,no,0.71,16.83738,5.344382,4.902768,75.56,-0.037,1.69,0.89,-0.04255319148936176,4.091836734693877,BRA1,Testing,2024,0.6297656368692299,0.5846645033876348,0.6072150701284323
7,Hugo Souza,Corinthians,Corinthians,GK,GK,0,25,1500000,2025-12-31,10,1043,Brazil,Brazil,right,199,87,yes,0.085,8.977065,3.54084,3.278440000000001,78.0,0.147,0.86,1.12,0.1363636363636365,4.536842105263157,BRA1,Testing,2024,0.50734589877078,0.4639357901668636,0.4856408444688218
8,Cássio,Cruzeiro,Cruzeiro,GK,GK,0,37,400000,2027-05-31,13,1319,Brazil,Brazil,right,196,92,no,0.41,10.987508,2.454375,1.910154,80.33,0.276,1.16,0.75,0.2477064220183487,5.073170731707317,BRA1,Testing,2024,0.7596845290096361,0.7663195784012298,0.763002053705433
9,S. Rochet,Internacional,Internacional,GK,GK,0,31,3500000,2026-12-31,13,1319,Uruguay,"Uruguay, Italy",right,190,82,no,0.48,8.391474,5.530536,4.432346,77.55,-0.065,1.5,1.98,-0.0869565217391306,4.453333333333333,BRA1,Testing,2024,0.7102739661470414,0.6290703826306505,0.669672174388846
