Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,D. Suárez,Botafogo,Botafogo,RB,RB,1,36,650000,2025-12-31,17,1395,Uruguay,"Uruguay, Spain",right,172,67,no,7.03,2.386232,6.126119999999999,1.81,0.969192,0.45,0.64287,0.97,0.19,0.06,0.9,2.96597,0.32,1.1,1.291356,BRA1,Testing,2024,0.4449499094146939,0.4035849059738005,0.4242674076942471
1,Marcelo,Fluminense,Fluminense,LB,LB,1,36,1300000,2024-12-31,17,1150,Brazil,"Brazil, Spain",left,174,75,no,7.75,3.519549,8.37085,3.6,3.128509,0.86,2.188296,1.49,0.0,0.07,0.86,6.5736,0.55,0.78,1.175094,BRA1,Testing,2024,0.8419937848266257,0.7951075322350943,0.81855065853086
2,Marcos Rocha,Palmeiras,Palmeiras,RB,RB,1,35,600000,2024-12-31,22,1677,Brazil,Brazil,right,176,68,no,10.2,4.560137999999999,10.461776,1.13,1.129414,0.43,0.3240000000000001,1.34,0.21,0.08,0.86,6.765255,0.59,0.48,1.01814,BRA1,Testing,2024,0.8900374377317957,0.8684294516847787,0.879233444708287
3,Marçal,Botafogo,Botafogo,LB,LB,1,35,600000,2024-12-31,14,1010,Brazil,Brazil,left,178,72,no,11.23,2.937834,6.594912000000001,1.6,1.86953,0.53,0.804375,0.8,0.27,0.08,0.89,3.475736,0.36,0.62,0.98225,BRA1,Testing,2024,0.5877207138689462,0.5905001212168198,0.589110417542883
4,Fágner,Corinthians,Corinthians,"RB, RWB",RB,1,35,500000,2024-12-31,13,932,Brazil,Brazil,right,168,67,no,5.99,2.41485,8.015344,3.09,1.83222,0.48,0.8679150000000001,0.87,0.29,0.18,1.35,2.416512,0.87,2.12,2.609971,BRA1,Testing,2024,0.8144824903096475,0.8162129966177917,0.8153477434637195
5,Alan Ruschel,Juventude,Juventude,LB,LB,1,35,200000,2024-12-31,24,2328,Brazil,Brazil,left,176,72,no,8.51,1.23624,6.032,1.24,1.700736,0.27,0.541372,1.12,0.19,0.1,0.93,3.598056,0.15,0.54,0.9659399999999999,BRA1,Testing,2024,0.3030338639785435,0.3212929239637999,0.3121633939711717
6,Reinaldo,Grêmio,Grêmio,LB,LB,1,35,500000,2024-12-31,22,2138,Brazil,Brazil,left,178,79,no,8.08,2.145706,6.437563000000001,2.65,2.10285,0.93,1.219108,1.05,0.17,0.1,1.01,4.797975000000001,0.51,0.63,0.799516,BRA1,Testing,2024,0.5454344684554164,0.5084262977888714,0.5269303831221439
7,Samuel Xavier,Fluminense,Fluminense,RB,RB,1,34,400000,2025-12-31,25,2377,Brazil,Brazil,right,166,67,no,7.72,1.248942,3.8624,1.44,2.1189,0.76,0.680034,1.63,0.3,0.06,0.57,3.713472,0.38,0.57,0.7182700000000001,BRA1,Testing,2024,0.0577213443488574,0.1211434124810965,0.08943237841497693
8,Fábio,Grêmio,Grêmio,"RB, LB, RWB",RB,1,34,500000,2024-12-31,12,745,Brazil,"Brazil, Portugal",right,172,66,no,7.25,2.055,5.316425000000001,1.69,1.811673,1.09,0.483588,1.09,0.48,0.05,0.48,2.172,0.36,1.09,1.207644,BRA1,Testing,2024,0.2602255529593848,0.2950442037499377,0.2776348783546613
9,R. Cáceres,Vitória,Vitória,RB,RB,1,33,300000,2024-12-31,16,1285,Paraguay,Paraguay,right,180,75,no,9.67,2.099832,4.75979,2.38,1.190007,1.05,0.910056,1.54,0.42,0.12,0.77,2.38007,0.56,1.47,1.400056,BRA1,Testing,2024,0.4627136489293182,0.4527096329631223,0.4577116409462202
10,Bruno Pacheco,Fortaleza,Fortaleza,LB,LB,1,32,450000,2026-12-31,18,1319,Brazil,Brazil,left,174,74,no,7.78,1.977664,4.84759,1.64,2.457207,0.61,1.228986,1.91,0.61,0.01,0.27,3.272324,0.07,0.27,0.41054,BRA1,Testing,2024,0.1184802341504518,0.1196766294452185,0.1190784317978351
11,Maguinho,Atlético GO,Atlético GO,RB,RB,1,32,300000,2024-12-31,20,1513,Brazil,Brazil,right,175,70,no,7.32,1.841836,4.876919999999999,2.08,1.667196,1.84,0.715484,1.43,0.59,0.09,1.13,2.501052,0.3,1.25,0.9525760000000001,BRA1,Testing,2024,0.3215360185328446,0.3130968436658849,0.3173164310993647
12,Mádson,Athletico Paranaense,Athletico Paranaense,RB,RB,1,32,500000,2024-12-31,18,1095,Brazil,Brazil,right,182,69,no,6.58,0.82,4.605,1.15,0.8226450000000001,1.23,0.33,0.66,0.16,0.13,0.9,2.710665,0.66,0.74,0.9867159999999999,BRA1,Testing,2024,0.1666776039927718,0.1665794776014505,0.1666285407971111
