Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1800000,2026-12-31,7,647,Ecuador,Ecuador,right,178,69,no,10.15,4.175,1.251,1.668924,5.286930999999999,5.844699,2.5,1.111,0.97,0.973,1.25,0.28,0.03,0.7,2.503845,0.28,1.11,1.113222,BRA1,Testing,2024,0.322374093321046,0.2907156000863087,0.3065448467036773
1,Matheus Bidu,Corinthians,Corinthians,"LWB, LB",LWB,1,25,2000000,2025-12-31,11,663,Brazil,Brazil,left,172,72,no,8.42,3.934827,0.408,1.6272,5.700779999999998,10.998267,2.31,2.717484,1.49,0.68125,1.49,0.54,0.04,0.41,4.6155,0.54,0.81,1.2195,BRA1,Testing,2024,0.5702516319734627,0.5672361743278468,0.5687439031506547
2,Igor Gomes,Internacional,Internacional,"RB, RCB",RB,1,23,1500000,2028-12-31,12,719,Brazil,Brazil,right,185,76,no,10.64,5.382417,2.378757999999999,1.251624,4.002784,16.521945,1.0,1.376624,0.5,0.625,1.38,0.0,0.0,0.0,3.2565,0.25,0.38,0.375,BRA1,Testing,2024,0.1467702045271725,0.1739418453712289,0.1603560249492007
3,Fábio,Grêmio,Grêmio,"RB, LB, RWB",RB,1,34,500000,2024-12-31,12,745,Brazil,"Brazil, Portugal",right,172,66,no,7.25,3.866352,2.176545,2.055,5.316425000000001,7.976559,1.69,1.811673,1.09,0.483588,1.09,0.48,0.05,0.48,2.172,0.36,1.09,1.207644,BRA1,Testing,2024,0.3677423047306194,0.3498455421929028,0.3587939234617611
4,G. Varela,Flamengo,Flamengo,RB,RB,1,31,1700000,2025-12-31,10,751,Uruguay,"Uruguay, Italy",right,174,70,no,5.87,2.753687999999999,1.32,1.439892,4.071863,8.87167,2.16,2.400156,0.84,1.200024,0.96,0.12,0.06,0.48,2.039928,0.24,0.72,0.9601079999999999,BRA1,Testing,2024,0.2811014830562185,0.2480942271789945,0.2645978551176065
5,Ewerthon,Juventude,Juventude,"RB, RAMF",RB,1,23,750000,2026-07-31,14,753,Brazil,Brazil,right,171,69,yes,5.74,2.034564,1.912,1.675,2.38901,8.007904,1.55,1.074438,1.08,0.599976,0.84,0.24,0.08,0.48,1.435265,0.48,0.12,0.238643,BRA1,Testing,2024,0.1973748979276712,0.1559272390015431,0.1766510684646072
6,Mádson,Athletico Paranaense,Athletico Paranaense,RB,RB,1,32,500000,2024-12-31,14,781,Brazil,Brazil,right,182,69,no,6.68,3.34225,2.30253,0.575,4.726696,9.220994999999998,1.61,1.035,1.61,0.462834,0.69,0.12,0.18,1.27,2.537811,0.92,1.04,1.383564,BRA1,Testing,2024,0.6977875175775632,0.4618825480632929,0.579835032820428
7,Fágner,Corinthians,Corinthians,"RB, RWB",RB,1,35,500000,2024-12-31,11,783,Brazil,Brazil,right,168,67,no,5.63,2.64231,0.228,2.069954,7.474907999999999,8.736,3.22,1.724954,0.46,0.801864,0.8,0.34,0.21,1.61,2.297125,0.8,2.07,2.760069,BRA1,Testing,2024,0.6813554996151654,0.7004494295693514,0.6909024645922583
8,Roni,Atlético GO,Atlético GO,"RB, RCMF, LCMF",RB,1,25,2000000,2025-12-31,13,795,Brazil,Brazil,right,174,68,yes,8.6,4.416,0.7915949999999999,2.71588,2.94483,13.361232,0.45,0.9059050000000001,0.23,0.113322,0.11,0.0,0.0,0.11,3.395088,0.23,0.11,0.452319,BRA1,Testing,2024,0.0,0.0,0.0
9,R. Cáceres,Vitória,Vitória,"RB, RWB",RB,1,32,300000,2024-12-31,11,805,Paraguay,Paraguay,right,180,75,no,10.62,6.485941,1.451756,2.12325,5.592969,8.383954,2.46,1.229231,1.12,0.8970980000000001,1.79,0.56,0.19,1.23,2.796075,0.67,1.57,1.565,BRA1,Testing,2024,0.5903090894663594,0.5885542509680991,0.5894316702172293
