Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Lucas Freitas,Juventude,Juventude,"LCB, LB",LCB,4,23,450000,2025-12-31,7,616,Brazil,"Brazil, Portugal",left,184,76,yes,7.45,3.0675,1.460928,0.44,5.35,17.531532,BRA1,Testing,2024,0.3542482013400901,0.2905573774965312,0.3224027894183107
1,Pedro Henrique,Atlético GO,Atlético GO,LCB,LCB,4,31,1000000,2024-12-31,10,633,Brazil,Brazil,left,190,88,no,7.25,3.413504000000001,2.846808999999999,0.43,4.79,20.4768,BRA1,Testing,2024,0.4366350352603113,0.388877087133486,0.4127560611968987
2,Igor Rabello,Atlético Mineiro,Atlético Mineiro,"CB, RCB",CB,4,29,2000000,2025-12-31,10,644,Brazil,Brazil,right,190,90,no,9.22,4.472895,3.494214,0.7,6.84,26.271477,BRA1,Testing,2024,0.8603958512288712,0.8319804171007823,0.8461881341648269
3,Caio Vinícius,Vitória,Vitória,"RCB, LCMF",RCB,4,25,1500000,2024-12-31,10,657,Brazil,Brazil,right,187,80,no,9.18,4.109452999999999,2.739571999999999,0.27,4.24,16.435956,BRA1,Testing,2024,0.799269219801854,0.6072292797550995,0.7032492497784767
4,Thiago Silva,Fluminense,Fluminense,"RCB, LCB",RCB,4,39,1000000,2026-06-30,7,696,Brazil,"Brazil, France",right,181,79,no,7.63,2.326128,1.29375,0.65,6.38,18.102364,BRA1,Testing,2024,0.4187955429536301,0.3475130576635539,0.3831543003085921
5,L. Villalba,Cruzeiro,Cruzeiro,"LCB, LB",LCB,4,30,2000000,2025-12-31,15,699,Argentina,Argentina,left,177,73,yes,7.98,3.344851999999999,2.70375,0.52,6.38,20.730752,BRA1,Testing,2024,0.5894804264816328,0.5822571457488179,0.5858687861152254
6,W. Kannemann,Grêmio,Grêmio,LCB,LCB,4,33,800000,2025-12-31,10,818,Argentina,"Argentina, Italy",left,183,75,no,10.56,5.610220000000001,2.529989,0.55,5.48,9.67978,BRA1,Testing,2024,0.8594817603322524,0.7361450227674373,0.797813391549845
7,Naves,Palmeiras,Palmeiras,"RCB, LCB",RCB,4,22,0,,10,820,Brazil,Brazil,right,182,78,no,9.88,4.716737999999999,3.29052,0.33,8.25,18.552664,BRA1,Testing,2024,1.0,1.0,1.0
8,Gustavo Henrique,Corinthians,Corinthians,"LCB, RCB, CB",LCB,4,31,1000000,2025-12-31,9,826,Brazil,Brazil,right,196,86,no,7.63,3.162936,2.177952,0.87,6.0,19.39637,BRA1,Testing,2024,0.4748097292017296,0.4379913008327823,0.456400515017256
9,Neris,Vitória,Vitória,RCB,RCB,4,32,600000,2026-12-31,12,856,Brazil,Brazil,right,190,88,no,8.41,3.993402000000001,2.312994,0.74,5.47,17.139165,BRA1,Testing,2024,0.5799666711347138,0.5309522483165781,0.555459459725646
10,Rodrigo Sam,Juventude,Juventude,"LCB, RCB",LCB,4,29,50000,2025-12-31,12,870,Brazil,Brazil,right,187,86,no,9.83,4.548767999999999,3.41493,0.83,6.29,18.930236,BRA1,Testing,2024,0.9049263786063033,0.8176200476220685,0.861273213114186
11,Walisson Maia,Criciúma,Criciúma,"LCB, RCB",LCB,4,33,125000,2024-12-31,12,871,Brazil,Brazil,right,187,81,no,8.99,4.34259,2.998952000000001,0.62,5.04,13.844079,BRA1,Testing,2024,0.7173570184054638,0.6211262143645284,0.6692416163849962
12,João Victor,Vasco da Gama,Vasco da Gama,"LCB, RCB, RB",LCB,4,26,5000000,2028-12-31,12,943,Brazil,Brazil,right,187,80,no,8.4,3.722775,2.101407,0.38,5.9,18.320146,BRA1,Testing,2024,0.5682846677708273,0.5176018932111879,0.5429432804910076
