Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Thiago Silva,Fluminense,Fluminense,"RCB, LCB",RCB,4,39,1000000,2026-06-30,8,796,Brazil,"Brazil, France",right,181,79,no,8.14,2.264331,1.360068,0.57,7.12,2.938,15.71705,4.18362,18.315488,0.45,0.11,0.0,1.92166,BRA1,Testing,2024,0.4413240697439056,0.4161030727507709,0.4365729888335741
1,Pedro Geromel,Grêmio,Grêmio,"RCB, LCB",RCB,4,39,200000,2024-12-31,9,614,Brazil,"Brazil, Italy",right,190,84,no,9.53,3.664503,2.490978,0.88,6.92,2.4905,14.218206,4.251195,17.590082,0.293304,0.0,0.29,1.759824,BRA1,Testing,2024,0.619625338135338,0.5881467015397777,0.6149567969780723
2,Mariano,Atlético Mineiro,Atlético Mineiro,"RCB, RB, LB",RCB,4,38,250000,2024-12-31,9,592,Brazil,Brazil,right,177,69,no,7.91,3.649322,1.366875,0.0,5.45,4.713361000000001,17.788365,8.51238,15.812316,0.913379,0.4575,0.91,6.081147,BRA1,Testing,2024,0.7982277871987409,0.7568014295871343,0.7917684421798631
3,Rodrigo,Criciúma,Criciúma,RCB,RCB,4,37,150000,2024-12-31,26,2652,Brazil,Brazil,right,187,80,no,10.21,3.531819,3.053486,0.68,7.65,5.15736,13.64265,6.313324,14.119083,0.7118000000000001,0.304612,0.85,5.290402,BRA1,Testing,2024,0.9780829499612722,0.9777259002916241,0.9958319174009174
4,G. Mercado,Internacional,Internacional,"LCB, RCB",LCB,4,37,250000,2024-12-31,17,1359,Argentina,"Argentina, Spain",right,181,85,no,5.3,2.453016,2.187296,0.2,4.1,2.84632,13.375617,4.106522,22.975888,0.265,0.13,0.6,2.916867,BRA1,Testing,2024,0.08757138229153888,0.0680654488735066,0.07924502641311257
5,David Luiz,Flamengo,Flamengo,"LCB, RCB",LCB,4,37,400000,2024-12-31,18,1539,Brazil,"Brazil, Portugal",right,189,84,no,5.56,1.69675,2.046224,0.41,5.21,1.577906,13.277992,6.138864,20.87356,0.5856849999999999,0.116352,3.16,5.496225000000001,BRA1,Testing,2024,0.47537390045518,0.4113701237035692,0.4515001564225614
6,Fernando,Internacional,Internacional,"LCB, RDMF",LCB,4,37,2000000,2025-12-31,19,1488,Brazil,"Brazil, Portugal",right,183,76,no,7.8,2.783384,1.87803,0.3,6.78,1.272,10.58588,4.411859999999999,25.462818,0.422965,0.06,1.88,4.354068,BRA1,Testing,2024,0.4759608750477857,0.4881259354825007,0.4908804952729241
7,Titi,Fortaleza,Fortaleza,LCB,LCB,4,36,200000,2024-12-31,17,1673,Brazil,"Brazil, Italy",left,188,83,no,7.75,4.085984,1.560417,0.54,4.11,1.507548,9.901512,3.656853,12.046342,0.8081130000000001,0.108,0.54,2.151655,BRA1,Testing,2024,0.2152963260241542,0.2180783024319047,0.2206597475783501
8,Maicon,Vasco da Gama,Vasco da Gama,"RCB, LCB",RCB,4,36,250000,2024-12-31,26,2316,Brazil,"Brazil, Portugal",right,191,80,no,8.74,2.837952,2.835939999999999,0.74,7.25,7.344092000000001,13.095802,7.657804,16.357787,0.156348,0.04,0.23,4.739525999999999,BRA1,Testing,2024,0.7939936689199492,0.7674926266152793,0.7950561689487371
9,Thiago Heleno,Athletico Paranaense,Athletico Paranaense,"LCB, CB, RCB",LCB,4,36,400000,2024-12-31,19,1861,Brazil,Brazil,right,185,84,no,7.54,2.517856,2.273658,0.82,5.6,4.450149000000001,11.411172,5.515348,18.283128,0.09665699999999999,0.0,0.05,3.672396,BRA1,Testing,2024,0.4694550538601644,0.4565914177555728,0.471511637403732
10,V. Cuesta,Bahia,Bahia,LCB,LCB,4,35,500000,2024-12-31,7,556,Argentina,"Argentina, Brazil",left,187,80,no,10.85,5.020504,0.486,0.32,6.28,1.62,17.160775,5.020504,29.620297,1.134,0.0,0.97,2.748204,BRA1,Testing,2024,0.6791032968063863,0.6841451398310008,0.694120135704914
11,Thiago Santos,Fluminense,Fluminense,LCB,LCB,4,35,250000,2025-12-31,21,1805,Brazil,Brazil,right,181,78,no,9.07,4.835259000000001,2.944056,0.6,5.63,3.839,15.802095,5.235920999999999,22.883769,1.343661,0.3,1.15,3.587058,BRA1,Testing,2024,0.7529647741303849,0.7636237687790877,0.7721957472472415
12,Manoel,Fluminense,Fluminense,"RCB, LCB",RCB,4,34,300000,2024-12-31,12,1065,Brazil,Brazil,right,181,82,no,7.61,3.125111,1.184392,0.59,6.57,2.87513,12.588402,2.53277,14.873575,0.421378,0.08,0.08,2.195488,BRA1,Testing,2024,0.1796171769199484,0.2391961967697755,0.2132456476514336
13,W. Kannemann,Grêmio,Grêmio,LCB,LCB,4,33,800000,2025-12-31,13,1124,Argentina,"Argentina, Italy",left,183,75,no,11.05,5.7675,2.399976,0.48,5.75,2.880176,10.567098,4.16587,10.169685,0.9600240000000001,0.32,0.08,2.160048,BRA1,Testing,2024,0.6691570635486398,0.6452037826283978,0.6692282231138927
14,Bastos,Botafogo,Botafogo,"RCB, LCB",RCB,4,33,800000,2026-12-31,28,2641,Angola,Angola,right,180,77,no,6.82,2.759115,1.770429,0.48,5.4,2.215584,15.679314,5.041672,19.698687,0.477751,0.16875,0.65,3.340303,BRA1,Testing,2024,0.3322693671131126,0.3492814511271575,0.3470226950075471
15,Bruno Alves,Cuiabá,Cuiabá,"LCB, RCB, CB",LCB,4,33,600000,2025-12-31,22,1685,Brazil,Brazil,right,185,81,no,7.69,2.993205000000001,1.871485,0.48,5.46,2.780133,10.739036,4.3275,16.12545,0.6375,0.3225,0.59,2.938822,BRA1,Testing,2024,0.3339016489084006,0.3372868522071405,0.341746552541119
16,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"CB, LCMF, RCB",CB,4,33,1200000,2025-12-31,21,2048,Argentina,"Argentina, Italy",right,187,78,no,7.51,3.296079,2.5521760000000002,0.35,6.24,1.936044,11.778858,4.129671,23.510159,1.145124,0.3985980000000001,1.41,3.956704,BRA1,Testing,2024,0.4775737574532876,0.4876106231579096,0.4914393409484685
17,Walisson Maia,Criciúma,Criciúma,"LCB, RCB",LCB,4,33,125000,2024-12-31,15,1003,Brazil,Brazil,right,187,81,no,8.61,4.035794,3.143,0.72,4.98,4.037783999999999,9.781252,4.93625,13.552655,0.27,0.09,0.09,2.332706,BRA1,Testing,2024,0.5913422576133965,0.5330196990443142,0.5724871952626226
18,R. Arboleda,São Paulo,São Paulo,"RCB, CB",RCB,4,33,1200000,2027-12-31,25,2432,Ecuador,Ecuador,right,187,83,no,6.33,2.294728,2.479613,0.33,5.99,2.593463,15.354297,4.403888999999999,26.419735,0.297128,0.04,0.19,2.73639,BRA1,Testing,2024,0.2940650932838036,0.2944361039440024,0.2996449655866535
19,André Ramalho,Corinthians,Corinthians,"CB, RCB",CB,4,32,2500000,2026-12-31,12,1159,Brazil,"Brazil, Italy",right,182,78,no,8.93,3.569499,2.01794,0.47,6.98,2.717428,11.804247,4.81815,17.93448,0.7789240000000001,0.23,1.4,3.493166,BRA1,Testing,2024,0.7006997526133154,0.6742762628325325,0.7000914233845815
20,E. Brítez,Fortaleza,Fortaleza,"RCB, RB",RCB,4,32,800000,2025-12-31,24,2327,Argentina,Argentina,right,178,75,no,8.55,3.632274,2.400349,0.43,5.37,2.70657,9.398185000000002,4.677236000000001,9.750496,0.8890229999999998,0.345,0.46,2.592772,BRA1,Testing,2024,0.5268069393342314,0.4527023315718186,0.4987330920566284
21,Marllon,Cuiabá,Cuiabá,"RCB, CB",RCB,4,32,500000,2024-12-31,28,2752,Brazil,Brazil,right,186,75,no,8.5,3.856520000000001,2.324206,0.62,5.57,2.12824,11.509509,3.987359999999999,15.0774,0.325,0.0,0.2,2.5179,BRA1,Testing,2024,0.4617031734558633,0.4341097174676296,0.4561177175803506
22,Neris,Vitória,Vitória,RCB,RCB,4,32,600000,2026-12-31,17,1369,Brazil,Brazil,right,190,88,no,8.09,3.880019,2.16789,0.59,5.2,2.692926,12.034538,6.1125,17.096508,0.655,0.197156,0.79,4.076327999999999,BRA1,Testing,2024,0.6507918594856127,0.6100246238138247,0.6419652390326437
23,Jemerson,Grêmio,Grêmio,"LCB, CB",LCB,4,32,1700000,2026-12-31,10,915,Brazil,"Brazil, Monaco",right,184,77,no,8.36,4.12902,2.06784,0.69,5.94,1.475118,9.737106,3.34134,10.233172,0.393856,0.09998999999999998,0.3,1.476864,BRA1,Testing,2024,0.2561898456097531,0.2923533078320986,0.2792996770612378
24,Pedro Henrique,Atlético GO,Atlético GO,LCB,LCB,4,31,1000000,2024-12-31,10,633,Brazil,Brazil,left,190,88,no,7.25,3.413504000000001,2.846808999999999,0.43,4.79,2.130996,9.666464000000001,3.41547,20.4768,0.566695,0.0,0.57,2.273004,BRA1,Testing,2024,0.2009368769789402,0.2048006115875381,0.2065878478606657
25,J. Alonso,Atlético Mineiro,Atlético Mineiro,LCB,LCB,4,31,8000000,2025-12-31,9,859,Paraguay,Paraguay,left,185,83,no,6.71,3.0382,3.76992,0.31,5.96,4.084418,15.40343,6.4945,25.247568,0.208868,0.0,1.68,4.084674,BRA1,Testing,2024,0.6301315304214266,0.631592160802747,0.642427158717205
26,Antônio Carlos,Fluminense,Fluminense,"RCB, LCB",RCB,4,31,1800000,2026-12-31,13,1229,Brazil,Brazil,right,190,79,no,7.4,2.193986,3.151149999999999,0.59,7.11,3.955684,15.52199,5.712951,22.848624,0.733304,0.22,0.44,3.294864,BRA1,Testing,2024,0.7183855116977844,0.6704640154995373,0.7071553477587698
27,W. Ángel,Criciúma,Criciúma,LCB,LCB,4,31,250000,2024-12-31,11,993,Venezuela,Venezuela,right,188,84,no,8.61,2.44737,2.628768,1.09,6.98,2.808036,8.97002,3.16992,12.057138,0.179991,0.09,0.36,1.813012,BRA1,Testing,2024,0.4022552830064348,0.3280374810907912,0.3718404502776022
28,Gustavo Henrique,Corinthians,Corinthians,"RCB, LCB, CB",RCB,4,31,1000000,2025-12-31,12,1060,Brazil,Brazil,right,196,86,no,7.22,3.14483,2.7171,0.76,5.66,2.03585,9.763712,2.968298,19.02035,0.421437,0.17,0.42,1.615136,BRA1,Testing,2024,0.1679849699906509,0.1706553004497129,0.1724242068841171
29,G. Gómez,Palmeiras,Palmeiras,"RCB, LCB, CB",RCB,4,31,7500000,2026-12-31,21,2154,Paraguay,Paraguay,right,185,85,no,9.53,4.556736,3.759835,0.88,6.95,3.053388,11.862354,5.013325,16.884755,0.504,0.1275,0.71,3.509666999999999,BRA1,Testing,2024,0.7597037904631085,0.7603251023281085,0.7739474573997057
30,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RCB, RB",RCB,4,31,2500000,2025-12-31,24,1935,Argentina,Argentina,right,178,73,no,10.23,5.211527999999999,0.9761389999999999,0.14,6.49,2.091919,18.5546,7.581354,13.39362,1.6261,0.5133800000000001,1.53,7.160075999999999,BRA1,Testing,2024,0.943081763228713,0.8790849304995909,0.9277858376624655
31,Luiz Felipe,Atlético GO,Atlético GO,"LCB, RCB",LCB,4,31,800000,2024-12-31,15,1162,Brazil,Brazil,right,187,79,no,7.67,2.785614000000001,2.326806,0.62,6.35,2.16855,7.821692,3.408273,13.16393,0.23,0.0,0.46,2.476692,BRA1,Testing,2024,0.147413306951094,0.1986213973241054,0.1761892032552535
32,Camutanga,Vitória,Vitória,RCB,RCB,4,30,500000,2024-12-31,5,510,Brazil,Brazil,right,189,80,no,6.53,2.469232,1.941898,0.88,4.47,2.821924,9.532029999999999,4.06122,12.003324,0.355,0.18,0.18,1.587308,BRA1,Testing,2024,0.0,0.0,0.0
33,Rodrigo Ely,Grêmio,Grêmio,RCB,RCB,4,30,3000000,2025-12-31,18,1627,Brazil,"Brazil, Italy",right,191,91,no,9.96,4.533021,4.314578,1.22,6.46,2.103836,8.798415,3.708406,15.539853,0.442639,0.112,0.11,2.15544,BRA1,Testing,2024,0.6416516252218933,0.6251964164574098,0.6450363051777633
34,Tobias Figueiredo,Criciúma,Criciúma,"LCB, CB",LCB,4,30,1500000,2026-12-31,19,1742,Portugal,Portugal,right,188,82,yes,9.87,3.665575,3.252744000000001,1.08,7.13,2.7393,8.5723,3.875977,16.47927,0.259375,0.0,0.21,2.430864,BRA1,Testing,2024,0.659093318336533,0.6057504587795983,0.6440158012452528
35,Alan Empereur,Cuiabá,Cuiabá,LCB,LCB,4,30,750000,2024-12-31,26,2465,Brazil,"Brazil, Italy",left,186,82,no,5.99,2.229434,2.043251,0.29,4.14,5.255091999999999,16.465946,7.301833000000001,17.050959,0.4766300000000001,0.145,0.77,5.146416,BRA1,Testing,2024,0.5227112329066305,0.5325953410460422,0.5373265229110683
36,L. Villalba,Cruzeiro,Cruzeiro,LCB,LCB,4,30,2000000,2025-12-31,19,1109,Argentina,Argentina,left,177,73,yes,7.95,3.490329,3.243568,0.49,5.91,3.73428,15.258684,5.682563999999998,20.937153,0.6494279999999999,0.08,1.38,3.653504,BRA1,Testing,2024,0.7290896076128794,0.6925047869002812,0.7238279300512335
37,A. Barboza,Botafogo,Botafogo,LCB,LCB,4,29,2500000,2026-12-31,21,1802,Argentina,"Argentina, Uruguay",left,193,79,no,8.69,3.543213,3.543624,0.6,7.1,3.394524,14.08484,7.142558,20.13088,0.5999399999999999,0.2,0.85,4.5936,BRA1,Testing,2024,0.8484008694325758,0.8177375397515876,0.8483414963883802
