Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Fernandinho,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,39,400000,2024-12-31,18,1522,Brazil,Brazil,right,179,67,no,5.68,2.839858,1.301202,9.398312,BRA1,Testing,2024,0.6153820046274942,0.6575284464099214,0.6364552255187078
1,Luiz Gustavo,São Paulo,São Paulo,LDMF,LDMF,7,37,350000,2024-12-31,22,1909,Brazil,"Brazil, Germany",left,186,77,no,6.65,3.438948,0.612121,5.658107,BRA1,Testing,2024,0.3169433667761151,0.2987832212572671,0.3078632940166911
2,Bruno Henrique,Internacional,Internacional,"RDMF, LCMF, RAMF",RDMF,7,35,500000,2025-12-31,29,1731,Brazil,"Brazil, Italy",right,180,75,no,7.64,4.003740000000001,1.350056,4.527012,BRA1,Testing,2024,0.386044956973184,0.4317626894984981,0.408903823235841
3,Lucas Sasha,Fortaleza,Fortaleza,"RDMF, RCMF, LDMF",RDMF,7,34,400000,2025-12-31,20,1344,Brazil,"Brazil, Italy",right,177,67,no,13.46,8.238002,1.203462,2.74628,BRA1,Testing,2024,0.799278102153571,0.839556952690625,0.8194175274220981
4,G. Freitas,Atlético GO,Atlético GO,"DMF, LDMF, RDMF",DMF,7,33,400000,2024-12-31,9,718,Uruguay,Uruguay,right,186,78,no,9.53,3.757782,2.756061,3.507878,BRA1,Testing,2024,0.6801864408767008,0.640755740402145,0.6604710906394229
5,Zé Rafael,Palmeiras,Palmeiras,LDMF,LDMF,7,31,4500000,2026-12-31,16,1047,Brazil,"Brazil, Italy",right,175,71,no,7.56,4.644,1.030468,4.129991999999999,BRA1,Testing,2024,0.3503566473948873,0.3748883928460841,0.3626225201204856
6,Alisson,São Paulo,São Paulo,"RDMF, RCMF, LDMF",RDMF,7,31,2000000,2024-12-31,16,1500,Brazil,Brazil,right,174,73,no,7.14,3.47988,0.600012,6.179664,BRA1,Testing,2024,0.4126063428870623,0.4012576817810846,0.4069320123340734
7,Filipe Augusto,Cuiabá,Cuiabá,"LDMF, RCMF",LDMF,7,31,700000,2024-12-31,15,628,Brazil,Brazil,left,182,77,no,7.02,3.296552,1.004792,3.00825,BRA1,Testing,2024,0.1408120516480479,0.1607541364962489,0.1507830940721484
8,Jádson,Juventude,Juventude,"RDMF, RCMF",RDMF,7,31,1000000,2025-12-31,26,2486,Brazil,Brazil,right,171,67,no,9.16,4.560348,0.325888,4.996537999999999,BRA1,Testing,2024,0.4881890405101313,0.4742371136280837,0.4812130770691075
9,E. Pulgar,Flamengo,Flamengo,"RDMF, RCMF, LDMF",RDMF,7,30,5000000,2025-12-31,17,1437,Chile,Chile,right,187,74,no,8.83,4.32012,1.75551,5.510079999999999,BRA1,Testing,2024,0.7315842307362695,0.7135762495106859,0.7225802401234777
10,L. Romero,Cruzeiro,Cruzeiro,DMF,DMF,7,30,3200000,2025-12-31,26,2215,Argentina,"Argentina, Italy",right,170,68,no,8.57,4.71504,1.138626,5.813456,BRA1,Testing,2024,0.7069281333757227,0.6877921157214066,0.6973601245485647
