Unnamed: 0,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
0,0.606061,0.799821,0.836207,0.985401,0.126316,0.791367,0.628103,1.0,João Ricardo,Fortaleza,Fortaleza,GK,GK,0,36,350000,2027-12-31,31,3153,Brazil,Brazil,right,186,78,no,BRA1,Testing,2024,Goleiro,1.0,1,31,96,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,6.0,3.0,5,2.0,27.0,6,3.0,80,90,83,93,12,80,90
1,0.439394,0.825795,0.812069,0.664234,0.326316,0.849199,0.660259,0.885,Weverton,Palmeiras,Palmeiras,GK,GK,0,36,2000000,2026-12-31,30,3053,Brazil,Brazil,right,189,85,no,BRA1,Testing,2024,Goleiro,0.885,2,31,93,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,19.0,2.0,8,10.0,10.0,4,2.0,38,93,74,67,67,87,93
2,0.651515,0.653829,0.743103,0.635036,0.394737,0.73318,0.439746,0.849,Fábio,Fluminense,Fluminense,GK,GK,0,44,200000,2025-12-31,31,3155,Brazil,"Brazil, Italy",right,190,93,no,BRA1,Testing,2024,Goleiro,0.849,3,31,90,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,5.0,7.0,11,11.0,8.0,9,7.0,83,77,64,64,74,70,77
3,0.53307,0.580833,0.92069,0.861314,0.736842,0.775005,0.358601,0.823,Cleiton,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,27,4000000,2027-12-31,24,2318,Brazil,Brazil,right,190,82,no,BRA1,Testing,2024,Goleiro,0.823,4,31,87,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,12.0,10.0,3,3.0,2.0,7,10.0,61,67,90,90,93,77,67
4,0.383858,1.0,0.886207,0.445255,0.142105,1.0,1.0,0.817,Bento,Al Nassr,Athletico Paranaense,GK,GK,0,25,15000000,2027-06-30,7,710,Brazil,"Brazil, Italy",right,191,92,no,BRA1,Testing,2024,Goleiro,0.817,5,31,83,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,21.0,1.0,4,20.0,24.5,1,1.0,32,96,87,35,20,96,96
5,0.515152,0.789521,0.963793,0.40146,0.268421,0.909659,0.601392,0.815,Cássio,Cruzeiro,Cruzeiro,GK,GK,0,37,400000,2027-05-31,18,1833,Brazil,Brazil,right,196,92,no,BRA1,Testing,2024,Goleiro,0.815,6,31,80,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,15.0,4.0,2,23.0,12.0,2,4.0,51,87,93,25,61,93,87
6,0.727236,0.543663,0.525862,0.788321,0.268421,0.530062,0.325364,0.765,A. Marchesín,Grêmio,Grêmio,GK,GK,0,36,800000,2025-12-31,22,2233,Argentina,"Argentina, Italy",right,188,85,no,BRA1,Testing,2024,Goleiro,0.765,7,31,77,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,3.0,11.5,16,7.0,12.0,16,12.5,90,62,48,77,61,48,59
7,0.590932,0.535155,0.543103,0.854015,0.678947,0.558606,0.325364,0.763,Marcos Felipe,Bahia,Bahia,GK,GK,0,28,2000000,2027-12-31,31,3116,Brazil,Brazil,right,188,81,no,BRA1,Testing,2024,Goleiro,0.763,8,31,74,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,7.0,13.0,15,4.5,4.0,13,12.5,77,58,51,85,87,58,59
8,0.57065,0.71339,1.0,0.255474,0.336842,0.894953,0.505665,0.738,Carlos Miguel,Nottingham Forest,Corinthians,"GK, LCB",GK,0,26,0,2025-06-30,7,715,Brazil,Brazil,left,204,90,no,BRA1,Testing,2024,Goleiro,0.738,9,31,70,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,10.0,6.0,1,26.5,9.0,3,6.0,67,80,96,14,70,90,80
9,0.377109,0.775638,0.813793,0.510949,0.242105,0.840602,0.579785,0.737,John Victor,Botafogo,Botafogo,GK,GK,0,28,1500000,2027-06-30,28,2846,Brazil,"Brazil, Portugal",right,197,88,no,BRA1,Testing,2024,Goleiro,0.737,10,31,67,0.470337,0.464181,0.544327,0.533082,0.306452,0.542152,0.302518,22.0,5.0,7,17.0,17.0,5,5.0,29,83,77,45,45,83,83
