Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.641278,0.709688,0.856606,0.473392,0.053381,0.108973,0.03169,0.444015,0.742318,1.0,Gabriel,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,32,1800000,2025-12-31,11,939,Brazil,"Brazil, Italy",right,170,69,yes,BRA1,Testing,2024,Primeiro Volante Construtor,1.0,1,44,97,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,5.0,7,5,14,38.0,35,40,13.0,3,88,84,88,68,13,20,9,70,93
1,0.044226,0.76943,0.929492,0.972486,0.669039,0.490116,0.704928,0.799228,0.836268,0.910471,Fernandinho,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,39,400000,2024-12-31,18,1522,Brazil,Brazil,right,179,67,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.91,2,44,95,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,42.0,5,3,2,5.0,12,5,3.0,2,4,88,93,95,88,72,88,93,95
2,0.694103,0.611214,0.513145,0.407009,0.113879,0.059681,0.06651,0.320463,0.351607,0.904756,Jadsom Silva,Red Bull Bragantino,Red Bull Bragantino,"DMF, RB, RDMF",DMF,7,23,4000000,2025-12-31,18,1083,Brazil,Brazil,right,173,67,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.905,3,44,93,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,4.0,14,22,18,34.0,40,38,22.0,20,90,68,50,59,22,9,13,50,54
3,0.60688,0.782131,0.46853,0.466559,0.338078,0.223359,0.422852,0.223938,0.291312,0.896807,Hugo Moura,Vasco da Gama,Vasco da Gama,"RDMF, RCMF",RDMF,7,26,1500000,2026-06-30,17,1237,Brazil,Brazil,right,182,79,yes,BRA1,Testing,2024,Primeiro Volante Construtor,0.897,4,44,90,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,7.0,4,24,15,11.5,28,14,33.0,27,84,90,45,65,73,36,68,25,38
4,0.807125,0.42542,0.541274,0.383758,0.234875,0.37886,0.258087,0.11583,0.372534,0.888644,Mateus Carvalho,Vasco da Gama,Vasco da Gama,"LDMF, LCMF",LDMF,7,22,800000,2027-12-31,20,1483,Brazil,Brazil,left,174,74,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.889,5,44,88,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,2.0,23,21,19,18.5,18,22,41.0,17,95,47,52,56,57,59,50,6,61
5,0.574939,0.666829,0.402481,0.54966,0.782918,0.63872,0.751533,0.474903,0.385588,0.851378,Gabriel Menino,Palmeiras,Palmeiras,"LDMF, LAMF, RCMF",LDMF,7,23,9000000,2027-12-31,19,1026,Brazil,Brazil,right,180,78,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.851,6,44,86,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,9.5,12,30,5,2.0,5,3,11.0,15,78,72,31,88,95,88,93,75,65
6,0.110565,0.978183,0.721871,0.763644,0.160142,0.0,0.0,0.436293,0.635846,0.794754,Marlon Freitas,Botafogo,Botafogo,"LDMF, LCMF, RCMF",LDMF,7,29,3500000,2025-12-31,23,1838,Brazil,Brazil,right,185,78,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.795,7,44,84,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,40.0,2,7,3,29.0,44,44,14.0,5,9,95,84,93,34,0,0,68,88
7,0.0,0.485336,0.919833,1.0,1.0,1.0,0.914752,0.969112,1.0,0.769022,N. de la Cruz,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,18000000,2028-06-30,10,862,Uruguay,Uruguay,right,167,65,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.769,8,44,81,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,44.0,20,4,1,1.0,1,2,2.0,1,0,54,90,97,97,97,95,95,97
8,0.511057,0.644155,0.636385,0.474013,0.088968,0.211552,0.188927,0.150579,0.35315,0.736296,L. Romero,Cruzeiro,Cruzeiro,DMF,DMF,7,30,3200000,2025-12-31,22,1860,Argentina,"Argentina, Italy",right,170,68,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.736,9,44,79,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,13.0,13,12,13,37.0,30,28,40.0,19,70,70,72,70,15,31,36,9,56
9,0.441032,0.809794,0.598469,0.530098,0.142349,0.059928,0.069402,0.19305,0.447721,0.72853,Raul,Red Bull Bragantino,Red Bull Bragantino,"DMF, RDMF, LCMF",DMF,7,28,1500000,2024-12-31,17,1081,Brazil,Brazil,right,180,73,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.729,10,44,77,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,21.5,3,19,8,30.0,39,37,35.5,13,51,93,56,81,31,11,15,19,70
10,0.42629,0.692338,0.607369,0.554205,0.202847,0.15469,0.211868,0.285714,0.522483,0.724701,A. Moreno,Palmeiras,Palmeiras,"RDMF, LCMF, DMF",RDMF,7,25,10000000,2028-12-31,21,1710,Argentina,Argentina,right,178,73,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.725,11,44,75,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,23.0,10,15,4,22.0,31,24,26.0,9,47,77,65,90,50,29,45,40,79
11,0.339066,0.69537,1.0,0.475851,0.320285,0.502084,0.682916,0.698842,0.58956,0.688895,Matheus Rossetto,Fortaleza,Fortaleza,"LDMF, RCMF, LCMF",LDMF,7,28,1500000,2024-12-31,11,746,Brazil,"Brazil, Italy",right,180,75,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.689,12,44,72,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,27.0,9,1,12,15.0,11,7,5.0,8,38,79,97,72,65,75,84,88,81
12,0.574939,0.439419,0.630995,0.341045,0.480427,0.140345,0.523725,0.741313,0.59547,0.675769,Du Queiroz,Grêmio,Grêmio,"RDMF, RCMF, AMF",RDMF,7,24,3000000,2028-06-30,14,657,Brazil,Brazil,right,171,65,yes,BRA1,Testing,2024,Primeiro Volante Construtor,0.676,13,44,70,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,9.5,22,13,24,6.0,32,10,4.0,7,78,50,70,45,86,27,77,90,84
13,0.584767,0.514173,0.456309,0.329026,0.234875,0.139111,0.28101,0.505792,0.496856,0.666796,Allan,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,6000000,2027-12-31,19,1241,Brazil,Brazil,left,172,74,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.667,14,44,68,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,8.0,17,26,26,18.5,33,21,10.0,11,81,61,40,40,57,25,52,77,75
14,0.223587,1.0,0.713661,0.543616,0.338078,0.554098,0.370142,0.301158,0.605347,0.663973,Alisson,São Paulo,São Paulo,"RDMF, RCMF, LDMF",RDMF,7,31,2000000,2024-12-31,16,1500,Brazil,Brazil,right,174,73,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.664,15,44,65,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,36.0,1,8,6,11.5,8,17,25.0,6,18,97,81,86,73,81,61,43,86
15,1.0,0.300379,0.123076,0.086133,0.131673,0.243351,0.250206,0.181467,0.101189,0.60093,Lucas Sasha,Fortaleza,Fortaleza,"RDMF, RCMF, LDMF",RDMF,7,34,400000,2025-12-31,20,1344,Brazil,"Brazil, Italy",right,177,67,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.601,16,44,63,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,1.0,35,38,41,32.0,24,23,39.0,40,97,20,13,6,27,45,47,11,9
16,0.484029,0.419955,0.600306,0.341568,0.19573,0.220977,0.204349,0.227799,0.326426,0.567184,Thiago Maia,Internacional,Internacional,"LDMF, DMF, LCMF",LDMF,7,27,6000000,2026-12-31,17,1371,Brazil,Brazil,left,179,79,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.567,17,44,61,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,16.0,24,17,23,24.0,29,25,31.5,24,63,45,61,47,45,34,43,28,45
17,0.737101,0.3224,0.086142,0.0,0.13879,0.246591,0.200841,0.227799,0.0,0.5594,Raniele,Corinthians,Corinthians,"RDMF, DMF, LDMF",RDMF,7,27,3500000,2028-12-31,23,1972,Brazil,Brazil,right,184,78,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.559,18,44,59,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,3.0,33,41,44,31.0,23,26,31.5,44,93,25,6,0,29,47,40,28,0
18,0.242015,0.571642,0.946241,0.484626,0.323843,0.456523,0.294708,1.0,0.735544,0.54812,Caio Alexandre,Bahia,Bahia,DMF,DMF,7,25,6500000,2028-12-31,24,2087,Brazil,Brazil,right,175,68,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.548,19,44,56,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,35.0,15,2,11,14.0,15,20,1.0,4,20,65,95,75,68,65,54,97,90
19,0.496314,0.398024,0.44379,0.313305,0.316726,0.487116,0.372409,0.19305,0.247915,0.537226,Jádson,Juventude,Juventude,"RDMF, RCMF",RDMF,7,31,1000000,2025-12-31,21,1981,Brazil,Brazil,right,171,67,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.537,20,44,54,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,15.0,27,27,29,16.0,13,16,35.5,33,65,38,38,34,63,70,63,19,25
20,0.571253,0.288985,0.407534,0.170647,0.174377,0.591215,0.420776,0.332046,0.258375,0.506958,Caíque,Juventude,Juventude,"LDMF, LCMF",LDMF,7,28,500000,2024-12-31,17,1570,Brazil,Brazil,right,178,72,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.507,21,44,52,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,11.0,38,29,36,27.0,6,15,21.0,30,75,13,34,18,38,86,65,52,31
21,0.481572,0.414182,0.218386,0.360313,0.686833,0.541585,0.452518,0.509653,0.272753,0.506694,R. Ríos,Palmeiras,Palmeiras,"RDMF, LCMF, AMF",RDMF,7,24,10000000,2026-12-31,13,955,Colombia,Colombia,right,185,78,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.507,22,44,50,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,17.0,26,37,21,4.0,9,11,9.0,29,61,40,15,52,90,79,75,79,34
22,0.502457,0.440788,0.224755,0.248507,0.117438,0.229914,0.153059,0.366795,0.301271,0.499876,Erick,Athletico Paranaense,Athletico Paranaense,"RDMF, RCMF, RB",RDMF,7,26,4000000,2026-12-31,22,1885,Brazil,Brazil,right,176,67,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.5,23,44,47,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,14.0,21,36,32,33.0,27,31,19.0,25,68,52,18,27,25,38,29,56,43
