Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,xG_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,xG_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,xG_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.380645,0.530822,1.0,0.324675,0.434533,0.670886,0.166667,0.433333,0.583333,1.0,1.0,0.666667,1.0,1.0,Éverton Ribeiro,Bahia,Bahia,"RCMF, RW",RCMF,8,35,2300000,2025-12-31,30,2350,Brazil,Brazil,left,174,68,no,BRA1,Testing,2024,Segundo Volante Box to Box,1.0,1,42,97,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,31.0,10,1,18.5,9,2.0,27.5,6.0,5.0,1,1.0,4.0,1,26,76,97,55,78,95,34,85,88,97,97,90,97
1,0.821935,0.40081,0.927934,0.203463,0.097714,0.265823,0.125,0.166667,0.12963,0.904053,0.040698,0.227273,0.055111,0.866842,Gregore,Botafogo,Botafogo,"RCMF, RDMF, LDMF",RCMF,8,30,2500000,2026-12-31,26,1831,Brazil,Brazil,right,181,78,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.867,2,42,95,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,7.0,20,2,27.0,37,23.5,33.5,18.0,30.0,3,36.5,24.0,37,83,52,95,35,11,44,20,57,28,92,13,42,11
2,0.292903,0.859838,0.636556,0.311688,0.445657,0.386076,0.25,1.0,1.0,0.766487,0.726744,0.333333,0.540315,0.860716,C. de Pena,Bahia,Bahia,RCMF,RCMF,8,32,2200000,2024-12-31,27,812,Uruguay,"Uruguay, Italy",left,177,69,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.861,3,42,92,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,34.0,2,4,21.0,7,8.5,19.5,1.0,1.0,4,2.0,14.5,4,19,95,90,50,83,79,53,97,97,90,95,65,90
3,0.237419,0.63409,0.737181,0.510823,0.134786,0.265823,0.666667,0.933333,0.671296,0.526431,0.151163,0.257576,0.54786,0.723783,Jean Mota,Vitória,Vitória,"RCMF, LCMF, RW",RCMF,8,31,1000000,2026-12-31,16,535,Brazil,Brazil,left,172,72,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.724,4,42,90,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,37.0,6,3,10.0,30,23.5,3.0,2.0,3.0,15,28.0,20.5,3,11,85,92,76,28,44,92,95,92,64,33,51,92
4,0.651613,1.0,0.574008,0.108225,0.12722,0.234177,0.208333,0.2,0.314815,0.641827,0.447674,0.318182,0.18164,0.672291,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, RDMF",RCMF,8,27,1500000,2024-12-31,13,851,Chile,Chile,right,176,68,yes,BRA1,Testing,2024,Segundo Volante Box to Box,0.672,5,42,88,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,20.0,1,5,35.0,33,27.5,22.5,13.5,11.0,8,6.0,17.5,25,52,97,88,16,21,34,46,67,73,80,85,58,40
5,0.815484,0.563314,0.520726,0.320346,0.427132,0.382911,0.208333,0.033333,0.078704,0.608466,0.30814,0.121212,0.284256,0.671015,Pepê,Grêmio,Grêmio,"LCMF, RCMF, LDMF",LCMF,8,26,3000000,2025-12-31,20,1189,Brazil,Brazil,right,183,77,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.671,6,42,85,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,8.0,9,6,20.0,10,10.5,22.5,37.5,36.5,11,15.0,34.0,15,80,78,85,52,76,75,46,10,13,73,64,19,64
6,0.849032,0.661065,0.482476,0.181818,0.437047,0.329114,0.291667,0.266667,0.291667,0.527026,0.354651,0.151515,0.49681,0.625192,Fernando Sobral,Cuiabá,Cuiabá,"RCMF, RDMF",RCMF,8,29,2000000,2026-12-31,28,1821,Brazil,Brazil,right,178,70,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.625,7,42,83,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,5.0,5,8,28.0,8,19.0,17.5,9.0,13.0,14,11.0,30.0,5,88,88,80,33,80,54,58,78,69,66,73,28,88
7,0.864516,0.695574,0.434861,0.056277,0.091396,0.335443,0.166667,0.1,0.180556,0.995643,0.348837,0.121212,0.216276,0.570197,Gabriel,Athletico Paranaense,Athletico Paranaense,"LCMF, LDMF, RCMF",LCMF,8,32,1800000,2025-12-31,15,1189,Brazil,"Brazil, Italy",right,170,69,yes,BRA1,Testing,2024,Segundo Volante Box to Box,0.57,8,42,80,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,4.0,4,10,38.5,38,17.5,27.5,27.5,27.0,2,12.0,34.0,20,90,90,76,8,9,58,34,34,35,95,71,19,52
8,0.767742,0.514419,0.336519,0.813853,0.489252,0.325949,0.541667,0.466667,0.597222,0.318545,0.476744,0.772727,0.575789,0.540325,Á. Barreal,Cruzeiro,Cruzeiro,"LCMF, LWF, LW",LCMF,8,24,5000000,2025-12-31,23,1404,Argentina,"Argentina, United States",left,172,66,yes,BRA1,Testing,2024,Segundo Volante Box to Box,0.54,9,42,78,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,9.0,13,15,3.0,6,20.0,8.5,5.0,4.0,36,5.0,3.0,2,78,69,64,92,85,52,79,88,90,14,88,92,95
9,0.730323,0.51335,0.346332,1.0,1.0,1.0,0.583333,0.133333,0.546296,0.329866,0.546512,0.515152,0.297974,0.524206,Jhon Jhon,Red Bull Bragantino,Red Bull Bragantino,"LCMF, LAMF, LW",LCMF,8,22,0,,14,797,Brazil,Brazil,right,178,73,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.524,10,42,76,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,13.0,14,13,1.0,1,1.0,5.5,22.5,7.0,33,4.0,6.0,13,69,66,69,97,97,97,86,46,83,21,90,85,69
