Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.301413,0.564002,1.0,0.333333,0.522252,0.433333,0.609302,1.0,1.0,1.0,1.0,Éverton Ribeiro,Bahia,Bahia,"RCMF, RW, RAMF",RCMF,8,35,2300000,2025-12-31,25,1874,Brazil,Brazil,left,174,68,no,BRA1,Testing,2024,Segundo Volante Organizador,1.0,1,33,96,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,25.0,6,1,17.0,9,3.5,3.0,1,1.0,1,24,81,96,48,72,89,90,96,96,96
1,0.012559,0.945769,0.576848,0.31694,0.561662,1.0,1.0,0.791508,0.825301,0.494648,0.881025,C. de Pena,Bahia,Bahia,"RCMF, DMF",RCMF,8,32,2200000,2024-12-31,23,686,Uruguay,"Uruguay, Italy",left,177,69,no,BRA1,Testing,2024,Segundo Volante Organizador,0.881,2,33,93,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,31.0,2,3,18.0,7,1.0,1.0,2,2.0,7,6,93,90,45,78,96,96,93,93,78
2,0.747253,0.752344,0.538673,0.262295,0.545576,0.366667,0.32093,0.534286,0.373494,0.651595,0.723904,Fernando Sobral,Cuiabá,Cuiabá,"RCMF, RDMF",RCMF,8,29,2000000,2026-12-31,21,1175,Brazil,Brazil,right,178,70,no,BRA1,Testing,2024,Segundo Volante Organizador,0.724,3,33,90,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,6.0,3,4,20.0,8,5.5,9.5,9,10.0,2,81,90,87,39,75,83,71,72,69,93
3,0.704867,0.41157,0.813765,0.191257,0.098816,0.033333,0.106977,0.758432,0.03012,0.076251,0.688572,Gregore,Botafogo,Botafogo,"RCMF, RDMF, LCMF",RCMF,8,30,2500000,2026-12-31,22,1443,Brazil,Brazil,right,181,78,no,BRA1,Testing,2024,Segundo Volante Organizador,0.689,4,33,87,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,8.0,13,2,24.0,28,28.0,24.0,3,30.0,28,75,60,93,27,15,15,27,90,9,15
4,0.962323,0.672949,0.510352,0.387978,0.667024,0.0,0.069767,0.552177,0.162651,0.221698,0.649542,Pepê,Grêmio,Grêmio,"LCMF, LDMF, RCMF",LCMF,8,26,3000000,2025-12-31,13,786,Brazil,Brazil,right,183,77,no,BRA1,Testing,2024,Segundo Volante Organizador,0.65,5,33,84,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,4.0,5,5,12.5,5,32.5,28.5,8,20.0,15,87,84,84,62,84,1,13,75,39,54
5,0.788069,0.514899,0.329831,1.0,0.620432,0.433333,0.595349,0.286598,0.548193,0.609922,0.556349,Á. Barreal,Cruzeiro,Cruzeiro,"LCMF, LWF",LCMF,8,24,5000000,2025-12-31,19,1189,Argentina,"Argentina, United States",left,172,66,yes,BRA1,Testing,2024,Segundo Volante Organizador,0.556,6,33,81,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,5.0,7,9,1.0,6,3.5,4.0,23,4.0,3,84,78,72,96,81,89,87,30,87,90
6,0.562009,1.0,0.491723,0.125683,0.107221,0.2,0.32093,0.612335,0.421687,0.162371,0.543142,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, RDMF",RCMF,8,27,1500000,2024-12-31,11,819,Chile,Chile,right,176,68,yes,BRA1,Testing,2024,Segundo Volante Organizador,0.543,7,33,78,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,16.0,1,6,27.5,27,11.0,9.5,6,7.0,22,51,96,81,16,18,66,71,81,78,33
7,0.186813,0.506057,0.38605,0.57377,0.493298,0.3,0.502326,0.426228,0.590361,0.577259,0.53849,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"RCMF, LWF",RCMF,8,25,4000000,2026-12-31,12,856,Brazil,Brazil,right,183,73,no,BRA1,Testing,2024,Segundo Volante Organizador,0.538,8,33,75,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,27.0,9,7,7.0,11,8.0,5.0,11,3.0,4,18,72,78,78,66,75,84,66,90,87
8,0.708006,0.468089,0.318789,0.387978,0.277748,0.166667,0.265116,0.389042,0.379518,0.351603,0.446313,Baralhas,Atlético GO,Atlético GO,LCMF,LCMF,8,25,1000000,2025-12-31,22,1666,Brazil,Brazil,right,178,73,yes,BRA1,Testing,2024,Segundo Volante Organizador,0.446,9,33,72,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,7.0,10,10,12.5,20,15.0,13.0,15,9.0,10,78,69,69,62,39,54,60,54,72,69
9,0.10832,0.238164,0.298568,0.688525,0.719218,0.1,0.386047,0.324758,0.506024,0.524181,0.373597,Matheus Henrique,Cruzeiro,Cruzeiro,"RCMF, LCMF, RDMF",RCMF,8,26,8500000,2029-06-30,10,794,Brazil,Brazil,right,173,71,no,BRA1,Testing,2024,Segundo Volante Organizador,0.374,10,33,69,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,30.0,24,12,4.5,4,19.0,6.0,19,5.0,5,9,27,63,86,87,42,81,42,84,84
10,0.304553,0.280791,0.305836,0.218579,0.903937,0.666667,0.762791,0.379986,0.26506,0.509425,0.369922,Gustavinho,Red Bull Bragantino,Red Bull Bragantino,"RCMF, AMF",RCMF,8,20,0,,21,891,Brazil,Brazil,right,175,68,no,BRA1,Testing,2024,Segundo Volante Organizador,0.37,11,33,66,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,23.5,20,11,22.0,2,2.0,2.0,17,16.0,6,28,39,66,33,93,93,93,48,51,81
11,0.659341,0.213803,0.166412,0.47541,0.512274,0.166667,0.2,0.382438,0.301205,0.193116,0.334068,M. Villasanti,Grêmio,Grêmio,"RCMF, RDMF, LDMF",RCMF,8,27,10000000,2027-12-31,14,1411,Paraguay,Paraguay,right,178,74,no,BRA1,Testing,2024,Segundo Volante Organizador,0.334,12,33,63,0.496408,0.387499,0.251108,0.355026,0.370658,0.192929,0.255532,0.408167,0.273823,0.278355,12.0,25,18,8.0,10,15.0,16.0,16,13.5,18,63,24,45,75,69,54,51,51,59,45
