Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Passes_EntreLinhas_Certos_LM,Passes_Chave_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Passes_Chave_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Passes_Chave_Percentil
0,0.862882,0.467699,0.806988,0.513486,0.704253,0.342105,0.509363,0.75494,0.785211,0.341463,1.0,Igor Coronado,Corinthians,Corinthians,"AMF, LCMF, RW",AMF,9,32,4000000,2026-12-31,26,1503,Brazil,"Brazil, Italy",right,170,66,no,BRA1,Testing,2024,Meia Organizador,1.0,1,26,96,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,3,6,4,7,3,10.5,8.0,7,3.0,9.0,88,76,84,73,88,59,69,73,88,65
1,0.918689,0.467209,1.0,0.5206,0.299906,0.368421,0.565543,1.0,0.656937,0.382114,0.944791,R. Garro,Corinthians,Corinthians,"AMF, CF",AMF,9,26,7000000,2028-12-31,29,2692,Argentina,"Argentina, Italy",left,174,70,no,BRA1,Testing,2024,Meia Organizador,0.945,2,26,92,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,2,7,1,5,15,9.0,5.5,1,8.0,8.0,92,73,96,80,42,65,78,96,69,69
2,1.0,0.460736,0.813989,0.511824,0.372808,0.421053,0.355805,0.812258,0.528056,0.211382,0.90494,J. Campbell,Atlético GO,Atlético GO,"AMF, RWF, CF",AMF,9,32,650000,2026-06-30,8,601,Costa Rica,Costa Rica,left,178,78,yes,BRA1,Testing,2024,Meia Organizador,0.905,3,26,88,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,1,8,3,8,12,7.0,15.0,5,9.0,13.0,96,69,88,69,53,73,42,80,65,50
3,0.428815,0.508151,0.672249,0.542583,0.418608,0.421053,0.468165,0.433536,0.523356,0.536585,0.868916,G. de Arrascaeta,Flamengo,Flamengo,"AMF, CF",AMF,9,30,15000000,2026-12-31,15,1130,Uruguay,"Uruguay, Italy",right,172,70,no,BRA1,Testing,2024,Meia Organizador,0.869,4,26,84,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,15,5,7,4,11,7.0,11.0,13,10.0,5.0,42,80,73,84,57,73,57,50,61,80
4,0.33715,0.368562,0.456968,0.574477,0.744908,0.763158,0.617978,0.32518,0.942136,1.0,0.850771,Bruno Tabata,Internacional,Internacional,"AMF, RAMF, RW",AMF,9,27,2800000,2027-12-31,9,629,Brazil,Brazil,left,176,73,no,BRA1,Testing,2024,Meia Organizador,0.851,5,26,80,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,19,11,13,2,2,2.0,4.0,17,2.0,1.0,26,57,50,92,92,92,84,34,92,96
5,0.267028,0.262821,0.358745,1.0,1.0,0.131579,0.06367,0.551185,0.0,0.04065,0.797003,M. Monsalve,Grêmio,Grêmio,"AMF, CF, LAMF",AMF,9,20,0,2026-12-31,12,806,Colombia,Colombia,right,178,71,no,BRA1,Testing,2024,Meia Organizador,0.797,6,26,76,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,20,17,21,1,1,21.5,23.0,10,25.5,25.0,23,34,19,96,96,17,11,61,1,3
6,0.198953,0.334156,0.421255,0.491733,0.605974,1.0,1.0,0.3867,0.725098,0.723577,0.748763,Alan Patrick,Internacional,Internacional,"AMF, CF",AMF,9,33,4000000,2026-12-31,17,1419,Brazil,Brazil,right,177,70,no,BRA1,Testing,2024,Meia Organizador,0.749,7,26,73,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,21,13,18,9,6,1.0,1.0,14,5.0,4.0,19,50,30,65,76,96,96,46,80,84
7,0.410854,0.546912,0.425619,0.519203,0.656142,0.0,0.127341,0.840685,0.343487,0.121951,0.745287,Philippe Coutinho,Vasco da Gama,Vasco da Gama,AMF,AMF,9,32,7500000,2026-06-30,9,500,Brazil,"Brazil, Portugal",right,172,68,yes,BRA1,Testing,2024,Meia Organizador,0.745,8,26,69,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,17,3,17,6,5,26.0,22.0,3,17.0,22.0,34,88,34,76,80,0,15,88,34,15
8,0.695537,0.303352,0.685381,0.410826,0.367861,0.157895,0.284644,0.486443,0.294417,0.487805,0.717361,Matheusinho,Criciúma,Criciúma,"AMF, RW, LCMF",AMF,9,26,1300000,2024-12-31,22,1498,Brazil,Brazil,right,164,58,no,BRA1,Testing,2024,Meia Organizador,0.717,9,26,65,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,9,15,6,11,13,19.5,18.0,11,19.0,6.0,65,42,76,57,50,25,30,57,26,76
9,0.818682,0.380026,0.627733,0.296624,0.265181,0.315789,0.565543,0.685853,0.683932,0.186992,0.693353,Raphael Veiga,Palmeiras,Palmeiras,"AMF, RAMF",AMF,9,29,16000000,2026-12-31,27,2154,Brazil,Brazil,left,178,73,no,BRA1,Testing,2024,Meia Organizador,0.693,10,26,61,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,4,10,10,15,17,14.0,5.5,8,7.0,15.5,84,61,61,42,34,46,78,69,73,40
10,0.146458,1.0,0.919337,0.042444,0.0,0.315789,0.475655,0.960031,0.333972,0.252033,0.671279,Ganso,Fluminense,Fluminense,"AMF, CF",AMF,9,35,600000,2025-12-31,28,2191,Brazil,Brazil,left,184,78,no,BRA1,Testing,2024,Meia Organizador,0.671,11,26,57,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,23,1,2,24,26,14.0,9.0,2,18.0,12.0,11,96,92,7,0,46,65,92,30,53
11,0.0,0.270311,0.454673,0.547004,0.665827,0.421053,0.382022,0.126583,0.381671,0.333333,0.669858,Lorran,Flamengo U20,Flamengo,"AMF, CF, RAMF",AMF,9,18,0,,17,769,Brazil,Brazil,left,180,68,no,BRA1,Testing,2024,Meia Organizador,0.67,12,26,53,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,26,16,14,3,4,7.0,14.0,23,15.0,10.0,0,38,46,88,84,73,46,11,42,61
12,0.673697,0.623565,0.79704,0.133588,0.04308,0.5,0.397004,0.834027,0.449804,0.178862,0.640065,D. Payet,Vasco da Gama,Vasco da Gama,"AMF, CF",AMF,9,37,1500000,2025-06-30,16,979,Réunion,"Réunion, France",right,175,77,no,BRA1,Testing,2024,Meia Organizador,0.64,13,26,50,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,10,2,5,21,24,4.5,13.0,4,12.0,17.0,61,92,80,19,7,82,50,84,53,34
13,0.505935,0.513522,0.660704,0.281279,0.079342,0.263158,0.265918,0.775262,0.69403,0.414634,0.636784,Lincoln,Red Bull Bragantino,Red Bull Bragantino,"AMF, LCMF",AMF,9,25,3500000,2026-06-30,22,1269,Brazil,Brazil,left,178,73,yes,BRA1,Testing,2024,Meia Organizador,0.637,14,26,46,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,12,4,9,16,23,17.0,19.0,6,6.0,7.0,53,84,65,38,11,34,26,76,76,73
14,0.575491,0.43944,0.663597,0.176022,0.463686,0.5,0.730337,0.673132,0.235534,0.186992,0.632898,Bernard,Atlético Mineiro,Atlético Mineiro,"AMF, RWF",AMF,9,32,2500000,2027-12-31,10,625,Brazil,"Brazil, Spain",right,164,60,no,BRA1,Testing,2024,Meia Organizador,0.633,15,26,42,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,11,9,8,19,9,4.5,2.0,9,21.0,15.5,57,65,69,26,65,82,92,65,19,40
15,0.430039,0.306265,0.428458,0.394927,0.524553,0.315789,0.554307,0.310741,0.754389,0.276423,0.561416,B. Zapelli,Athletico Paranaense,Athletico Paranaense,"AMF, CF",AMF,9,22,6000000,2028-07-01,26,1364,Argentina,"Argentina, Italy",right,181,72,no,BRA1,Testing,2024,Meia Organizador,0.561,16,26,38,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,14,14,16,12,8,14.0,7.0,18,4.0,11.0,46,46,38,53,69,46,73,30,84,57
16,0.806743,0.15063,0.398292,0.313299,0.58426,0.315789,0.47191,0.377572,0.465139,0.731707,0.529684,T. Pochettino,Fortaleza,Fortaleza,"AMF, CF",AMF,9,28,2500000,2025-12-31,25,1589,Argentina,"Argentina, Italy",right,180,72,no,BRA1,Testing,2024,Meia Organizador,0.53,17,26,34,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,6,22,20,14,7,14.0,10.0,15,11.0,3.0,76,15,23,46,73,46,61,42,57,88
17,0.432288,0.349746,0.479909,0.226691,0.268084,0.184211,0.183521,0.464986,0.368022,0.073171,0.490543,Max,Cuiabá,Cuiabá,"AMF, LCMF, RCMF",AMF,9,23,500000,2028-12-31,21,1184,Brazil,Brazil,left,175,73,no,BRA1,Testing,2024,Meia Organizador,0.491,18,26,30,0.492706,0.337783,0.492852,0.339751,0.369801,0.324899,0.385192,0.46723,0.446521,0.318949,13,12,12,17,16,18.0,21.0,12,16.0,24.0,50,53,53,34,38,30,19,53,38,7
