Unnamed: 0,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Ameaça_Ofensiva,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,xG_LM,Finalizações_NoAlvo_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Passes_Inteligentes_Certos_LM,Passes_EntreLinhas_Certos_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Passes_Inteligentes_Certos_Rank,Passes_EntreLinhas_Certos_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Passes_Inteligentes_Certos_Percentil,Passes_EntreLinhas_Certos_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,1.0,0.506979,1.0,0.864726,0.307692,0.370949,0.147059,0.583805,0.23775,0.521739,0.91411,1.0,0.600703,0.684368,0.531532,0.607143,0.669878,1.0,R. Garro,Corinthians,Corinthians,"AMF, CF, RCMF",AMF,9,26,7000000,2028-12-31,24,2316,Argentina,"Argentina, Italy",left,174,70,no,BRA1,Testing,2024,Meia Atacante,1.0,1,17,94,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,1,4,1,2,10.0,8,11.5,6,13,5.0,3,1,4,4,5.0,3.0,2,94,76,94,88,41,52,32,64,23,70,82,94,76,76,70,82,88
1,0.930188,0.416204,0.642789,0.506114,0.434783,0.400572,0.558824,0.806935,0.3752,0.391304,1.0,0.787395,0.835221,0.693553,0.337838,0.238095,0.443103,0.915852,Raphael Veiga,Palmeiras,Palmeiras,AMF,AMF,9,29,16000000,2026-12-31,21,1668,Brazil,Brazil,left,178,73,no,BRA1,Testing,2024,Meia Atacante,0.916,2,17,88,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,2,7,5,8,7.0,7,3.0,2,11,11.5,1,3,2,3,7.5,11.5,6,88,58,70,52,58,58,82,88,35,32,94,82,88,82,55,32,64
2,0.513761,0.536608,0.569312,0.69063,0.692308,0.527039,0.382353,0.549141,0.741379,0.478261,0.625767,0.470147,0.282051,0.535676,1.0,0.714286,1.0,0.85949,G. de Arrascaeta,Flamengo,Flamengo,AMF,AMF,9,30,15000000,2026-12-31,10,811,Uruguay,"Uruguay, Italy",right,172,70,no,BRA1,Testing,2024,Meia Atacante,0.859,3,17,82,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,10,3,6,4,4.0,5,4.0,7,5,8.5,10,8,10,8,1.0,2.0,1,41,82,64,76,76,70,76,58,70,50,41,52,41,52,94,88,94
3,0.047035,0.25212,0.396761,1.0,0.866221,1.0,0.323529,0.79686,0.391724,0.73913,0.736196,0.144043,0.683795,0.42643,0.923423,0.547619,0.445661,0.764075,Lorran,Flamengo,Flamengo,"AMF, CF, RAMF",AMF,9,18,0,,15,675,Brazil,Brazil,left,180,68,no,BRA1,Testing,2024,Meia Atacante,0.764,4,17,76,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,16,10,12,1,2.0,1,5.5,3,10,2.0,8,14,3,12,2.0,5.0,5,5,41,29,94,88,94,67,82,41,88,52,17,82,29,88,70,70
4,0.900371,0.499824,0.782807,0.810765,0.214047,0.952506,0.029412,0.244997,0.0,0.434783,0.791411,0.756971,0.538408,0.671527,0.594595,0.416667,0.633415,0.710884,Igor Coronado,Corinthians,Corinthians,"AMF, RW, LCMF",AMF,9,32,4000000,2026-12-31,21,1289,Brazil,"Brazil, Italy",right,170,66,no,BRA1,Testing,2024,Meia Atacante,0.711,5,17,70,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,3,5,3,3,13.0,2,15.5,14,17,10.0,5,5,5,5,4.0,6.0,3,82,70,82,82,23,88,8,17,0,41,70,70,70,70,76,64,82
5,0.275436,1.0,0.882632,0.0,0.0,0.0,0.0,0.256942,0.586207,0.521739,0.858896,0.886209,0.41761,0.428789,0.337838,0.297619,0.3404,0.597619,Ganso,Fluminense,Fluminense,"AMF, CF",AMF,9,34,600000,2025-12-31,21,1677,Brazil,Brazil,left,184,78,no,BRA1,Testing,2024,Meia Atacante,0.598,6,17,64,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,15,1,2,17,17.0,17,17.0,13,7,5.0,4,2,8,11,7.5,9.0,9,11,94,88,0,0,0,0,23,58,70,76,88,52,35,55,47,47
6,0.722652,0.640108,0.7368,0.239106,0.143813,0.070484,0.088235,0.0,0.78992,1.0,0.631902,0.776231,1.0,0.623623,0.369369,0.22619,0.428737,0.575813,D. Payet,Vasco da Gama,Vasco da Gama,"AMF, CF",AMF,9,37,1500000,2025-06-30,11,694,Réunion,"Réunion, France",right,175,77,no,BRA1,Testing,2024,Meia Atacante,0.576,7,17,58,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,7,2,4,13,14.5,15,14.0,17,4,1.0,9,4,1,6,6.0,13.0,7,58,88,76,23,14,11,17,0,76,94,47,76,94,64,64,23,58
7,0.493622,0.327873,0.401575,0.690528,0.595318,0.781788,0.323529,0.274809,0.597168,0.521739,0.92638,0.339973,0.194872,0.602242,0.612613,0.369048,0.586686,0.555196,B. Zapelli,Athletico Paranaense,Athletico Paranaense,"AMF, CF",AMF,9,22,6000000,2028-07-01,22,1194,Argentina,"Argentina, Italy",right,181,72,no,BRA1,Testing,2024,Meia Atacante,0.555,8,17,52,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,11,9,11,5,5.0,4,5.5,12,6,5.0,2,11,12,7,3.0,7.5,4,35,47,35,70,70,76,67,29,64,70,88,35,29,58,82,55,76
8,0.89791,0.2096,0.41592,0.317053,0.110368,0.477271,0.205882,0.49925,0.190887,0.521739,0.496933,0.274775,0.461562,1.0,0.306306,0.238095,0.333705,0.535712,Jean Carlos,Juventude,Juventude,"AMF, CF, LW",AMF,9,32,750000,2024-12-31,17,1005,Brazil,Brazil,left,178,74,no,BRA1,Testing,2024,Meia Atacante,0.536,9,17,47,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,4,13,10,11,16.0,6,9.5,8,15,5.0,12,13,7,1,9.0,11.5,10,76,23,41,35,5,64,44,52,11,70,29,23,58,94,47,32,41
9,0.514208,0.481805,0.53733,0.463798,0.331104,0.085957,0.264706,0.280233,0.518649,0.391304,0.404908,0.606427,0.467949,0.732949,0.148649,0.571429,0.278519,0.483385,Lincoln,Red Bull Bragantino,Red Bull Bragantino,"AMF, LCMF",AMF,9,25,3500000,2026-06-30,17,982,Brazil,Brazil,left,178,73,yes,BRA1,Testing,2024,Meia Atacante,0.483,10,17,41,0.557378,0.355454,0.474404,0.470429,0.4277,0.398497,0.275087,0.43947,0.483623,0.421995,0.590761,0.464276,0.353147,0.473815,0.36301,0.362745,0.376081,9,6,7,9,9.0,14,7.5,11,8,11.5,13,6,6,2,14.0,4.0,12,47,64,58,47,47,17,55,35,52,32,23,64,64,88,17,76,29
