Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
0,0.404153,0.308473,0.878541,1.0,0.427605,0.435897,0.419355,1.0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RAMF,10,30,8000000,2027-12-31,21,1827,Brazil,"Brazil, Italy",left,176,74,no,BRA1,Testing,2024,Extremo Tático,1.0,1,58,98,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,29.0,46,4,1,27,18.5,17.0,50,20,93,98,53,68,70
1,0.616613,0.782992,0.9369,0.705304,0.233373,0.435897,0.322581,0.978396,Ó. Romero,Botafogo,Botafogo,"RW, RAMF",RW,10,32,2000000,2024-12-31,17,761,Paraguay,Paraguay,left,176,73,no,BRA1,Testing,2024,Extremo Tático,0.978,2,58,96,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,10.0,5,2,2,49,18.5,24.0,82,91,96,96,15,68,58
2,0.337061,0.435092,0.67255,0.692752,0.399116,0.641026,0.258065,0.954996,Matheusinho,Criciúma,Criciúma,"RW, LCMF, LWF",RW,10,26,1300000,2024-12-31,17,1060,Brazil,Brazil,right,164,58,no,BRA1,Testing,2024,Extremo Tático,0.955,3,58,94,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,37.0,33,11,3,30,5.5,29.5,36,43,81,94,48,90,49
3,0.726837,0.699759,0.786742,0.555212,0.412387,0.307692,0.709677,0.871815,Gabriel Carvalho,Internacional,Internacional,"RAMF, RW, LAMF",RAMF,10,17,0,,10,776,Brazil,Brazil,right,168,67,no,BRA1,Testing,2024,Extremo Tático,0.872,4,58,93,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,6.0,11,7,7,28,32.0,4.5,89,81,87,87,51,44,92
4,0.961661,1.0,0.846263,0.356865,0.304585,0.410256,0.354839,0.849585,M. Araújo,São Paulo,São Paulo,"LAMF, LWB, LB",LAMF,10,27,1500000,2027-12-31,16,748,Uruguay,Uruguay,left,178,74,no,BRA1,Testing,2024,Extremo Tático,0.85,5,58,91,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,2.0,1,5,23,44,22.5,20.5,96,98,91,60,24,61,64
5,0.667732,0.648394,0.604672,0.481964,0.202082,0.205128,0.354839,0.790213,A. Cruz,Atlético GO,Atlético GO,"LWF, LW, LB",LWF,11,24,700000,2024-12-31,24,1347,Uruguay,Uruguay,left,170,67,no,BRA1,Testing,2024,Extremo Tático,0.79,6,58,89,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,8.0,14,14,12,50,49.0,20.5,86,75,75,79,13,15,64
6,0.503195,0.745662,0.896223,0.393535,0.487367,0.102564,0.064516,0.785423,Gerson,Flamengo,Flamengo,"RAMF, LDMF, RW",RAMF,10,27,14000000,2027-12-31,24,1959,Brazil,Brazil,left,184,78,no,BRA1,Testing,2024,Extremo Tático,0.785,7,58,87,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,20.0,6,3,19,22,57.0,53.5,65,89,94,67,62,1,7
7,0.741214,0.554366,0.740194,0.457557,0.302038,0.435897,0.419355,0.775375,C. Pavón,Grêmio,Grêmio,"RW, RAMF",RW,10,28,4500000,2026-12-31,14,940,Argentina,"Argentina, Italy",right,174,70,no,BRA1,Testing,2024,Extremo Tático,0.775,8,58,86,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,4.0,19,9,13,45,18.5,17.0,93,67,84,77,22,68,70
8,0.298722,0.246811,0.749748,0.576951,0.482862,0.512821,0.16129,0.755888,Lucas Moura,São Paulo,São Paulo,"RAMF, AMF, LAMF",RAMF,10,32,5000000,2026-12-31,17,1437,Brazil,Brazil,right,174,70,no,BRA1,Testing,2024,Extremo Tático,0.756,9,58,84,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,42.0,49,8,6,24,10.5,43.0,27,15,86,89,58,81,25
9,0.603834,0.699014,0.336682,0.539598,0.748557,0.25641,0.645161,0.74554,T. Cuello,Athletico Paranaense,Athletico Paranaense,"LAMF, RW, LW",LAMF,10,24,3000000,2025-12-31,19,1051,Argentina,Argentina,right,178,64,no,BRA1,Testing,2024,Extremo Tático,0.746,10,58,82,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,12.0,12,32,9,6,40.0,6.0,79,79,44,84,89,31,89
10,0.337061,0.468317,0.540531,0.603239,0.36181,0.435897,0.193548,0.720101,Nikão,Athletico Paranaense,Athletico Paranaense,"RAMF, RW",RAMF,10,32,1000000,2024-12-31,15,948,Brazil,Brazil,left,174,73,yes,BRA1,Testing,2024,Extremo Tático,0.72,11,58,81,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,37.0,27,17,4,36,18.5,38.0,36,53,70,93,37,68,34
11,0.670927,0.49758,0.41097,0.448853,0.387141,0.25641,0.064516,0.689616,Vitinho,Red Bull Bragantino,Red Bull Bragantino,"LAMF, LW, LWF",LAMF,10,25,7000000,2026-06-30,18,1039,Brazil,Brazil,right,181,75,no,BRA1,Testing,2024,Extremo Tático,0.69,12,58,79,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,7.0,25,22,14,31,40.0,53.5,87,56,62,75,46,31,7
