Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
0,0.799427,0.862069,1.0,0.560284,0.52957,0.717949,1.0,0.461555,0.709677,0.677596,0.896907,0.26455,0.61,1.0,Estevão,Palmeiras U20,Palmeiras,RAMF,RAMF,10,17,0,,21,1428,Brazil,Brazil,left,170,62,no,BRA1,Testing,2024,Extremo Agudo,1.0,1,58,98,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,5,3.5,1,11.0,12.0,4.0,1,10.5,4.5,10.0,2.0,34.0,8.0,91,93,98,81,79,93,98,81,92,82,96,41,86
1,0.338648,0.76092,0.308485,0.496454,0.405914,1.0,0.643156,0.545465,1.0,0.743169,0.798969,0.169312,0.87,0.980392,Biel,Bahia,Bahia,"LW, LWF, CF",LW,10,23,4000000,2029-12-31,20,795,Brazil,Brazil,right,170,62,no,BRA1,Testing,2024,Extremo Agudo,0.98,2,58,96,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,40,6.0,36,17.0,23.0,1.0,13,7.0,1.0,6.0,4.0,45.0,4.0,31,89,37,70,60,98,77,87,98,89,93,22,93
2,0.85249,0.908046,0.891697,0.680851,0.27957,0.384615,0.440831,0.692317,0.870968,0.961749,0.757732,0.740741,0.9,0.90476,Y. Soteldo,Grêmio,Grêmio,"LWF, LW, LAMF",LWF,11,27,7000000,2027-06-30,12,942,Venezuela,Venezuela,left,160,54,no,BRA1,Testing,2024,Extremo Agudo,0.905,3,58,94,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,3,2.0,4,6.0,43.0,25.0,30,2.0,2.0,3.0,6.0,4.5,2.0,94,96,93,89,25,56,48,96,96,94,89,92,96
3,0.025452,0.501149,0.116119,0.12766,0.376344,0.461538,0.797682,0.413794,0.741935,1.0,0.587629,0.507937,1.0,0.88623,J. Savarino,Botafogo,Botafogo,"LW, LAMF, AMF",LW,10,27,5000000,2026-12-31,17,1325,Venezuela,"Venezuela, Italy",right,168,60,no,BRA1,Testing,2024,Extremo Agudo,0.886,4,58,93,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,56,22.0,53,48.0,29.0,14.0,5,16.0,3.0,1.0,16.0,10.0,1.0,3,62,8,17,50,75,91,72,94,98,72,82,98
4,1.0,0.696552,0.968663,1.0,0.448925,0.461538,0.590695,0.500015,0.483871,0.945355,0.840206,0.47619,0.51,0.868875,Ferreira,São Paulo,São Paulo,"LAMF, LW",LAMF,10,26,5000000,2027-12-31,19,958,Brazil,Brazil,right,176,65,no,BRA1,Testing,2024,Extremo Agudo,0.869,5,58,91,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,1,7.0,2,1.0,20.0,14.0,16,8.5,11.0,4.0,3.0,13.0,9.0,98,87,96,98,65,75,72,85,81,93,94,77,84
5,0.748557,0.526437,0.927601,0.361702,0.494624,0.25641,0.675168,0.107131,0.645161,0.797814,0.582474,0.746032,0.88,0.805265,T. Cuello,Athletico Paranaense,Athletico Paranaense,"LAMF, RW, LW",LAMF,10,24,3000000,2025-12-31,19,1051,Argentina,Argentina,right,178,64,no,BRA1,Testing,2024,Extremo Agudo,0.805,6,58,89,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,6,19.0,3,23.5,15.0,40.0,12,49.0,6.0,5.0,17.0,2.5,3.0,89,67,94,59,74,31,79,15,89,91,70,95,94
6,0.532229,0.862069,0.621146,0.765957,0.61828,0.820513,0.757792,0.300003,0.258065,0.595628,0.458763,0.068783,0.63,0.764972,Moisés,Fortaleza,Fortaleza,"LAMF, LW, LCMF",LAMF,10,28,1500000,2027-12-31,16,693,Brazil,Brazil,right,177,80,no,BRA1,Testing,2024,Extremo Agudo,0.765,7,58,87,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,16,3.5,11,3.0,6.0,2.0,7,25.5,29.5,18.0,25.0,54.0,7.0,72,93,81,94,89,96,87,56,49,68,56,6,87
7,0.399116,0.363218,0.230617,0.177305,0.239247,0.641026,0.378925,0.681817,0.258065,0.601093,0.664948,0.740741,0.44,0.740782,Matheusinho,Criciúma,Criciúma,"RW, LCMF, LWF",RW,10,26,1300000,2024-12-31,17,1060,Brazil,Brazil,right,164,58,no,BRA1,Testing,2024,Extremo Agudo,0.741,8,58,86,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,30,38.0,43,44.0,47.0,5.5,35,3.0,29.5,16.5,10.0,4.5,13.0,48,34,25,24,18,90,39,94,49,71,82,92,77
8,0.325941,0.772414,0.42436,0.198582,0.543011,0.589744,0.898282,0.461555,0.322581,0.47541,0.783505,0.174603,0.22,0.723731,A. Canobbio,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, CF",LAMF,10,25,5000000,2026-12-31,14,969,Uruguay,"Uruguay, Italy",right,175,69,no,BRA1,Testing,2024,Extremo Agudo,0.724,9,58,84,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,42,5.0,26,41.0,10.0,7.0,2,10.5,24.0,26.0,5.0,44.0,32.0,27,91,55,29,82,87,96,81,58,55,91,24,44
9,0.302038,0.645977,0.419953,0.276596,1.0,0.435897,0.525513,0.136351,0.419355,0.387978,0.561856,0.285714,0.42,0.706719,C. Pavón,Grêmio,Grêmio,"RW, RAMF",RW,10,28,4500000,2026-12-31,14,940,Argentina,"Argentina, Italy",right,174,70,no,BRA1,Testing,2024,Extremo Agudo,0.707,10,58,82,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,45,9.0,27,31.5,1.0,18.5,22,46.5,17.0,34.0,18.0,32.0,14.5,22,84,53,45,98,68,62,19,70,41,68,44,75
