Unnamed: 0,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Passes_Curtos_Médios_Certos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Passes_Curtos_Médios_Certos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Passes_Curtos_Médios_Certos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
0,0.577465,0.0,0.460165,0.599576,0.858879,0.891892,0.969925,0.175325,0.897331,0.742258,1.0,João Ricardo,Fortaleza,Fortaleza,GK,GK,0,36,350000,2027-12-31,26,2636,Brazil,Brazil,right,186,78,no,BRA1,Testing,2024,Goleiro Líbero,1.0,1,28,96,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,9.5,28,13,8,3.0,2,3.0,19.5,3,3,66,0,53,71,89,92,89,30,89,89
1,0.211268,0.377623,0.632545,0.736639,0.875264,0.858108,0.646617,0.318182,0.98606,0.760519,0.952918,Weverton,Palmeiras,Palmeiras,GK,GK,0,36,2000000,2026-12-31,24,2432,Brazil,Brazil,right,189,85,no,BRA1,Testing,2024,Goleiro Líbero,0.953,2,28,92,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,24.0,10,6,4,2.0,3,9.0,11.0,2,2,14,64,78,85,92,89,67,60,92,92
2,0.356825,0.082023,0.466541,0.582879,1.0,0.790541,0.390977,0.175325,1.0,1.0,0.846561,Bento,Al Nassr,Athletico Paranaense,GK,GK,0,25,15000000,2027-06-30,7,710,Brazil,"Brazil, Italy",right,191,92,no,BRA1,Testing,2024,Goleiro Líbero,0.847,3,28,89,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,20.0,24,11,11,1.0,6,22.0,19.5,1,1,28,14,60,60,96,78,21,30,96,96
3,0.668389,0.330592,1.0,1.0,0.508985,0.817568,1.0,1.0,0.774955,0.320323,0.7907,Cleiton,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,27,4000000,2027-12-31,18,1710,Brazil,Brazil,right,190,82,no,BRA1,Testing,2024,Goleiro Líbero,0.791,4,28,85,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,4.0,15,1,1,12.0,4,1.0,1.0,7,11,85,46,96,96,57,85,96,96,75,60
4,0.577465,0.354491,0.028119,0.121766,0.743129,0.807432,0.406015,0.084416,0.840768,0.563787,0.763002,Cássio,Cruzeiro,Cruzeiro,GK,GK,0,37,400000,2027-05-31,13,1319,Brazil,Brazil,right,196,92,no,BRA1,Testing,2024,Goleiro Líbero,0.763,5,28,82,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,9.5,13,27,26,4.0,5,19.5,26.0,5,4,66,53,3,7,85,82,30,7,82,85
5,0.43662,0.813872,0.487156,0.583866,0.62685,0.702703,0.578947,0.253247,0.780382,0.432092,0.755678,John Victor,Botafogo,Botafogo,GK,GK,0,28,1500000,2027-06-30,23,2327,Brazil,"Brazil, Portugal",right,197,88,no,BRA1,Testing,2024,Goleiro Líbero,0.756,6,28,78,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,13.5,2,10,10,6.0,8,12.0,14.0,6,6,51,92,64,64,78,71,57,50,78,78
6,0.641839,0.687165,0.206828,0.341049,0.439218,0.746622,0.992481,0.590909,0.689345,0.257675,0.723481,Gabriel,Juventude,Juventude,GK,GK,0,31,1000000,2026-12-31,22,2181,Brazil,Brazil,right,193,86,yes,BRA1,Testing,2024,Goleiro Líbero,0.723,7,28,75,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,6.0,5,23,21,15.0,7,2.0,6.0,8,15,78,82,17,25,46,75,92,78,71,46
7,0.65918,1.0,0.396512,0.211723,0.552326,0.474662,0.932331,0.876623,0.537165,0.351434,0.717405,Marcos Felipe,Bahia,Bahia,GK,GK,0,28,2000000,2027-12-31,25,2514,Brazil,Brazil,right,188,81,no,BRA1,Testing,2024,Goleiro Líbero,0.717,8,28,71,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,5.0,1,17,25,9.0,13,4.0,4.0,11,9,82,96,39,10,67,53,85,85,60,67
8,0.676056,0.152852,0.709547,0.663778,0.596195,0.231419,0.661654,0.883117,0.248376,0.398184,0.669672,S. Rochet,Internacional,Internacional,GK,GK,0,31,3500000,2026-12-31,13,1319,Uruguay,"Uruguay, Italy",right,190,82,no,BRA1,Testing,2024,Goleiro Líbero,0.67,9,28,67,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,3.0,20,4,7,8.0,24,8.0,3.0,25,8,89,28,85,75,71,14,71,89,10,71
9,0.521127,0.186718,0.212848,0.282934,0.510571,0.570946,0.481203,0.532468,0.627586,0.318812,0.632818,Fábio,Fluminense,Fluminense,GK,GK,0,43,200000,2025-12-31,24,2437,Brazil,"Brazil, Italy",right,190,93,no,BRA1,Testing,2024,Goleiro Líbero,0.633,10,28,64,0.448434,0.34313,0.424975,0.47884,0.414188,0.475627,0.531955,0.351577,0.520365,0.287652,11.0,19,22,24,11.0,10,15.5,7.0,10,12,60,32,21,14,60,64,44,75,64,57
