Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil
0,0.652945,0.729736,0.0,0.744681,0.315783,0.269139,0.654666,1.0,1.0,1.0,Alan Patrick,Internacional,Internacional,"CF, AMF",CF,12,33,4000000,2026-12-31,10,711,Brazil,Brazil,right,177,70,no,BRA1,Testing,2024,Atacante Móvel,1.0,1,46,97,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,6,2,43.5,6.0,31.0,38.0,10,1.0,1.0,86,95,5,86,32,17,78,97,97
1,0.551584,0.384382,0.314286,0.425532,1.0,0.898367,0.620939,0.222222,0.151203,0.958393,Kauã Elias,Fluminense,Fluminense,CF,CF,12,18,0,,17,823,Brazil,Brazil,right,181,70,no,BRA1,Testing,2024,Atacante Móvel,0.958,2,46,95,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,10,9,11.0,20.0,1.0,2.0,11,16.5,34.5,78,80,76,56,97,95,76,64,25
2,0.396257,0.141495,0.228571,0.404255,0.705877,0.541353,0.782724,0.277778,0.360825,0.954108,Tiquinho Soares,Botafogo,Botafogo,"CF, AMF",CF,12,33,2700000,2026-12-31,18,1117,Brazil,"Brazil, Portugal",right,187,89,no,BRA1,Testing,2024,Atacante Móvel,0.954,3,46,93,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,15,30,14.5,21.0,5.5,11.5,3,12.0,6.0,67,34,68,54,88,75,93,73,86
3,0.270256,0.206838,0.047619,0.851064,0.785708,0.512352,1.0,0.222222,0.216495,0.945304,Pedro,Flamengo,Flamengo,CF,CF,12,27,23000000,2027-12-31,21,1860,Brazil,Brazil,right,186,78,no,BRA1,Testing,2024,Atacante Móvel,0.945,4,46,91,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,31,23,39.5,3.0,3.0,14.0,1,16.5,22.0,32,50,14,93,93,69,97,64,52
4,0.2876,0.250919,0.12381,0.276596,0.818198,0.818182,0.518707,0.083333,0.171821,0.88699,L. Di Yorio,Athletico Paranaense,Athletico Paranaense,CF,CF,12,27,2000000,2027-12-31,14,719,Argentina,"Argentina, Italy",right,186,83,no,BRA1,Testing,2024,Atacante Móvel,0.887,5,46,89,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,27,19,29.0,29.0,2.0,4.0,17,37.5,32.0,41,58,36,36,95,91,63,18,30
5,0.655364,0.439548,0.352381,0.12766,0.360004,0.757895,0.014325,0.527778,0.628866,0.885877,Matheus Pereira,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,28,7000000,2026-06-30,23,2211,Brazil,"Brazil, Portugal",left,175,74,no,BRA1,Testing,2024,Atacante Móvel,0.886,6,46,86,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,5,7,8.5,37.0,24.5,5.0,45,2.0,3.0,89,84,81,19,46,89,2,95,93
6,0.259644,0.105389,0.057143,0.638298,0.750008,0.582996,0.781602,0.083333,0.103093,0.87281,J. Lucero,Fortaleza,Fortaleza,CF,CF,12,32,1200000,2027-12-31,21,1505,Argentina,Argentina,right,179,75,no,BRA1,Testing,2024,Atacante Móvel,0.873,7,46,84,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,33,35,37.5,11.0,4.0,9.0,4,37.5,39.0,28,23,18,76,91,80,91,18,15
7,0.762913,0.505423,0.333333,0.808511,0.446824,0.493841,0.426573,0.277778,0.357388,0.836481,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,38,1800000,2026-12-31,14,1295,Brazil,Brazil,left,180,85,no,BRA1,Testing,2024,Atacante Móvel,0.836,8,46,82,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,3,6,10.0,4.5,17.5,18.0,24,12.0,7.0,93,86,78,90,61,60,47,73,84
8,0.289903,0.269334,0.12381,0.319149,0.666667,0.532895,0.747299,0.111111,0.274914,0.827999,Eduardo,Botafogo,Botafogo,"CF, LW, AMF",CF,12,34,1000000,2024-12-31,10,672,Brazil,Brazil,right,184,72,no,BRA1,Testing,2024,Atacante Móvel,0.828,9,46,80,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,26,18,29.0,26.5,7.0,13.0,6,30.0,14.0,43,60,36,42,84,71,86,34,69
9,0.319739,0.326321,0.828571,0.276596,0.600006,0.624402,0.4797,0.166667,0.298969,0.825264,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,24,17000000,2026-12-31,21,1870,Brazil,Brazil,right,177,80,no,BRA1,Testing,2024,Atacante Móvel,0.825,10,46,78,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,25,13,3.5,29.0,8.0,6.0,21,21.5,10.0,45,71,92,36,82,86,54,53,78
10,0.372271,0.326555,0.352381,0.234043,0.705877,0.876316,0.32587,0.083333,0.223368,0.82079,André Silva,São Paulo,São Paulo,CF,CF,12,27,3500000,2027-12-31,19,968,Brazil,Brazil,left,181,78,no,BRA1,Testing,2024,Atacante Móvel,0.821,11,46,76,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,19,12,8.5,32.5,5.5,3.0,30,37.5,19.0,58,73,81,29,88,93,34,18,58
