Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.399928,0.177403,0.261628,0.843137,0.831385,1.0,0.763889,0.548307,0.818182,0.808743,0.38,0.814286,0.391695,1.0,E. Vargas,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,34,1000000,2024-12-31,18,792,Chile,Chile,right,174,77,no,BRA1,Testing,2024,Segundo Atacante,1.0,1,58,98,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,13,31,10.0,4.0,2,1.0,4.0,8.0,2.5,5.0,11.0,4.0,11,77,46,82,93,96,98,93,86,95,91,81,93,81
1,0.22074,0.184319,0.02907,0.862745,0.788986,0.785708,0.495748,0.68652,0.363636,0.344262,0.505,0.685714,0.272029,0.943106,Pedro,Flamengo,Flamengo,CF,CF,12,27,23000000,2027-12-31,21,1860,Brazil,Brazil,right,186,78,no,BRA1,Testing,2024,Segundo Atacante,0.943,2,58,96,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,37,29,50.5,3.0,3,5.0,17.0,5.0,20.0,26.5,3.0,10.0,24,36,50,12,94,94,91,70,91,65,54,94,82,58
2,1.0,1.0,1.0,0.078431,0.236527,0.600006,0.865741,0.220402,1.0,0.939891,0.44,0.985714,0.519851,0.941392,I. Machuca,Fortaleza,Fortaleza,"CF, RWF, LAMF",CF,12,24,3000000,2027-12-31,15,523,Argentina,Argentina,right,173,70,no,BRA1,Testing,2024,Segundo Atacante,0.941,3,58,94,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,1,1,1.0,57.0,47,11.0,2.0,48.0,1.0,3.5,7.5,2.0,7,98,98,98,1,18,81,96,17,98,93,87,96,87
3,0.085225,0.1118,0.069767,0.764706,0.660802,0.800018,0.520833,0.665775,0.727273,0.409836,0.425,0.885714,0.53621,0.900597,Gabriel Barbosa,Flamengo,Flamengo,"CF, AMF",CF,12,28,8000000,2024-12-31,16,722,Brazil,Brazil,left,178,73,no,BRA1,Testing,2024,Segundo Atacante,0.901,4,58,93,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,53,42,34.5,7.5,8,3.0,13.0,6.0,4.5,17.5,10.0,3.0,5,8,27,40,87,86,94,77,89,92,69,82,94,91
4,0.33015,0.191671,0.05814,0.784314,0.475547,0.789488,0.488889,0.7112,0.181818,0.36612,0.355,0.685714,0.288198,0.839241,M. Braithwaite,Grêmio,Grêmio,CF,CF,12,33,3200000,2026-06-30,11,946,Denmark,"Denmark, Guyana",right,177,73,no,BRA1,Testing,2024,Segundo Atacante,0.839,5,58,91,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,26,28,40.5,6.0,22,4.0,18.0,3.0,39.0,22.5,15.0,10.0,22,55,51,30,89,62,93,68,94,32,61,74,82,62
5,0.736095,0.41095,0.162791,0.823529,0.616426,0.535715,0.546099,0.377185,0.454545,0.519126,0.285,0.642857,0.359271,0.837722,Hulk,Atlético Mineiro,Atlético Mineiro,CF,CF,12,38,1800000,2026-12-31,18,1616,Brazil,Brazil,left,180,85,no,BRA1,Testing,2024,Segundo Atacante,0.838,6,58,89,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,4,6,19.0,5.0,12,17.5,10.0,25.0,11.5,9.0,19.5,13.0,14,93,89,67,91,79,69,82,56,80,84,66,77,75
6,0.26322,0.285319,0.476744,0.294118,0.418825,0.600006,0.61875,0.361314,0.272727,0.47541,0.47,0.128571,0.372939,0.822536,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,24,17000000,2026-12-31,22,1975,Brazil,Brazil,right,177,80,no,BRA1,Testing,2024,Segundo Atacante,0.823,7,58,87,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,31,18,6.0,39.0,28,11.0,7.0,27.0,27.0,11.0,5.0,49.5,13,46,68,89,32,51,81,87,53,53,81,91,14,77
7,0.60511,0.369223,0.186047,0.176471,0.342116,0.327273,0.6875,0.110928,0.818182,1.0,1.0,1.0,1.0,0.81403,Matheus Pereira,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,28,7000000,2026-06-30,27,2559,Brazil,"Brazil, Portugal",left,175,74,no,BRA1,Testing,2024,Segundo Atacante,0.814,8,58,86,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,5,8,15.5,47.5,34,37.0,6.0,56.0,2.5,1.0,1.0,1.0,1,91,86,73,18,41,36,89,3,95,98,98,98,98
8,0.150053,0.041833,0.180233,0.980392,0.750488,0.583326,0.366667,0.69697,0.181818,0.409836,0.36,0.171429,0.404551,0.806464,R. Borré,Internacional,Internacional,CF,CF,12,29,8000000,2028-12-31,16,1442,Colombia,Colombia,right,174,70,no,BRA1,Testing,2024,Segundo Atacante,0.806,9,58,84,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,50,55,17.0,2.0,5,13.0,35.0,4.0,39.0,17.5,13.5,45.0,10,13,5,70,96,91,77,39,93,32,69,76,22,82
9,0.333935,0.120121,0.156977,0.529412,0.299433,0.576936,0.486979,0.487013,0.409091,0.584699,0.36,0.671429,0.347436,0.793078,Tiquinho Soares,Botafogo,Botafogo,"CF, AMF",CF,12,33,2700000,2026-12-31,23,1340,Brazil,"Brazil, Portugal",right,187,89,no,BRA1,Testing,2024,Segundo Atacante,0.793,10,58,82,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,25,39,21.0,25.0,40,14.0,19.0,15.0,15.0,8.0,13.5,12.0,16,56,32,63,56,31,75,67,74,74,86,76,79,72
