Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
0,0.48808,0.610447,0.907004,0.793016,0.759407,0.785911,1.0,Renê,Internacional,Internacional,LB,LB,1,32,900000,2024-12-31,13,1068,Brazil,Brazil,left,174,72,no,BRA1,Testing,2024,Lateral Defensivo,1.0,1,64,98,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,18.0,15,2,4,3,4,71,76,96,93,95,93
1,0.457967,0.520046,0.567643,0.593523,0.713169,0.855061,0.921574,N. Ferraresi,São Paulo,São Paulo,"RB, RCB",RB,1,25,3500000,2027-12-31,11,815,Venezuela,"Venezuela, Italy",right,190,80,no,BRA1,Testing,2024,Lateral Defensivo,0.922,2,64,96,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,19.0,20,13,6,6,3,70,68,79,90,90,95
2,0.804266,0.677878,0.868106,0.555773,0.676866,0.41094,0.844805,Juninho Capixaba,Red Bull Bragantino,Red Bull Bragantino,LB,LB,1,27,3000000,2026-12-31,15,1308,Brazil,Brazil,left,176,63,no,BRA1,Testing,2024,Lateral Defensivo,0.845,3,64,95,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,2.0,7,4,10,9,17,96,89,93,84,85,73
3,1.0,0.895633,0.243527,0.545795,0.695328,0.614951,0.792238,F. Bustos,River Plate,Internacional,RB,RB,1,28,7000000,2027-12-31,11,966,Argentina,Argentina,right,167,66,no,BRA1,Testing,2024,Lateral Defensivo,0.792,4,64,93,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,1.0,2,43,11,8,8,98,96,32,82,87,87
4,0.583438,0.782842,0.133728,0.944067,1.0,0.441038,0.748083,Marcos Rocha,Palmeiras,Palmeiras,"RB, RCB",RB,1,35,600000,2024-12-31,19,1471,Brazil,Brazil,right,176,68,no,BRA1,Testing,2024,Lateral Defensivo,0.748,5,64,92,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,11.0,5,57,2,1,14,82,92,10,96,98,78
5,0.648683,0.441394,0.722746,0.587436,0.565487,0.328037,0.738465,Marçal,Botafogo,Botafogo,LB,LB,1,35,600000,2024-12-31,12,850,Brazil,Brazil,left,178,72,no,BRA1,Testing,2024,Lateral Defensivo,0.738,6,64,90,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,7.0,28,6,7,19,27,89,56,90,89,70,57
6,0.34128,0.424887,0.34008,0.448181,0.756539,0.700787,0.704365,L. Esquivel,Athletico Paranaense,Athletico Paranaense,LB,LB,1,22,3000000,2028-06-30,20,1778,Argentina,Argentina,left,183,69,no,BRA1,Testing,2024,Lateral Defensivo,0.704,7,64,89,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,35.0,29,31,17,4,7,45,54,51,73,93,89
7,0.313676,0.319772,0.333977,0.932969,0.586272,0.59546,0.686912,Marlon,Cruzeiro,Cruzeiro,LB,LB,1,27,5000000,2026-12-31,17,1506,Brazil,Brazil,left,178,78,no,BRA1,Testing,2024,Lateral Defensivo,0.687,8,64,87,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,39.0,47,32,3,17,9,39,26,50,95,73,85
8,0.656211,0.683284,0.283727,0.450036,0.492677,0.46516,0.68676,Bruno Gomes,Internacional,Internacional,"RB, RCMF, AMF",RB,1,23,2500000,2027-12-31,16,1028,Brazil,"Brazil, Italy",right,175,77,no,BRA1,Testing,2024,Lateral Defensivo,0.687,9,64,85,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,6.0,6,40,16,25,13,90,90,37,75,60,79
9,0.612296,0.624897,0.487617,0.297075,0.573239,0.538904,0.684783,Mayke,Palmeiras,Palmeiras,"RB, RCB",RB,1,31,3000000,2025-12-31,17,985,Brazil,Brazil,right,179,68,no,BRA1,Testing,2024,Lateral Defensivo,0.685,10,64,84,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,10.0,13,17,36,18,11,84,79,73,43,71,82
