Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Acelerações_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Acelerações_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Acelerações_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.021814,0.810984,0.662049,0.731092,0.503288,0.496377,0.431405,0.469816,0.240741,0.888889,0.783133,0.463334,1.0,0.825397,1.0,1.0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RWB,1,30,8000000,2027-12-31,27,2107,Brazil,"Brazil, Italy",left,176,74,no,BRA1,Testing,2024,Lateral Ofensivo,1.0,1,76,98,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,75.0,5,10,3.0,3,17.5,3.0,15.0,41.0,3.5,2.0,26,1.0,5.0,1.0,1,93,86,96,96,76,96,80,46,95,97,65,98,93,98
1,0.292767,0.21176,0.81701,0.263866,0.061175,0.416667,0.042297,0.270341,0.240741,0.722222,0.506024,0.472523,0.609375,0.703704,0.770125,0.890667,S. Arias,Bahia,Bahia,RB,RB,1,32,2500000,2025-12-31,19,1829,Colombia,Colombia,right,177,70,no,BRA1,Testing,2024,Lateral Ofensivo,0.891,2,76,97,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,55.0,62,2,31.0,68,26.0,63.0,40.0,41.0,10.5,16.5,24,9.5,9.0,4.0,27,18,97,59,10,65,17,47,46,86,78,68,87,88,94
2,0.609644,0.931108,1.0,0.052101,0.080336,0.155797,0.0,0.238845,0.194444,0.444444,0.427711,0.909488,0.460938,0.132275,0.308077,0.879233,Marcos Rocha,Palmeiras,Palmeiras,RB,RB,1,35,600000,2024-12-31,22,1677,Brazil,Brazil,right,176,68,no,BRA1,Testing,2024,Lateral Ofensivo,0.879,3,76,96,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,15.0,3,1,74.0,65,68.0,76.0,47.0,48.5,35.0,27.5,2,23.0,69.0,47.0,80,96,98,2,14,10,0,38,36,53,63,97,69,9,38
3,0.443169,0.522294,0.715986,0.394958,0.276024,0.286232,0.260259,0.312336,0.111111,0.722222,0.560241,0.658467,0.390625,0.539683,0.61067,0.878093,L. Esquivel,Athletico Paranaense,Athletico Paranaense,LB,LB,1,23,3000000,2028-06-30,24,2161,Argentina,Argentina,left,183,69,no,BRA1,Testing,2024,Lateral Ofensivo,0.878,4,76,94,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,29.0,15,5,14.0,22,46.5,16.0,34.0,65.5,10.5,10.5,7,36.5,17.5,10.0,61,80,93,81,71,38,78,55,13,86,86,90,51,76,86
4,1.0,0.582835,0.680008,0.238655,0.220978,0.438406,0.129984,0.181102,0.083333,0.5,0.415663,0.431427,0.585938,0.470899,0.618554,0.853001,F. Bustos,River Plate,Internacional,RB,RB,1,28,7000000,2027-12-31,11,966,Argentina,Argentina,right,167,66,no,BRA1,Testing,2024,Lateral Ofensivo,0.853,5,76,93,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,1.0,11,8,38.5,36,23.0,36.0,57.5,68.5,29.0,30.0,33,11.5,22.5,9.0,98,85,89,49,52,69,52,24,9,61,60,56,84,70,88
5,0.328358,0.701362,0.736936,0.467227,0.357177,0.311594,0.39772,0.278215,0.0,0.388889,0.427711,0.880243,0.429688,0.291005,0.373052,0.818551,Marcelo,Fluminense,Fluminense,LB,LB,1,36,1300000,2024-12-31,17,1150,Brazil,"Brazil, Spain",left,174,75,no,BRA1,Testing,2024,Lateral Ofensivo,0.819,6,76,92,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,52.0,6,3,4.0,12,43.5,5.0,39.0,75.5,41.5,27.5,3,29.5,49.0,39.0,31,92,96,94,84,42,93,48,0,45,63,96,61,35,48
6,0.126292,0.45746,0.692209,0.381513,0.177663,0.173913,0.116036,0.115486,0.268519,1.0,0.722892,0.245904,0.679688,1.0,0.967054,0.815348,Fágner,Corinthians,Corinthians,"RB, RWB",RB,1,35,500000,2024-12-31,13,932,Brazil,Brazil,right,168,67,no,BRA1,Testing,2024,Lateral Ofensivo,0.815,7,76,90,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,71.0,19,7,16.0,46,66.0,43.0,69.5,38.0,1.5,4.0,64,7.0,1.0,2.0,6,75,90,78,39,13,43,8,50,98,94,15,90,98,97
7,0.533869,0.829651,0.736434,0.10084,0.143703,0.271739,0.020213,0.677165,0.62037,0.277778,0.26506,1.0,0.65625,0.100529,0.475721,0.78452,Renê,Internacional,Internacional,LB,LB,1,32,900000,2024-12-31,14,1076,Brazil,Brazil,left,174,72,no,BRA1,Testing,2024,Lateral Ofensivo,0.785,8,76,89,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,24.0,4,4,69.5,53,49.5,69.0,4.0,7.5,60.5,50.5,1,8.0,71.0,22.0,68,94,94,8,30,34,9,94,90,20,33,98,89,6,71
8,0.206659,0.530809,0.667114,0.383193,0.206613,0.586957,0.170937,0.532808,0.12963,0.277778,0.421687,0.597507,0.382812,0.587302,0.586881,0.775058,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,27,12000000,2027-12-31,14,1278,Brazil,Brazil,left,176,66,no,BRA1,Testing,2024,Lateral Ofensivo,0.775,9,76,88,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,64.0,14,9,15.0,40,10.0,32.0,11.0,63.5,60.5,29.0,12,38.0,11.0,15.0,15,81,88,80,47,86,57,85,16,20,61,84,50,85,80
9,0.250287,0.190203,0.553573,0.430252,0.41364,0.525362,0.324876,0.603675,0.444444,0.333333,0.295181,0.404295,0.882812,0.560847,0.785704,0.729144,Gilberto,Bahia,Bahia,RB,RB,1,31,3000000,2026-06-30,14,1120,Brazil,Brazil,right,181,68,no,BRA1,Testing,2024,Lateral Ofensivo,0.729,10,76,86,0.418802,0.374393,0.411494,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,60.0,67,15,9.0,8,13.0,9.0,6.0,21.5,50.5,44.0,40,2.0,12.0,3.0,21,11,80,88,89,82,88,92,71,33,42,47,97,84,96
