Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Acelerações_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Acelerações_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Acelerações_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_ÁreaPênalti_Certos_Percentil
0,0.021814,0.027068,0.173271,0.810984,0.662049,0.82944,0.731092,0.503288,0.496377,0.431405,0.469816,0.240741,0.888889,0.783133,0.463334,1.0,0.825397,1.0,1.0,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RWB,1,30,8000000,2027-12-31,27,2107,Brazil,"Brazil, Italy",left,176,74,no,BRA1,Testing,2024,Lateral Equilibrado,1.0,1,76,98,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,75.0,75,64,5,10,3,3.0,3,17.5,3.0,15.0,41.0,3.5,2.0,26,1.0,5.0,1.0,1,1,15,93,86,96,96,96,76,96,80,46,95,97,65,98,93,98
1,0.250287,0.140266,0.301249,0.190203,0.553573,0.755507,0.430252,0.41364,0.525362,0.324876,0.603675,0.444444,0.333333,0.295181,0.404295,0.882812,0.560847,0.785704,0.82216,Gilberto,Bahia,Bahia,RB,RB,1,31,3000000,2026-06-30,14,1120,Brazil,Brazil,right,181,68,no,BRA1,Testing,2024,Lateral Equilibrado,0.822,2,76,97,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,60.0,67,42,67,15,5,9.0,8,13.0,9.0,6.0,21.5,50.5,44.0,40,2.0,12.0,3.0,21,11,44,11,80,93,88,89,82,88,92,71,33,42,47,97,84,96
2,0.533869,0.46566,0.938013,0.829651,0.736434,0.794307,0.10084,0.143703,0.271739,0.020213,0.677165,0.62037,0.277778,0.26506,1.0,0.65625,0.100529,0.475721,0.80434,Renê,Internacional,Internacional,LB,LB,1,32,900000,2024-12-31,14,1076,Brazil,Brazil,left,174,72,no,BRA1,Testing,2024,Lateral Equilibrado,0.804,3,76,96,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,24.0,18,2,4,4,4,69.5,53,49.5,69.0,4.0,7.5,60.5,50.5,1,8.0,71.0,22.0,68,76,97,94,94,94,8,30,34,9,94,90,20,33,98,89,6,71
3,0.443169,0.360605,0.432819,0.522294,0.715986,0.645249,0.394958,0.276024,0.286232,0.260259,0.312336,0.111111,0.722222,0.560241,0.658467,0.390625,0.539683,0.61067,0.795863,L. Esquivel,Athletico Paranaense,Athletico Paranaense,LB,LB,1,23,3000000,2028-06-30,24,2161,Argentina,Argentina,left,183,69,no,BRA1,Testing,2024,Lateral Equilibrado,0.796,4,76,94,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,29.0,30,23,15,5,6,14.0,22,46.5,16.0,34.0,65.5,10.5,10.5,7,36.5,17.5,10.0,61,60,69,80,93,92,81,71,38,78,55,13,86,86,90,51,76,86
4,1.0,0.698527,0.26135,0.582835,0.680008,0.616604,0.238655,0.220978,0.438406,0.129984,0.181102,0.083333,0.5,0.415663,0.431427,0.585938,0.470899,0.618554,0.785378,F. Bustos,River Plate,Internacional,RB,RB,1,28,7000000,2027-12-31,11,966,Argentina,Argentina,right,167,66,no,BRA1,Testing,2024,Lateral Equilibrado,0.785,5,76,93,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,1.0,3,50,11,8,7,38.5,36,23.0,36.0,57.5,68.5,29.0,30.0,33,11.5,22.5,9.0,98,96,34,85,89,90,49,52,69,52,24,9,61,60,56,84,70,88
5,0.206659,0.147604,0.20555,0.530809,0.667114,1.0,0.383193,0.206613,0.586957,0.170937,0.532808,0.12963,0.277778,0.421687,0.597507,0.382812,0.587302,0.586881,0.767881,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,27,12000000,2027-12-31,14,1278,Brazil,Brazil,left,176,66,no,BRA1,Testing,2024,Lateral Equilibrado,0.768,6,76,92,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,64.0,65,57,14,9,1,15.0,40,10.0,32.0,11.0,63.5,60.5,29.0,12,38.0,11.0,15.0,15,14,25,81,88,98,80,47,86,57,85,16,20,61,84,50,85,80
6,0.292767,0.215144,0.225663,0.21176,0.81701,0.430657,0.263866,0.061175,0.416667,0.042297,0.270341,0.240741,0.722222,0.506024,0.472523,0.609375,0.703704,0.770125,0.683177,S. Arias,Bahia,Bahia,RB,RB,1,32,2500000,2025-12-31,19,1829,Colombia,Colombia,right,177,70,no,BRA1,Testing,2024,Lateral Equilibrado,0.683,7,76,90,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,55.0,57,54,62,2,16,31.0,68,26.0,63.0,40.0,41.0,10.5,16.5,24,9.5,9.0,4.0,27,25,28,18,97,78,59,10,65,17,47,46,86,78,68,87,88,94
7,0.0,0.0,0.197833,0.256646,0.125448,0.26874,1.0,1.0,1.0,1.0,0.84252,0.462963,0.555556,0.210843,0.125549,0.78125,0.407407,0.457591,0.66745,Alisson,Atlético Mineiro,Atlético Mineiro,"RWB, RAMF, RW",RWB,1,19,0,,13,718,Brazil,Brazil,left,175,63,no,BRA1,Testing,2024,Lateral Equilibrado,0.667,8,76,89,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,76.0,76,60,51,72,42,1.0,1,1.0,1.0,2.0,20.0,23.0,62.0,72,3.0,33.0,25.0,0,0,21,32,5,44,98,98,98,98,97,73,69,18,5,96,56,67
8,0.41217,0.311283,0.329752,0.948043,0.550153,0.585454,0.105882,0.03419,0.221014,0.000957,0.293963,0.212963,0.333333,0.277108,0.435161,0.515625,0.396825,0.506323,0.663047,Marlon,Cruzeiro,Cruzeiro,LB,LB,1,27,5000000,2026-12-31,22,1921,Brazil,Brazil,left,178,78,no,BRA1,Testing,2024,Lateral Equilibrado,0.663,9,76,88,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,37.0,40,36,2,16,8,67.0,73,55.5,75.0,35.0,45.0,50.5,48.0,31,17.0,35.5,20.0,51,47,52,97,78,89,11,3,26,1,53,40,33,36,59,77,53,73
9,0.43628,0.298507,0.215902,0.369179,0.52366,0.503265,0.278992,0.179249,0.188406,0.103303,0.144357,0.055556,0.444444,0.39759,0.509944,0.585938,0.486772,0.65007,0.654085,J. Piquerez,Palmeiras,Palmeiras,"LB, LCB",LB,1,26,13000000,2026-12-31,17,1563,Uruguay,"Uruguay, Italy",left,183,80,no,BRA1,Testing,2024,Lateral Equilibrado,0.654,10,76,86,0.418802,0.337278,0.366916,0.374393,0.411494,0.322095,0.26475,0.22442,0.352212,0.170837,0.322697,0.32578,0.445175,0.3685,0.416126,0.38384,0.388193,0.402207,32.0,42,55,35,19,11,29.0,45,63.5,45.0,64.0,72.0,35.0,31.0,19,11.5,20.0,8.0,57,44,27,53,75,85,61,40,16,40,15,5,53,59,75,84,73,89
