Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Laterais_Certos_Percentil
0,0.793043,0.72702,0.613191,0.222222,0.981395,0.441324,1.0,Naves,Palmeiras,Palmeiras,"RCB, LCB",RCB,4,22,0,,11,831,Brazil,Brazil,right,182,78,no,BRA1,Testing,2024,Zagueiro Defensivo,1.0,1,84,98,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,9.0,6,13,73.0,2.0,35,89,92,84,13,97,58
1,0.853913,0.450794,0.570219,0.472222,0.825581,0.219861,0.945145,Rodrigo,Criciúma,Criciúma,RCB,RCB,4,37,150000,2024-12-31,26,2652,Brazil,Brazil,right,187,80,no,BRA1,Testing,2024,Zagueiro Defensivo,0.945,2,84,97,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,6.0,41,19,26.0,4.0,69,92,51,77,69,95,17
2,0.94087,0.487152,0.709324,1.0,0.665116,0.096619,0.922113,Natã,Grêmio,Grêmio,"LCB, RCB",LCB,4,23,0,,11,563,Brazil,Brazil,right,182,76,no,BRA1,Testing,2024,Zagueiro Defensivo,0.922,3,84,96,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,3.0,32,7,1.0,18.0,81,96,61,91,98,78,3
3,0.883478,0.830223,0.392915,0.388889,0.64186,0.394563,0.908874,Igor Gomes,Internacional,Internacional,"RCB, RB",RCB,4,23,1500000,2028-12-31,13,798,Brazil,Brazil,right,185,76,no,BRA1,Testing,2024,Zagueiro Defensivo,0.909,4,84,95,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,4.0,3,48,40.5,23.0,43,95,96,42,51,72,48
4,0.810435,0.696744,0.850299,0.847222,0.548837,0.291365,0.906674,Rodrigo Ely,Grêmio,Grêmio,RCB,RCB,4,30,3000000,2025-12-31,18,1627,Brazil,"Brazil, Italy",right,191,91,no,BRA1,Testing,2024,Zagueiro Defensivo,0.907,5,84,94,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,7.0,9,2,2.0,31.0,61,91,89,97,97,63,27
5,0.735652,0.70257,0.727094,0.611111,0.662791,0.35905,0.899137,G. Gómez,Palmeiras,Palmeiras,"RCB, LCB, CB",RCB,4,31,7500000,2026-12-31,21,2154,Paraguay,Paraguay,right,185,85,no,BRA1,Testing,2024,Zagueiro Defensivo,0.899,6,84,92,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,14.5,7,4,9.5,19.0,49,82,91,95,88,77,41
6,0.768696,0.632177,0.416201,0.409722,0.816279,0.621517,0.894105,Lyanco,Atlético Mineiro,Atlético Mineiro,"LCB, RCB, CB",LCB,4,27,3000000,2028-12-31,8,611,Brazil,"Brazil, Serbia",right,187,83,no,BRA1,Testing,2024,Zagueiro Defensivo,0.894,7,84,91,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,11.0,12,42,36.5,5.0,18,86,85,50,56,94,78
7,0.787826,0.700612,0.650493,0.576389,0.509302,0.461995,0.875337,Rodrigo Sam,Juventude,Juventude,"LCB, RCB",LCB,4,29,50000,2025-12-31,12,870,Brazil,Brazil,right,187,86,no,BRA1,Testing,2024,Zagueiro Defensivo,0.875,8,84,90,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,10.0,8,9,12.0,34.0,33,88,90,89,85,59,60
8,0.794783,0.483652,0.614473,0.75,0.704651,0.338643,0.870359,Tobias Figueiredo,Criciúma,Criciúma,"LCB, CB",LCB,4,30,1500000,2026-12-31,19,1742,Portugal,Portugal,right,188,82,yes,BRA1,Testing,2024,Zagueiro Defensivo,0.87,9,84,89,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,8.0,33,12,4.0,10.0,51,90,60,85,95,88,39
9,1.0,1.0,0.42508,0.333333,0.383721,0.021097,0.862142,W. Kannemann,Grêmio,Grêmio,LCB,LCB,4,33,800000,2025-12-31,13,1124,Argentina,"Argentina, Italy",left,183,75,no,BRA1,Testing,2024,Zagueiro Defensivo,0.862,10,84,88,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,1.0,1,41,51.0,53.0,83,98,98,51,39,36,1
10,0.766957,0.570184,0.468641,0.375,0.793023,0.134809,0.834147,Luan Cândido,Red Bull Bragantino,Red Bull Bragantino,"LCB, LB",LCB,4,23,7000000,2026-12-31,23,2150,Brazil,Brazil,left,184,76,no,BRA1,Testing,2024,Zagueiro Defensivo,0.834,11,84,86,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,12.0,22,31,44.5,6.0,76,85,73,63,47,92,9
11,0.965217,0.816497,0.0,0.222222,0.506977,1.0,0.828424,V. Cuesta,Bahia,Bahia,LCB,LCB,4,35,500000,2024-12-31,7,556,Argentina,"Argentina, Brazil",left,187,80,no,BRA1,Testing,2024,Zagueiro Defensivo,0.828,12,84,85,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,2.0,4,84,73.0,35.0,1,97,95,0,13,58,98
12,0.742609,0.545688,0.541311,0.520833,0.651163,0.32895,0.822942,M. Gamarra,Athletico Paranaense,Athletico Paranaense,LCB,LCB,4,24,2000000,2027-12-31,16,1448,Paraguay,Paraguay,left,183,79,no,BRA1,Testing,2024,Zagueiro Defensivo,0.823,13,84,84,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,13.0,23,21,18.5,22.0,56,84,72,75,77,73,33
13,0.713043,0.352825,0.723535,0.486111,0.925581,0.5985,0.813962,Gabriel Xavier,Bahia,Bahia,RCB,RCB,4,23,2500000,2027-12-31,29,2915,Brazil,Brazil,right,190,85,no,BRA1,Testing,2024,Zagueiro Defensivo,0.814,14,84,83,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,16.0,51,6,23.0,3.0,20,80,39,92,72,96,76
