Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.816876,0.385684,0.637584,0.641273,0.474573,0.562838,0.412353,0.473846,0.232198,0.636971,1.0,Rodrigo,Criciúma,Criciúma,RCB,RCB,4,37,150000,2024-12-31,20,2038,Brazil,Brazil,right,187,80,no,BRA1,Testing,2024,Zagueiro Construtor,1.0,1,68,98,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,7.0,33,18,4,21,14,18,19.0,32.5,4,89,51,73,94,69,79,73,72,52,94
1,0.666068,0.508148,0.726906,0.590219,0.6377,0.747572,0.300533,0.230769,0.142415,0.463154,0.951918,M. Gamarra,Athletico Paranaense,Athletico Paranaense,LCB,LCB,4,23,2000000,2027-12-31,13,1179,Paraguay,Paraguay,left,183,79,no,BRA1,Testing,2024,Zagueiro Construtor,0.952,2,68,97,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,20.0,23,14,7,9,5,31,39.0,48.0,14,70,66,79,89,86,92,54,42,29,79
2,0.675045,0.521461,0.189467,0.62,1.0,1.0,0.616885,0.48716,0.430341,0.919322,0.904328,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"CB, LCB, RCB",CB,4,25,2000000,2026-06-30,16,1429,Brazil,Brazil,right,190,85,no,BRA1,Testing,2024,Zagueiro Construtor,0.904,3,68,95,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,19.0,22,60,5,1,1,8,18.0,12.0,2,72,67,11,92,98,98,88,73,82,97
3,0.540395,0.379882,0.840572,0.406397,0.440624,0.612641,0.397354,0.430769,0.23839,0.344013,0.876028,A. Barboza,Botafogo,Botafogo,LCB,LCB,4,29,2500000,2026-12-31,16,1283,Argentina,"Argentina, Uruguay",left,193,79,no,BRA1,Testing,2024,Zagueiro Construtor,0.876,4,68,94,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,33.0,35,4,16,25,11,20,23.5,31.0,31,51,48,94,76,63,83,70,65,54,54
4,0.877917,0.774129,0.728638,0.179999,0.46759,0.623167,0.0,0.0,0.272446,0.503912,0.87147,Naves,Palmeiras,Palmeiras,"RCB, LCB",RCB,4,22,0,,10,820,Brazil,Brazil,right,182,78,no,BRA1,Testing,2024,Zagueiro Construtor,0.871,5,68,92,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,4.0,4,13,46,23,10,68,63.0,27.0,12,94,94,80,32,66,85,0,7,60,82
5,0.982047,0.939802,0.0,0.138308,0.859498,0.759302,1.0,0.88,0.529412,1.0,0.866141,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RCB, RB, RWB",RCB,4,31,2500000,2025-12-31,19,1575,Argentina,Argentina,right,178,73,no,BRA1,Testing,2024,Zagueiro Construtor,0.866,6,68,91,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,2.0,2,68,54,2,4,1,3.0,7.0,1,97,97,0,20,97,94,98,95,89,98
6,0.536804,0.427318,0.544136,0.508162,0.596086,0.4907,0.400313,0.2,0.439628,0.368176,0.84747,L. Villalba,Cruzeiro,Cruzeiro,"LCB, LB",LCB,4,30,2000000,2025-12-31,15,699,Argentina,Argentina,left,177,73,yes,BRA1,Testing,2024,Zagueiro Construtor,0.847,7,68,89,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,35.0,29,26,11,12,18,19,46.5,11.0,27,48,57,61,83,82,73,72,31,83,60
7,0.854578,0.813025,0.911661,0.305894,0.307279,0.386188,0.218363,0.184625,0.182663,0.29918,0.830452,G. Gómez,Palmeiras,Palmeiras,"RCB, CB, LCB",RCB,4,31,7500000,2026-12-31,15,1533,Paraguay,Paraguay,right,185,85,no,BRA1,Testing,2024,Zagueiro Construtor,0.83,8,68,88,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,6.0,3,3,24,43,27,42,49.5,39.5,39,91,95,95,64,36,60,38,27,41,42
8,0.67684,0.679012,0.758897,0.374567,0.646794,0.320184,0.6877,0.451305,0.386997,0.348271,0.795433,Thiago Santos,Fluminense,Fluminense,LCB,LCB,4,35,250000,2025-12-31,15,1223,Brazil,Brazil,right,181,78,no,BRA1,Testing,2024,Zagueiro Construtor,0.795,9,68,86,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,18.0,10,10,17,6,37,4,21.0,14.0,30,73,85,85,75,91,45,94,69,79,55
9,0.807899,0.367892,0.918247,0.316386,0.729197,0.332188,0.145348,0.235909,0.216718,0.453107,0.787729,Gabriel Xavier,Bahia,Bahia,RCB,RCB,4,23,2500000,2027-12-31,23,2313,Brazil,Brazil,right,190,85,no,BRA1,Testing,2024,Zagueiro Construtor,0.788,10,68,85,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,9.0,37,2,22,4,35,54,38.0,36.0,15,86,45,97,67,94,48,20,44,47,77
