Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
0,0.65913,0.50335,0.237269,0.284722,0.690698,0.537883,1.0,0.936095,0.665973,0.625614,0.34284,0.433544,0.891925,1.0,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"CB, LCB, RCB",CB,4,25,2000000,2026-06-30,22,1970,Brazil,Brazil,right,190,85,no,BRA1,Testing,2024,Zagueiro Equilibrado,1.0,1,84,98,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,20.0,30,74,61.5,15.0,7,1,3,13,13,30.0,16.0,4,76,64,11,26,82,91,98,96,84,84,64,80,95
1,0.853913,0.450794,0.570219,0.472222,0.825581,0.641767,0.509389,0.632241,0.219861,0.402201,0.380765,0.268987,0.698447,0.995832,Rodrigo,Criciúma,Criciúma,RCB,RCB,4,37,150000,2024-12-31,26,2652,Brazil,Brazil,right,187,80,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.996,2,84,97,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,6.0,41,19,26.0,4.0,3,36,21,69,27,24.0,36.5,8,92,51,77,69,95,96,57,75,17,67,71,56,90
2,0.768696,0.632177,0.416201,0.409722,0.816279,0.35234,0.411748,0.635311,0.621517,0.322525,0.55,0.560127,0.604963,0.973707,Lyanco,Atlético Mineiro,Atlético Mineiro,"LCB, RCB, CB",LCB,4,27,3000000,2028-12-31,8,611,Brazil,"Brazil, Serbia",right,187,83,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.974,3,84,96,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,11.0,12,42,36.5,5.0,22,46,20,18,42,10.0,6.0,14,86,85,50,56,94,73,45,76,78,50,88,92,83
3,0.857391,0.863423,0.108856,0.097222,0.555814,0.139583,0.887939,0.8443,0.18335,1.0,0.641725,0.484177,1.0,0.927786,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RCB, RB",RCB,4,31,2500000,2025-12-31,24,1935,Argentina,Argentina,right,178,73,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.928,4,84,95,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,5.0,2,83,83.0,29.0,65,4,5,74,1,6.0,10.5,1,94,97,1,1,65,22,95,94,11,98,92,87,98
4,0.622609,0.652106,0.270884,0.416667,0.551163,0.314403,0.912062,0.790217,0.411875,0.828351,0.85,0.322785,0.547281,0.925815,N. Ferraresi,São Paulo,São Paulo,"LCB, RB, RCB",LCB,4,25,3500000,2027-12-31,14,1054,Venezuela,"Venezuela, Italy",right,190,80,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.926,5,84,94,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,24.0,11,71,33.0,30.0,23,3,11,39,3,2.0,24.5,22,71,86,15,60,64,72,96,86,53,96,97,70,73
5,0.742609,0.545688,0.541311,0.520833,0.651163,0.580716,0.684367,0.834415,0.32895,0.343664,0.15,0.139241,0.52694,0.90389,M. Gamarra,Athletico Paranaense,Athletico Paranaense,LCB,LCB,4,24,2000000,2027-12-31,16,1448,Paraguay,Paraguay,left,183,79,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.904,6,84,92,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,13.0,23,21,18.5,22.0,4,13,7,56,37,54.0,58.5,23,84,72,75,77,73,95,84,91,33,55,35,30,72
6,0.793043,0.72702,0.613191,0.222222,0.981395,0.169554,0.542786,0.699007,0.441324,0.00709,0.0,0.275316,0.578861,0.890831,Naves,Palmeiras,Palmeiras,"RCB, LCB",RCB,4,22,0,,11,831,Brazil,Brazil,right,182,78,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.891,7,84,91,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,9.0,6,13,73.0,2.0,55,30,15,35,83,77.0,33.0,18,89,92,84,13,97,34,64,82,58,1,8,60,78
7,0.589565,0.453593,0.679075,0.416667,0.697674,0.352977,0.543467,0.770918,0.52242,0.329063,0.25,0.268987,0.586063,0.848341,A. Barboza,Botafogo,Botafogo,LCB,LCB,4,29,2500000,2026-12-31,21,1802,Argentina,"Argentina, Uruguay",left,193,79,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.848,8,84,90,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,27.0,39,8,33.0,13.0,21,29,12,26,40,38.5,36.5,17,67,53,90,60,84,75,65,85,69,52,54,56,79
8,0.363478,0.259835,0.289164,0.319444,0.572093,0.518595,0.638992,0.834541,0.587531,0.507685,0.513281,0.363924,0.999411,0.816504,Léo Pereira,Flamengo,Flamengo,"LCB, LB",LCB,4,28,8000000,2027-12-31,24,1962,Brazil,Brazil,left,189,79,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.817,9,84,89,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,61.0,65,68,54.0,27.0,9,20,6,21,19,11.0,20.5,2,27,22,19,35,67,89,76,92,75,77,86,75,97
9,0.493913,0.407036,0.31719,0.111111,0.713953,0.163125,0.540394,0.617606,0.376641,0.669116,1.0,0.253165,0.668827,0.8016,Rômulo,Atlético Mineiro U23,Atlético Mineiro,"LCB, RCB",LCB,4,20,0,,8,564,Brazil,Brazil,right,182,79,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.802,10,84,88,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,42.5,45,62,82.0,9.0,56,31,22,45,10,1.0,38.0,11,49,46,26,2,89,33,63,73,46,88,98,54,86
10,0.598261,0.280342,0.521904,0.513889,0.732558,1.0,0.467245,0.857085,0.332529,0.039028,0.05,0.072785,0.609599,0.795056,Maicon,Vasco da Gama,Vasco da Gama,"RCB, LCB",RCB,4,36,250000,2024-12-31,26,2316,Brazil,"Brazil, Portugal",right,191,80,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.795,11,84,86,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,26.0,59,24,20.0,8.0,1,39,4,55,82,68.5,70.0,13,69,29,71,76,90,98,53,95,34,2,18,16,84
