Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
Fábio,Fluminense,0,right,BRA1,2024,Goleiro,Goleiro
Nenê,Juventude,9,left,BRA1,2024,Meia,Meia
Thiago Silva,Fluminense,4,right,BRA1,2024,Zagueiro,Zagueiro
Fernandinho,Athletico Paranaense,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Pedro Geromel,Grêmio,4,right,BRA1,2024,Zagueiro,Zagueiro
Fabrício,Internacional,0,right,BRA1,2024,Goleiro,Goleiro
Mariano,Atlético Mineiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Hulk,Atlético Mineiro,12,left,BRA1,2024,Atacante,Atacante
Éder,Criciúma,12,right,BRA1,2024,Atacante,Atacante
Rodrigo,Criciúma,4,right,BRA1,2024,Zagueiro,Zagueiro
G. Mercado,Internacional,4,right,BRA1,2024,Zagueiro,Zagueiro
D. Payet,Vasco da Gama,9,right,BRA1,2024,Meia,Meia
Osvaldo,Vitória,10,right,BRA1,2024,Extremo,Extremo
David Luiz,Flamengo,4,right,BRA1,2024,Zagueiro,Zagueiro
Cássio,Cruzeiro,0,right,BRA1,2024,Goleiro,Goleiro
Luiz Gustavo,São Paulo,7,left,BRA1,2024,Primeiro Volante,Primeiro Volante
Fernando,Internacional,4,right,BRA1,2024,Zagueiro,Zagueiro
Walter,Cuiabá,0,right,BRA1,2024,Goleiro,Goleiro
Weverton,Palmeiras,0,right,BRA1,2024,Goleiro,Goleiro
G. Cano,Fluminense,12,right,BRA1,2024,Atacante,Atacante
Titi,Fortaleza,4,left,BRA1,2024,Zagueiro,Zagueiro
A. Marchesín,Grêmio,0,right,BRA1,2024,Goleiro,Goleiro
D. Suárez,Botafogo,1,right,BRA1,2024,Lateral Direito,Lateral
Marcelo,Fluminense,1,left,BRA1,2024,Lateral Esquerdo,Lateral
João Ricardo,Fortaleza,0,right,BRA1,2024,Goleiro,Goleiro
Maicon,Vasco da Gama,4,right,BRA1,2024,Zagueiro,Zagueiro
Thiago Heleno,Athletico Paranaense,4,right,BRA1,2024,Zagueiro,Zagueiro
P. Vegetti,Vasco da Gama,12,right,BRA1,2024,Atacante,Atacante
V. Cuesta,Bahia,4,left,BRA1,2024,Zagueiro,Zagueiro
Marcos Rocha,Palmeiras,1,right,BRA1,2024,Lateral Direito,Lateral
Marçal,Botafogo,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Éverton Ribeiro,Bahia,8,left,BRA1,2024,Segundo Volante,Segundo Volante
Y. Bolasie,Criciúma,12,right,BRA1,2024,Atacante,Atacante
Gilberto,Juventude,12,right,BRA1,2024,Atacante,Atacante
Fágner,Corinthians,1,right,BRA1,2024,Lateral Direito,Lateral
Rafael,São Paulo,0,left,BRA1,2024,Goleiro,Goleiro
Alan Ruschel,Juventude,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Thiago Santos,Fluminense,4,right,BRA1,2024,Zagueiro,Zagueiro
Keno,Fluminense,10,right,BRA1,2024,Extremo,Extremo
Reinaldo,Grêmio,1,left,BRA1,2024,Lateral Esquerdo,Lateral
